pr,committer,weight
15693,MarcoFalke,0.9989946502734237
15687,Jon Atack,1.0100700724359677
15686,John Newbery,0.8923650693607121
15685,MarcoFalke,0.9995254172908522
15683,Peter Bushnell,0.9994420466586283
15681,Matt Corallo,0.9989680310448561
15680,John Newbery,0.9976218569975763
15672,Carl Dong,0.9989960432728026
15670,Antoine Riard,0.9989144576589085
15669,Torkel Rogstad,0.9989129238371881
15664,Gregory Sanders,1.0011824966202638
15660,Suhas Daftuar,0.9979575089517337
15655,251,0.9979267754271864
15652,João Barbosa,0.9992464215901202
15650,Luca Venturini,0.9977576516009597
15649,Jonas Schnelli,0.9947248648612989
15646,John Newbery,0.9976168863495195
15644,Pieter Wuille,0.9969203397193094
15638,John Newbery,1.0012639123909959
15638,Russell Yanofsky,1.00324114037171
15637,Miguel Herranz,0.8861433594273326
15633,Gregory Maxwell,0.9971736156783222
15632,John Newbery,0.9978678951957
15631,MarcoFalke,0.9966741530868257
15629,MarcoFalke,0.9972176017270148
15626,Jon Atack,0.9968628550245412
15623,MarcoFalke,0.9966041529650335
15622,practicalswift,1.0182685474441886
15620,MarcoFalke,0.9965162481071448
15616,MarcoFalke,0.9963863566240799
15615,Jonas Schnelli,0.9959844927959858
15614,João Barbosa,0.9959704828760033
15613,Patrick Strateman,0.9959433460301801
15607,Jon Atack,1.0044926779994399
15606,James O'Beirne,1.1372932256805437
15604,John Newbery,0.9950579388785366
15603,gwillen,0.9950127958030375
15600,Luke Dashjr,0.9949250063940955
15596,MarcoFalke,0.9949459118513038
15595,MarcoFalke,0.994687039472883
15590,Sjors Provoost,0.9946549538635561
15588,Andrew Chow,0.9944737050434189
15584,fanquake,1.024032107113279
15583,João Barbosa,0.9940667322822658
15581,Carl Dong,0.9939966471596007
15576,Lenny Maiorani,0.9937650070944012
15575,Andrew Chow,0.8795388172978553
15575,João Barbosa,0.9648763595064975
15575,Chun Kuan Lee,0.9472337820237617
15575,Russell Yanofsky,0.9225078708270915
15575,Pierre Rochard,0.9355159578355073
15573,Lenny Maiorani,0.9936646121828833
15567,Sjors Provoost,0.9932431908591838
15559,fanquake,0.9930066388219031
15558,Pieter Wuille,0.9927589113900155
15557,Gregory Sanders,0.9928191681281741
15552,Pieter Wuille,0.9870446653175403
15549,Wladimir J. van der Laan,0.9923459213282668
15548,MarcoFalke,0.9923482201578429
15545,Sjors Provoost,0.9922647353453421
15538,Gregory Sanders,0.991999281425457
15531,Russell Yanofsky,0.9917374508263608
15530,MarcoFalke,0.9871363929080347
15529,Aaron Clauson,1.0534393573325052
15521,Rojar Smith,0.991548413959833
15520,MarcoFalke,0.9914406772565068
15519,Jonas Schnelli,0.991765176334945
15513,Alistair Mann,0.9849614527384998
15512,Jonas Schnelli,0.9912988691585369
15508,Glenn Willen,0.9923749967014587
15506,Chun Kuan Lee,0.9903915051396349
15505,Suhas Daftuar,0.9790519878025016
15500,Murray Nesbitt,0.9902205201748937
15497,Pieter Wuille,0.9901060544472458
15495,Daniel Kraft,0.9900064283495926
15494,João Barbosa,0.989975211461873
15492,Sjors Provoost,0.9902839815728257
15491,Glenn Willen,0.9924007735333162
15489,MarcoFalke,0.9898068031653817
15487,Sjors Provoost,0.9938598079042733
15486,Suhas Daftuar,0.990007773773856
15485,Adam Jonas,0.9859358881550904
15483,darosior,1.015743404947203
15481,Matt Corallo,0.9881007290791285
15478,João Barbosa,1.0195348485817288
15474,João Barbosa,0.9893559775658591
15473,MarcoFalke,0.9887116316209337
15471,Wladimir J. van der Laan,0.9892749247932576
15466,Steven Roose,0.9884099178510968
15463,João Barbosa,0.9883826934670613
15462,João Barbosa,0.9883779397615307
15461,Sjors Provoost,1.0113500409526592
15459,marcoagner,0.9970217597159804
15458,João Barbosa,0.9880445219347924
15457,Sjors Provoost,0.9926981522586381
15456,riordant,0.9892717505815583
15454,Andrew Chow,1.0680188199544496
15452,Gregory Sanders,0.9987686266091808
15450,João Barbosa,1.0274885020461106
15450,Andrew Chow,1.0030528047623832
15448,Russell Yanofsky,0.987710346712217
15446,Carl Dong,0.987454980619801
15443,João Barbosa,0.9873840956008623
15437,MarcoFalke,0.9341497984337511
15428,Luke Dashjr,0.9864964809638641
15427,Pieter Wuille,0.9865057190997722
15424,Sjors Provoost,0.987152375863203
15423,Luke Dashjr,0.9864171142533523
15419,MarcoFalke,0.9860943998760764
15416,fanquake,0.986023188491846
15415,Sjors Provoost,0.9860230743115691
15408,MarcoFalke,0.9857368509993057
15406,marcuswin,0.9856800425055111
15404,Amiti Uttarwar,0.9855773563764356
15402,Pieter Wuille,0.9870446653175403
15401,MarcoFalke,0.9853607107189399
15399,MarcoFalke,0.9854505572758717
15397,Gregory Sanders,0.9854053856553034
15396,yunchiri,0.9853068328522537
15393,Sjors Provoost,0.985139318967932
15391,practicalswift,0.9848580929457903
15390,John Newbery,0.9851188007721632
15389,Julian Fleischer,0.9851094037353697
15388,Sjors Provoost,0.9854086512112243
15387,Alistair Mann,0.9849614527384998
15383,MarcoFalke,0.9847773865200288
15382,Sjors Provoost,1.0930600417530087
15381,Daniel Kraft,0.9847093312689539
15378,Ben Carman,0.984877819491639
15373,Russell Yanofsky,0.9838388665095547
15371,Ben Carman,0.9841411435687578
15368,Pieter Wuille,0.9839701110289013
15367,Ben Carman,1.1804182195184332
15364,MarcoFalke,0.9834680965082149
15360,Suhas Daftuar,0.9832200436625379
15358,MarcoFalke,0.9831602055853946
15357,Jordan Baczuk,0.9837514006113973
15353,Martin Erlandsson,0.9830894670978114
15352,practicalswift,0.9942330231689542
15348,Carl Dong,0.9827826114095022
15346,darosior,0.9853716263534169
15345,Carl Dong,0.9824921291729085
15343,Carl Dong,0.9825002378755769
15341,João Barbosa,0.9824950242772643
15340,Hennadii Stepanov,1.0084969460581923
15337,benthecarman,0.9826187284579877
15335,Akio Nakamura,0.9822959636510894
15334,Hennadii Stepanov,0.9821814522513306
15332,Amiti Uttarwar,0.9819661158610107
15329,Hennadii Stepanov,0.9818902335519505
15327,practicalswift,0.981838854330325
15324,MarcoFalke,0.9815590936217375
15323,Ben Woosley,0.9871004070907474
15321,practicalswift,0.9766145015041349
15314,David A. Harding,0.9812622648647497
15313,Jonas Schnelli,0.9887787486907328
15313,João Barbosa,0.9959704828760033
15305,Suhas Daftuar,0.9812143224694606
