pr,reviewer,weight
15693,ryanofsky,0.7518074823752836
15693,gkrizek,1.0018610145299525
15693,MarcoFalke,1.0018784633921285
15687,jonatack,0.03590953942519044
15687,MarcoFalke,0.11164741736186781
15687,laanwj,1.0265119578244721
15686,instagibbs,0.5002044639832958
15686,sdaftuar,1.0004103262838915
15686,jnewbery,0.7502940975667207
15686,ryanofsky,1.0000920525708743
15685,luke-jr,1.000474367871167
15685,MarcoFalke,1.0004659830964322
15683,ryanofsky,1.0004574841613938
15681,instagibbs,0.7503198709809247
15681,TheBlueMatt,0.3187725752344423
15681,practicalswift,0.7508185975724004
15681,morcos,1.0041713845222697
15681,jachiang,1.031233776555024
15681,ajtowns,1.0337422039617816
15681,ryanofsky,0.1938259817839604
15681,jnewbery,0.06490560191122635
15680,MarcoFalke,0.7506032947443702
15680,jnewbery,0.750536498968859
15680,jonatack,1.0005519055962129
15672,practicalswift,1.000858909183892
15672,jnewbery,1.0197948352588173
15672,dongcarl,1.019803121971656
15670,ryanofsky,1.000711061065297
15670,ariard,1.000684594674114
15669,MarcoFalke,1.0008821622907602
15669,torkelrogstad,0.7504976758521873
15669,sipa,1.000742287306792
15664,stevenroose,1.0011184994439806
15664,instagibbs,0.7508341146432609
15664,MarcoFalke,1.0007907749431182
15660,practicalswift,1.00152383377595
15660,jnewbery,0.18777058754030262
15660,sdaftuar,0.10938576945487993
15655,skwp,1.0072735443488554
15655,promag,1.0020345252515417
15655,l2a5b1,1.0015448904299808
15652,promag,0.005867495243122955
15652,MarcoFalke,0.01956028418400854
15652,ryanofsky,0.3129015042312987
15652,jnewbery,0.7507158599847082
15650,MarcoFalke,1.0020319280893504
15650,lucayepa,1.0020205822688466
15649,skwp,1.0020344451627392
15649,practicalswift,0.10949302923350449
15649,jonasschnelli,0.019801755087511887
15649,Empact,0.7646629671664067
15649,laanwj,1.02261208391059
15649,promag,0.7684275393714389
15649,elichai,1.0263364703431854
15649,sipa,1.0263441070826878
15646,jonatack,0.3128892045559306
15646,promag,1.0019345755933966
15646,jnewbery,0.31278129110722475
15646,ryanofsky,1.00105786280522
15644,MarcoFalke,1.0023912775878274
15644,practicalswift,1.0023868978505917
15644,sipa,0.31281237802211875
15644,promag,0.7500861549198503
15638,l2a5b1,1.0014726825120834
15638,ryanofsky,0.31267975420374505
15638,Sjors,1.00115215990191
15637,MarcoFalke,1.0020972863306075
15637,fanquake,1.0019193336604708
15633,sdaftuar,1.001713459046144
15633,gmaxwell,1.0016485639313575
15632,MarcoFalke,0.019547596964103436
15632,jnewbery,0.03517699256500176
15632,ryanofsky,0.3127146548895478
15632,promag,0.5007543752810537
15631,practicalswift,0.7521889036560627
15631,MarcoFalke,1.002996788714426
15631,promag,1.002761560465734
15629,practicalswift,1.0025216407581752
15626,laanwj,1.0031404826911676
15623,jimpo,1.0033726607316005
15622,MarcoFalke,0.3149724433035844
15622,practicalswift,0.31477519653562797
15622,promag,1.002756822267796
15622,Empact,1.0025038907133172
15622,sipa,1.0058890275400647
15620,promag,1.0024966121553
15620,ryanofsky,1.0030247077679344
15620,MarcoFalke,0.5015052595579674
15620,jnewbery,1.0030159924075428
15616,ryanofsky,1.0030706889570498
15616,MarcoFalke,1.0030195484011026
15615,MarcoFalke,1.0028960561847495
15615,promag,0.7521543477692207
