pr,commenter,weight
19415,DrahtBot,1.0000917441652801
19415,naumenkogs,1.0004196572872677
19415,jamesob,1.046894462406679
19415,Crypt-iQ,0.12234960740657085
19415,practicalswift,0.5661803631770881
19415,jonatack,0.8770775548542734
19415,D4nte,0.8011762817401064
19413,MarcoFalke,1.000307957690207
19413,laanwj,1.000282198683774
19413,DrahtBot,1.0001608980146814
19413,practicalswift,1.0001293731363559
19405,laanwj,1.0003305597459056
19405,practicalswift,1.0003263496093118
19405,jonatack,0.19078553534875822
19405,jnewbery,1.001228494751999
19405,willcl-ark,1.0248718507059982
19405,eriknylund,0.3253019408770923
19405,DrahtBot,1.014915431896789
19405,benthecarman,1.0467272995286143
19405,shesek,1.0478268575251009
19405,n-thumann,1.0534495096037402
19403,sipa,1.0005884916234182
19403,laanwj,1.000334715458455
19401,DrahtBot,1.0008419508835273
19401,instagibbs,1.0194362798475667
19401,luke-jr,1.0603460810820233
19401,fjahr,1.0605336191395356
19401,benthecarman,1.0879112733418999
19397,jnewbery,1.0010155041965554
19397,jonatack,0.7551811576944054
19396,achow101,0.7510680513606199
19396,DrahtBot,1.0010521793282414
19396,promag,1.0013165268293527
19396,MarcoFalke,1.001506334460587
19396,luke-jr,1.00163537552138
19396,laanwj,1.0020312693551683
19396,Sjors,1.0021248542315608
19395,DrahtBot,1.0269024436591134
19395,luke-jr,1.0324817407852784
19393,hebasto,0.34239243290471083
19393,DrahtBot,1.045824360157347
19393,NelsonGaldeman,1.1912504198842635
19393,practicalswift,1.3247342780352913
19393,aitorjs,1.391708028968074
19393,MarcoFalke,1.3945302524858256
19387,sipa,0.03547255165111144
19387,practicalswift,1.00114206761864
19387,jonatack,1.0025072823019863
19387,theuni,1.000174193459521
19387,MarcoFalke,1.0623482049785165
19387,JeremyRubin,1.0245760153785943
19387,ajtowns,1.0685538888231305
19386,DrahtBot,1.0024704741123334
19386,laanwj,1.0063179145665435
19386,MarcoFalke,0.7509551522707825
19382,theuni,1.0030730299825237
19382,jonatack,1.0029006015941788
19381,practicalswift,0.11069335984768018
19381,rajarshimaitra,0.18886053431637692
19381,DrahtBot,1.1016748543195052
19381,fjahr,1.0172204551522157
19381,MarcoFalke,1.279448268302958
19379,practicalswift,1.043677912408091
19379,Crypt-iQ,1.047988840157391
19377,naumenkogs,1.003648600186426
19377,jnewbery,0.5417275631185328
19377,hebasto,0.5446376946011529
19377,MarcoFalke,1.003378830508662
19377,DrahtBot,1.2603103504989546
19375,sipsorcery,1.003583784035646
19375,fanquake,1.0035509679038717
19375,DrahtBot,1.0030593144236817
19375,laanwj,1.0012070802519077
19375,theuni,1.001563203507124
19374,hebasto,0.31328760260231714
19374,DrahtBot,1.0039311091064849
19374,naumenkogs,1.0036511401180135
