pr1,pr2,weight
19415,19203,0.4791330885239264
19415,17160,0.45972617074979016
19415,19067,0.45595637095611097
19415,19288,0.44816366799588914
19415,18783,0.44608969064481874
19413,19381,0.5150959697116598
19413,19271,0.5104138551854066
19413,19197,0.507687016879142
19413,19088,0.5037602910423047
19413,19009,0.4999878270653093
19405,18724,0.31586584345736124
19405,18653,0.3143684065325527
19405,18574,0.28154977304200407
19405,19397,0.26631213842875434
19405,19393,0.26626182605734244
19403,19356,0.33175830862822353
19403,19318,0.33057945434406505
19403,18956,0.3210716293754067
19403,18921,0.3203539484689439
19403,18882,0.31931008224500124
19401,18756,0.6650992512677714
19401,18384,0.6467155465381641
19401,19397,0.6327898128791648
19401,19393,0.6326702646066787
19401,19304,0.6278254535596184
19397,19153,0.7358599090398171
19397,18795,0.7153445824975964
19397,18485,0.7000709564341449
19397,17488,0.698628584540702
19397,19083,0.6914630062495303
19396,19279,0.5363284605654135
19396,19261,0.5354534255668671
19396,19289,0.5092112661908735
19396,19046,0.5061569878811372
19396,18487,0.505711587965755
19395,19282,0.9904850895907884
19395,18448,0.7753628082018688
19395,16262,0.7472234683305777
19395,15685,0.6989682039036981
19395,19386,0.6662493505982356
19393,18628,0.6918131898121084
19393,19397,0.6665407182921796
19393,19134,0.6658769467523387
19393,19304,0.6615615207287878
19393,19302,0.6614825675199187
19387,19382,0.7495180575374502
19387,18388,0.5013120395377493
19387,19381,0.49959045829265836
19387,19364,0.4988217600788177
19387,19360,0.49868025945858063
19386,19395,0.6662493505982356
19386,19362,0.6649727729414383
19386,19282,0.6607369973095018
19386,18541,0.6256433712807264
19386,18495,0.6231451326959719
19382,19387,0.7495180575374502
19382,18388,0.6173961658486138
19382,19381,0.4999116965247658
19382,19367,0.4992728275268256
19382,19364,0.499142504035562
19381,19088,0.9779930744251394
19381,19009,0.970669266438237
19381,17994,0.8866787608549015
19381,17892,0.8752874956845508
19381,17328,0.8297757927942424
19379,19067,0.46365297458637234
19379,19247,0.46159895375760074
19379,19222,0.4567436419574339
19379,18783,0.4536197434111384
19379,19143,0.4490893975519546
19377,18377,0.6170697467345932
19377,18754,0.5557256549449804
19377,19381,0.4165185324607786
19377,17375,0.41646951972824453
19377,19382,0.41644497239294714
19375,17928,0.40377914483304583
19375,17466,0.3844258510046723
19375,16837,0.3653453125109449
19375,16654,0.359294851957765
19375,16386,0.349217616754608
19374,19109,0.6532603320771954
19374,18861,0.6403417371862189
19374,18461,0.6223741453077933
19374,18376,0.6172801808772473
19374,18238,0.6094887079585471
19368,19281,0.6827341519323485
19368,19120,0.6747829409690519
19368,18965,0.6652329442744518
19368,19397,0.6648030626751117
19368,19153,0.6559312911829334
19367,19382,0.4992728275268256
19367,18981,0.4846588271552813
19367,18645,0.47330697579087694
19367,18568,0.470982077770953
19367,17940,0.4412514610954936
19364,19347,0.6239243099632662
19364,19109,0.6128912251732112
19364,19084,0.6120359648871936
19364,19029,0.6085200992671566
19364,18861,0.600770952348638
19362,18541,0.9408556210704052
19362,17930,0.8821677838784063
19362,17831,0.8710378943292972
19362,17196,0.8231242965692954
19362,15474,0.6844071210368241
19360,18722,0.555301138172831
19360,17944,0.5519828020820813
19360,15718,0.5276964102265473
19360,19314,0.5162696029661592
19360,15343,0.5049933917211373
19358,19197,0.7405949813390768
19358,19043,0.7311896645088916
19358,18526,0.7046954032046949
19358,17897,0.6582545212850859
19358,17325,0.6231220076783986
19357,19125,0.4912617506552313
19357,19061,0.4883961902171146
19357,18981,0.484990233670045
19357,18942,0.48347268521981585
19357,18920,0.48275412655371625
19356,19318,0.9964466472926244
19356,18956,0.9677877570059819
19356,18921,0.9656244927024281
19356,18882,0.9624780267457534
19356,18857,0.9611840972663834
19349,18487,0.5468777511718589
19349,19100,0.5450223537641912
19349,19262,0.5436204305936401
19349,19386,0.5397938512801603
19349,18197,0.5306516998209023
19348,19172,0.4523953797601742
19348,17353,0.38206680554714345
19348,18056,0.37335476158983794
19348,16124,0.36872331336780845
19348,17851,0.36440112532212243
19347,19109,0.6548777529433503
19347,19084,0.653963902473178
19347,19029,0.650207180101684
19347,18861,0.6419271726341385
19347,18819,0.6396657493176396
19340,19337,0.5924646291067928
19340,18881,0.5088516738723394
19340,19347,0.4441984455577034
19340,19358,0.4435798151236813
19340,19360,0.44355975827478356
19339,19374,0.28800771337849834
19339,19381,0.2877804015323302
19339,19271,0.28736559172575465
19339,19109,0.28394557453309005
19339,18780,0.2838914755005328
19337,19340,0.5924646291067928
19337,18881,0.508961578212185
19337,19347,0.44410252606395506
19337,19358,0.4434840292159882
19337,19360,0.443463976698134
19335,19320,0.5549083682080934
19335,19292,0.5537890253410181
19335,19085,0.5456407873121301
19335,19308,0.5175409588979938
19335,18907,0.5012067215217917
19334,19325,0.6660287894347807
19334,19320,0.665892790062754
19334,19308,0.6654125505284604
19334,19292,0.6645495730786587
19334,19279,0.6639994695670537
19333,18863,0.48208451990292633
19333,16019,0.3645215925070535
19333,18798,0.3198644979197854
19333,18735,0.31842377734323335
19333,18667,0.31692994412356723
19331,19104,0.41515259303840046
19331,19210,0.4111430871351526
19331,18898,0.40778226646558896
19331,18896,0.40769541987940383
19331,19132,0.4052229643168522
19328,19362,0.46286411492774665
19328,18541,0.4381674517535304
19328,19386,0.4380117406902987
19328,19056,0.41701921616363785
19328,19282,0.4152841243234914
19326,19237,0.4249401057128679
19326,18926,0.4172157078407671
19326,19374,0.41207319181668395
19326,19381,0.4117479605341963
19326,19382,0.4116752429825248
19325,19320,0.7331835907480242
19325,19308,0.7326548213253382
19325,19292,0.7317046369791154
19325,19085,0.7209386172926915
19325,18907,0.6880303733123393
19324,19320,0.6189212578809623
19324,19308,0.618474894050201
19324,19292,0.617672790323107
19324,19279,0.617161490662789
19324,19085,0.6085845912270326
19323,19362,0.5535286691290396
19323,19197,0.5505282475419608
19323,18541,0.5246115577433864
19323,18526,0.523841958361224
19323,17930,0.4918878145883451
19321,18441,0.4681200315855129
19321,17424,0.41991558767203735
19321,16595,0.3920975903279784
19321,15797,0.3558294973448161
19321,15520,0.34517384510877447
19320,19292,0.8316523608052475
19320,19085,0.8194157488771672
19320,19308,0.7772168471845085
19320,18907,0.7526869152894035
19320,19325,0.7331835907480243
19318,19356,0.9964466472926244
19318,18956,0.9712389114213896
19318,18921,0.9690679328653058
19318,18882,0.9659102465353617
19318,18857,0.964611702872351
19316,19374,0.4604985068153031
19316,19284,0.44361496608373335
19316,19347,0.44317311807581744
19316,19109,0.43783759621169027
19316,19084,0.4372266148623335
19315,19281,0.35111826211288283
19315,19368,0.3501427910763733
19315,19397,0.34916399982177715
19315,19153,0.34787570655861305
19315,19297,0.3468842867982267
19314,19360,0.5162696029661592
19314,19084,0.5101197371734393
19314,19029,0.5071893334897914
19314,19347,0.4985482365677768
19314,18644,0.4932396059113057
19309,19295,0.6105957334869465
19309,18927,0.5175742562871977
19309,19284,0.4991473937784
19309,19271,0.49858054821316733
19309,19347,0.49848929412522336
19308,19320,0.7772168471845085
19308,19292,0.7767690732039816
19308,19085,0.7653399927919111
19308,19325,0.7326548213253382
19308,18907,0.7173620402041755
19304,19302,0.999880656286082
19304,19177,0.9905841013610871
19304,18628,0.6971517821955492
19304,19134,0.6710153940219064
19304,19227,0.6626105572779362
19302,19304,0.999880656286082
19302,19177,0.9907023354571878
19302,18628,0.6972349928090648
19302,19134,0.6710954850494857
19302,19227,0.66268964512136
19300,19279,0.4990464936796762
19300,18275,0.4611525940706327
19300,18214,0.45852270696977143
19300,17677,0.4292410050317164
19300,19335,0.38807148257071095
19299,18894,0.46774673791291377
19299,19279,0.4660011136222491
19299,19210,0.4636693613624536
19299,19132,0.4611099565137493
19299,19104,0.4599772293178732
19297,18903,0.8476635827388908
19297,18641,0.8331071733849875
19297,18633,0.8328138559363816
19297,19120,0.8021439243991016
19297,17732,0.7556422020845921
19295,19309,0.6105957334869465
19295,19381,0.6067681022352449
19295,19088,0.6019402684358316
19295,19009,0.5974325729716283
19295,17994,0.5457376593786956
19292,19320,0.8316523608052475
19292,19085,0.8210719882241098
19292,19308,0.7767690732039818
19292,18907,0.7542082793670886
19292,19325,0.7317046369791154
19289,19279,0.6661602242921125
19289,19261,0.6281248448280456
19289,18275,0.6155769440114855
19289,18214,0.6120663969919985
19289,19046,0.5811843458054531
19288,19358,0.4970912376017783
19288,19043,0.4903121796020945
19288,19067,0.4610039709675503
19288,18783,0.4510280629782948
19288,19415,0.44816366799588925
19284,18500,0.9431061777045736
19284,17306,0.8352535889672833
19284,16770,0.5316014249727412
19284,19271,0.49943218619159585
19284,19309,0.4991473937784
19282,19395,0.9904850895907884
19282,18448,0.7828111865088289
19282,16262,0.7544015313135987
19282,15685,0.7056827116826883
19282,19362,0.662420101188805
19281,18903,0.7273781885537697
19281,18641,0.7148873668607129
19281,19297,0.6867349718328122
19281,19368,0.6827341519323485
19281,18965,0.6698766245898942
19280,18960,0.47626364476465055
19280,19295,0.42169071966559
19280,17852,0.4104029253305558
19280,19284,0.3998413723127862
19280,19271,0.3997042593588557
19279,18275,0.9240673963469094
19279,18214,0.9187975725245436
19279,17677,0.8601222741126683
19279,19261,0.7765088114135281
19279,19195,0.7452576632369108
19277,18926,0.39933909889478764
19277,18615,0.3909983059241082
19277,18486,0.38729035395524114
19277,19374,0.380952173514176
19277,18211,0.3768119669892328
19276,18735,0.452999524523628
19276,18798,0.4282815418566486
19276,18667,0.42435233047908344
19276,17202,0.4149522271018088
19276,18288,0.4112362995423968
19272,19302,0.5320877604042584
19272,19304,0.5320242590748014
19272,19177,0.529611459592368
19272,19178,0.5048141097289413
19272,19297,0.4991549910849868
19271,19381,0.7431826570169912
19271,19088,0.7402232804681335
19271,19009,0.7346800375604369
19271,17994,0.6711093138028909
19271,17892,0.6624874943917097
19268,13128,0.45396621010031923
19268,15031,0.4375686233210799
19268,19114,0.35258517669491996
19268,18766,0.3368370237582847
19268,19271,0.33321906952301217
19267,18798,0.46436082064250606
19267,18735,0.46226926564470205
19267,18667,0.46010060477643266
19267,18081,0.44570022694793393
19267,17202,0.3999187717481547
19262,19282,0.6178986130775516
19262,19395,0.6120193631321426
19262,19386,0.5888487609325486
19262,18448,0.5825982341629649
19262,18263,0.572367787690171
19261,19279,0.7765088114135281
19261,18487,0.7345759991507556
19261,18275,0.7198936127653013
19261,18214,0.7157881627460526
19261,18197,0.7127808760947166
19260,19109,0.4945607075543785
19260,18861,0.4847804880673414
19260,18461,0.4711778483292341
19260,18376,0.4673213847888611
19260,18238,0.4614227312653715
19259,19271,0.4994276334165451
19259,19381,0.4948879407869544
19259,19088,0.49404773981255595
19259,19009,0.4903480093365737
19259,19247,0.48293242733771297
19258,18056,0.40120679237595924
19258,17851,0.39158522046463695
19258,16768,0.3550489867168621
19258,19172,0.3314616757039123
19258,16124,0.3301915341872005
19256,16768,0.3994974468116006
19256,18056,0.30095582148590605
19256,17851,0.2937384260340257
19256,13301,0.27732670556979105
19256,19183,0.2764141148053144
19253,18965,0.6615258397109547
19253,19281,0.6440771443946308
19253,19368,0.6396123097560393
19253,19105,0.6288524318837245
19253,19297,0.6226068733569569
19252,18726,0.6725862522277242
19252,19083,0.6589617451058544
19252,19134,0.6334109817777438
19252,19227,0.6323850412644418
19252,19302,0.6304992113941457
19250,18487,0.5252315614610464
19250,19100,0.5129806112236697
19250,18197,0.5096477600188629
19250,18734,0.49858813167453747
19250,18592,0.49422577759136643
19247,19222,0.5823975409348753
19247,19143,0.579348147807715
19247,19065,0.5752659496694338
19247,19052,0.5743031582386804
19247,18938,0.5718931473650379
19245,19085,0.21424195184514813
19245,19292,0.21035902979443868
19245,19320,0.20993470049429575
19245,19308,0.20824335240594577
19245,19325,0.2065777514232097
19243,19197,0.47071724724115427
19243,19147,0.4691424314982217
19243,18526,0.4478997140113442
19243,19241,0.43045179394891675
19243,19358,0.42651568615974395
19241,19197,0.7477899590346135
19241,18526,0.7115416117747793
19241,17897,0.6646495505763579
19241,17325,0.6291757199770397
19241,17286,0.6281560848986435
19240,17142,0.24167454184575846
19240,18598,0.19875018424567487
19240,18818,0.19349284780279422
19240,16114,0.18573587492879579
19240,17409,0.18295148683494608
19238,18722,0.46071785726292785
19238,18926,0.4470840967055266
19238,18615,0.4377460782109078
19238,19065,0.4358646233487504
19238,18486,0.4335948033640007
19237,18926,0.48774402324445143
19237,18615,0.47755676151168536
19237,18486,0.4730279502425215
19237,18211,0.4602298780526014
19237,18174,0.4576629853423846
19233,19282,0.4342150432702132
19233,19362,0.43144915935113376
19233,19395,0.4300835260351653
19233,19189,0.4218108308365735
19233,19088,0.4187613925896775
19228,16687,0.28078547262027975
19228,19241,0.25310880563170834
19228,19197,0.2528108952753864
19228,19189,0.25268225969040164
19228,19271,0.2525006445232575
19227,18878,0.9724089461629786
19227,15364,0.6821304653563296
19227,19134,0.6751229528432687
19227,19168,0.6750926415807954
19227,19177,0.6644319136923409
19224,19197,0.34935105733492045
19224,19147,0.34818228022270353
19224,19109,0.3470474023177754
19224,19084,0.34656311432607817
19224,19364,0.34201840963460106
19222,19052,0.6163135121123606
19222,18938,0.6127925986542647
19222,19143,0.6039638992564557
19222,18757,0.602881740103111
19222,18994,0.600074768902379
19219,19197,0.4316137081485695
19219,19147,0.4301697158868847
19219,19109,0.42876760517172435
19219,19084,0.4281692805595052
19219,18861,0.4202884817325668
19216,19261,0.6148640837190239
19216,19279,0.6138609156379637
19216,18487,0.5841212771741902
19216,19195,0.5822942101232821
19216,18275,0.5724461144989168
19215,19279,0.42507944463734854
19215,19261,0.3980814822409498
19215,18275,0.3965142413927828
19215,18214,0.3942529775461634
19215,19046,0.3937636339786148
19213,19194,0.998434807697826
19213,18908,0.9752642732944591
19213,17887,0.8868752336181472
19213,16416,0.7745333813411814
19213,15909,0.7262469205596721
19210,19104,0.7715844458559579
19210,18898,0.7578862793508672
19210,18604,0.7437568491422939
19210,18948,0.7065626035422892
19210,17826,0.6851024447064719
19208,18932,0.6408518996233679
19208,18903,0.633707164792503
19208,18866,0.6324121212219481
19208,18641,0.622824898420488
19208,19281,0.6217327824105734
19205,19153,0.3597970714588499
19205,19168,0.33432804409634875
19205,19227,0.33286397981206906
19205,19177,0.3326843966252476
19205,19134,0.33165938846635984
19204,19271,0.4699794781621752
19204,19109,0.4688288028235238
19204,19088,0.46829058128342593
19204,19381,0.46570746309869915
19204,19009,0.4647837361031463
