Crypt-iQ,practicalswift,D4nte,jonatack,vasild,MarcoFalke,eriknylund,sipa,fanquake,adamjonas,luke-jr,ajtowns,fjahr,Sjors,achow101,promag,hebasto,ShubhamPalriwala,pg156,theuni,ryanofsky,rajarshimaitra,laanwj,jnewbery,amitiuttarwar,ysangkok,naumenkogs,troygiorshev,Saibato,wodry,gwillen,dunxen,pinheadmz,glozow,robot-dreams,ariard,LarryRuane,t-bast,renepickhardt,glowang,TheBlueMatt,wiz,meshcollider,JeremyRubin,andrewtoth,jules23,kiminuo,donaloconnor,dongcarl,elichai,pstratem,jasonbcox,ycshao,bliotti,miztake,NicolasDorier,gillichu,S3RK,mjdietzx,FelixWeis,dboures,jonathanschoeller,ThomasBucaioni,skmcontrib,Kixunil,jonasschnelli,theStack,narula,kallewoof,flack,maitrebitcoin,real-or-random,Empact,jkczyz,darosior,MDrollette,katesalazar,yakitorifoodie,kcalvinalvin,tryphe,10xcryptodev,mzumsande,martinus,tarboss,clarkmoody,instagibbs,brakmic,jb55,rvagg,domob1812,jarolrod,robot-visions,kingdavid6336,pierreN,benthecarman,kristapsk,sdaftuar,huanhd400,fridokus,jamesob,niVelion,rodentrabies,michaelfolkson,prayank23,chanhosuh,RANDALL-hub,emilengler,sidhujag,jeandudey,aminroosta,DrahtBot,Xekyo,bvbfan,Thoragh,niftynei,n-thumann,charlesrocket,PastaPastaPasta,rebroad,molnard,dangershony,yusufsahinhamza,uhliksk,0xB10C,TheQuantumPhysicist,jkcd,yahiheb,cculianu,nothingmuch,jtimon,egp,furszy,jimmysong,decryp2kanon,giulio92,RandyMcMillan,conceptrat,junderw,MaxHillebrand,skwp,constcast-glitch,dgpv,jachiang,sanket1729,kirankashyap,msafi,paymog,gmaxwell,jameshilliard,Bushstar,mccoy45,jimpo,sanjaykdragon,paulyc,asoltys,ahook,EthanHeilman,hackerrdave,sipsorcery,willyko,nijynot,Talkless,TheCharlatan,dimitarnestorov,mxaddict,icota,yanmaani,za-kk,HAOYUatHZ,birtony,madars,apoelstra,sadrasabouri,JeremyCrookshank,ch4ot1c,carnhofdaki,dannmat,Zero-1729,GChuf,bitcoinhodler,jbampton,stefanwouldgo,setpill,davereikher,soroosh-sdi,roconnor-blockstream,BlockMechanic,stevenroose,erasmospunk,RajaMBZ,takinbo,l2a5b1,harding,Christewart,vadi2,keneanung,remagpie,ezegom,cryptogopher,etscrivner,ShaunApps,fqlx,qmma70,dandv,shargon,gertjaap,fanatid,AkioNak,marcinja,web3shannon,shesek,jonasnick,JosuGZ,moneyball,greenaddress,torkelrogstad,thijstriemstra,merehap,dakk,prusnak,davehamiltone,jeffrade,andcoisqu,kostyantyn,nkostoulas,dergoegge,morcos,merland,IPGlider,BelfordZ,MishraShivendra,lucayepa,gkrizek,ldm5180,jgarzik,ken2812221,rojarsmith,fkorotkov,murrayn,marcoagner,riordant,lano1106,scravy,Csi18nAlistairMann,JBaczuk,shahzadlone,wtogami,d3spwn,JustinTArthur,hugohn,Mr-Leshiy,kodslav,mmachicao,PatrickZGW,lavie,bytting,jl2012,lontivero,lucash-dev,hosseinamin,AM5800,markaw67,joshrabinowitz,mysticaltech,jlopp,cornelius,leonardojobim,LucianaMarques,zallarak,qubenix,kazcw,mruddy,sp4ke,isghe,hsjoberg,conscott,karelbilek,DesWurstes,HatboyWonder,leishman,sangaman,sizeofvoid,romanz,robust-cuttlefish,murtyjones,gustavocoding,arowser,fingera,ras0219-msft,arvidn,cisba,bitstein,PierreRochard,Kvaciral,alexeyneu,awilfox,reel,mgrychow,GeneFerneau,clodhopp,johnlow95,skeees,Fuzzbawls,masonicboom,MitchellCash,kewde,LeandroRocha84,afk11,mcdallas,AtsukiTak,Flowdalic,rex4539,jhfrontz,satwo,HashUnlimited,rodasmith,n2yen,giancarloGiuffra,ccdle12,abskj,kaplanmaxe,yuntai,mess110,jmcorgan,Alex-CodeLab,randolf,GreatSock,lmanners,andreip,glaksmono,chris-belcher,winder,dbolser,Linrono,nixbox,qshuai,TheSamHughes,kanzure,wbarobinson,WillAyd,tjps,petertodd,joemphilips,matthias-g,eklitzke,krab,GabrielDav,annanay25,dcousens,hkjn,cdecker,bitkevin,dexX7,maaku,markblundeberg,denis2342,shigeya,dooglus,esotericnonsense,junfx,fivepiece,bpay,Willtech,devrandom,vii,fwolfst,mryandao,discosultan,ericallam,snuggs,ckcollab,benma,krytarowski,bolekC,vajdaz,lionello,gnumarcelo,Varunram,valentinewallace,droark,JohnVonNeumann,aaron-hanson,jsarenik,Elbandi,lmlsna,vivganes,astanway,paveljanik,aria-golliver,knoxcard,pedrobranco,molxyz,tomasvdw,danra,dongsam,justicz,Dllieu,BitonicEelis,Eelis,hodlbirb,lclc,jharvell,PRabahy,coblee,jimhashhq,keystrike,emanuelb,stevendlander,brianmcmichael,eliahuhorwitz,ArielLorenzo-Luaces,ReneNyffenegger,dougstrong77,str4d,daira,RHavar,somdoron,ABISprotocol,pavlosantoniou,erols,earonesty,webcaetano,mkwia,sanch0panza,forkwar,rvelhote,aayanl,maxgiraldo,parazyd,spencerlievens,mchrostowski,wangchun,yinyunqiao,chrisgavin,rawodb,mariodian,arvidsson,bulldozer00,kobake,marijnfs,gubatron,kirit93,CryptAxe,richardkiss,aideca,saleemrashid,kokifpen,isle2983,robmcl4,btcdrak,venzen,mcelrath
0,24,0,0,0,36,0,51,5,0,39,0,0,0,1,5,0,0,0,19,83,0,21,35,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,64,0,4,24,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,17,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,2,2
0,3,0,0,0,20,0,18,0,0,52,0,0,0,1,20,0,0,0,25,127,0,47,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,21,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,48,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,1,3,1,4,0,0,0,0
0,13,0,0,0,18,0,4,4,0,9,0,0,1,1,9,0,0,0,20,34,0,73,47,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,27,0,0,35,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,19,0,32,1,0,15,0,0,5,0,17,0,0,0,18,161,0,52,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,18,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,27,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,5,0,0,13,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,1,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,34,0,0,0,11,0,30,4,0,19,3,0,0,9,13,0,0,0,16,24,0,26,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,10,2,1,4,1,7,2,2,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,25,0,0,0,28,0,44,1,0,14,0,0,2,41,80,0,0,0,26,77,0,31,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,8,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,37,0,0,0,36,0,48,0,0,17,0,0,1,16,154,0,0,0,26,91,0,63,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,13,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,4,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,22,0,0,0,43,0,50,1,0,7,16,0,1,6,245,0,0,0,14,53,0,40,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6,3,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,44,0,51,3,0,27,2,0,13,19,137,0,0,0,20,20,0,29,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,32,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,6,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20,0,0,0,33,0,14,3,0,11,7,0,14,26,157,0,0,0,34,86,0,29,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,60,0,19,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,41,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
