pr1,pr2,weight
15693,12967,0.6931039782464492
15693,14284,0.6265163139233407
15693,11447,0.5356650675137629
15693,10428,0.5332989285597469
15693,15683,0.4998949061983127
15687,12967,0.5941321727581113
15687,11447,0.5357038825699981
15687,7338,0.4861877105183065
15687,10428,0.40000317912162936
15687,15685,0.33331353252410106
15686,12967,0.5941414666609185
15686,7338,0.5834343790383475
15686,11447,0.5691942788951598
15686,10428,0.5333459150659681
15686,15685,0.49997811973168615
15685,15683,0.9999216563689848
15685,15681,0.9998688839664026
15685,15670,0.9993978461524149
15685,15669,0.9993941907866507
15685,15664,0.9991261759403234
15683,15681,0.9999472234627123
15683,15670,0.9994761487430205
15683,15669,0.9994724930908593
15683,15664,0.9992044572456307
15683,15660,0.9988910912889154
15681,15670,0.9995289004173035
15681,15669,0.9995252445721994
15681,15664,0.9992571945802204
15681,15660,0.9989438120842622
15681,15655,0.9985414829669599
15680,12967,0.5942942127668209
15680,7338,0.583584372490157
15680,11447,0.569340611400938
15680,10428,0.5334830314198948
15680,15670,0.4998055165078088
15672,11447,0.4690145245211161
15672,12967,0.39631933141799575
15672,7338,0.29188291341569605
15672,6704,0.23416595223821965
15672,5731,0.20254313749487612
15670,15669,0.9999963424318171
15670,15664,0.999728166102081
15670,15660,0.9994146359021765
15670,15655,0.999012117158462
15670,15650,0.9988505688449695
15669,15664,0.9997318226893872
15669,15660,0.9994182913427203
15669,15655,0.9990157711267607
15669,15650,0.9988542222223921
15669,15646,0.9987189231171083
15664,15660,0.9996863845487849
15664,15655,0.9992837563570797
15664,15650,0.9991221641173387
15664,15646,0.9989868287181716
15664,15637,0.9987376020615125
15660,15655,0.9995972454982599
15660,15650,0.9994356025647975
15660,15646,0.999300224709043
15660,15637,0.9990509198665333
15660,15633,0.9988439806341322
15655,15650,0.9998382919378875
15655,15646,0.9997028595361237
15655,15637,0.9994534542445099
15655,15633,0.99924643163282
15655,15631,0.999073886608541
15652,11447,0.5030983717618192
15652,12967,0.49597372055942485
15652,7338,0.38962857960435426
15652,6704,0.281325041144512
15652,10428,0.26713391272998566
15650,15646,0.9998645456941828
15650,15637,0.9996151000651998
15650,15633,0.99940804397087
15650,15631,0.9992354710401569
15650,15626,0.9990957511332933
15649,12967,0.5952758977366338
15649,11447,0.5367351310693725
15649,10428,0.400773199074136
15649,7338,0.38969891093931147
15649,15646,0.3333252964073952
15646,15637,0.9997505205779551
15646,15633,0.9995434364331862
15646,15631,0.9993708401235598
15646,15626,0.9992311012884693
15646,15623,0.9989822509363369
15644,11447,0.5367686690744323
15644,12967,0.49609424472794955
15644,7338,0.48715407669489286
15644,10428,0.4007982414699106
15644,15637,0.333262961308666
15638,11447,0.3355330434933667
15638,15637,0.22221015919194131
15638,15633,0.22216413150820616
15638,15631,0.22212576928418265
15638,15626,0.22209471014677626
15637,15633,0.9997928641791063
15637,15631,0.9996202247995072
15637,15626,0.9994804510937534
15637,15623,0.9992315386430866
15637,15622,0.9991191181847692
15633,15631,0.9998273248531926
15633,15626,0.9996875221892992
15633,15623,0.9994385581692657
15633,15622,0.99932611441982
15633,15615,0.998809797147249
15632,11447,0.5370788943109517
15632,12967,0.4963809621972683
15632,7338,0.48743562719769074
15632,10428,0.4010298826524538
15632,15631,0.3333289323470448
15631,15626,0.9998601731914919
15631,15622,0.9994987030050952
15631,15615,0.9989822965619659
15631,15614,0.9989765705617963
15631,15613,0.9989500777823956
15629,12967,0.49639296462389754
15629,11447,0.46995539570721623
15629,7338,0.292468447996375
15629,6704,0.281562843771543
15629,10428,0.2673597196683151
