pr1,pr2,weight
15693,15132,0.3653892986457824
15693,14511,0.3556125312153884
15693,14026,0.349014446426348
15693,14787,0.29980582715760495
15693,14497,0.2961852296116613
15687,15686,0.6666562382829355
15687,15660,0.6658356684177661
15687,15646,0.6653697330691695
15687,15538,0.6616331583539321
15687,15485,0.6601435000128956
15686,12790,0.7385662936253798
15686,15660,0.6658460839654702
15686,15646,0.6653801413283307
15686,15538,0.6616435081625265
15686,15485,0.6601538265190323
15685,12007,0.8598788588458424
15685,11694,0.848971045634705
15685,10191,0.7903075377697103
15685,9560,0.768034600596299
15685,9116,0.7514350276785161
15683,11435,0.6274758745213935
15683,5112,0.5871946256301636
15683,13761,0.5535198689057751
15683,15508,0.5506543696294578
15683,15391,0.5476556844432974
15681,15466,0.41211662672913996
15681,14619,0.39693529670818156
15681,14569,0.39614095719441245
15681,14504,0.3951154958813388
15681,15623,0.37396080495057943
15680,15530,0.5789348239788304
15680,15463,0.5769955935957669
15680,15279,0.5723213575660209
15680,15186,0.5701375439376453
15680,15130,0.5685227285354569
15672,15558,0.9937821992187295
15672,15345,0.983631402064918
15672,14775,0.9594968793474253
15672,13212,0.9000578013366506
15672,11616,0.8467599111080754
15670,15531,0.45702718956261246
15670,15160,0.4418969522568023
15670,14862,0.4359088416227379
15670,15474,0.42449320572444316
15670,15458,0.42393656165338706
15669,15616,0.664779608129274
15669,15463,0.6596825421624583
15669,15279,0.6543384599181656
15669,15186,0.6518416926257188
15669,14981,0.6452759565249266
15664,13113,0.8970514731193381
15664,15631,0.7487687297163375
15664,11648,0.7420900010147742
15664,15415,0.7405926981643238
15664,15282,0.7364512727353099
15660,15646,0.6662001498060286
15660,15538,0.6624589116472532
15660,15485,0.6609673941335537
15660,15466,0.6600837752734422
15660,15443,0.6594082461838575
15655,15615,0.4435809447463508
15655,15545,0.44193720720461893
15655,15500,0.4410348108986439
15655,15389,0.43878390654309435
15655,15283,0.43674264808921587
15652,15530,0.4969598409054523
15652,15130,0.4880220588258232
15652,15122,0.4878657414076625
15652,14942,0.4837613703018596
15652,14821,0.4813546296081229
15650,15576,0.6640040363423915
15650,14776,0.6404664707478757
15650,14485,0.6327676536170879
15650,14618,0.5300766423957963
15650,15573,0.49795439735240754
15649,15512,0.421653414704306
15649,14050,0.41475546233704363
15649,13442,0.4111567552515114
15649,14400,0.4073428717767587
15649,13471,0.4051983401755377
15646,15538,0.6629228086485573
15646,15485,0.6614302466768696
15646,15466,0.660546009049115
15646,15443,0.6598700069099366
15646,15397,0.6585649548136676
15644,15633,0.7496863438761043
15644,15613,0.7487699152426862
15644,15201,0.7346128774181532
15644,15194,0.7344514294307348
15644,14626,0.7158643315216021
15638,15031,0.3994053154648801
15638,15633,0.3721249202762451
15638,15613,0.371670028794047
15638,15500,0.3695485787696877
15638,13128,0.36936402423164766
15637,15538,0.3315441177591596
15637,15485,0.3307976505451066
15637,15466,0.33035542140415886
15637,15443,0.33001733598921573
15637,15397,0.32936464710863644
15633,15613,0.9987775839310613
15633,14626,0.9548851161145178
15633,14436,0.9477145928677411
15633,13946,0.9299307859389274
15633,13670,0.9214392866261177
15632,15530,0.44210479310397494
15632,15130,0.4341535745710579
15632,14821,0.4282221045161415
15632,14402,0.4207539289633583
15632,14942,0.41840865321768816
15631,11323,0.833685721859168
15631,11648,0.7433102888416961
15631,15415,0.7418105238364677
15631,15282,0.737662288275219
15631,15171,0.7342424300673198
15629,14886,0.34894750475790237
15629,14693,0.3191819416558327
15629,14413,0.315666238898801
15629,15108,0.3116881436226009
15629,15415,0.3090911109946203
15626,14600,0.9543917200134939
15626,13803,0.9262776244494486
15626,11729,0.8523488237874376
15626,11624,0.8488198877922508
15626,11276,0.8322015750428983
15623,15615,0.7495281643252024
15623,15545,0.7467507060126249
15623,15389,0.741422506764234
15623,15283,0.7379733489048413
15623,14668,0.7178829847509245
15622,15500,0.6624975646830336
15622,15124,0.6513733698210082
15622,14968,0.6463601016465144
15622,14741,0.6403919009408693
15622,14628,0.6370962823727973
15620,15616,0.4443462873119888
15620,15500,0.4417538465200472
15620,15124,0.4343362254875995
15620,14981,0.43130982368789245
15620,14808,0.4283558258214323
15616,14981,0.9706614773289577
15616,14808,0.9640135139031124
15616,11797,0.8560620026643035
15616,11288,0.8330177049661124
15616,8849,0.7442007931834322
15615,15545,0.9962943909985318
15615,15389,0.9891856531258357
15615,15283,0.984583880939599
15615,14668,0.9577798659470416
15615,13930,0.9302127359218414
15614,15462,0.8270230748617491
15614,15478,0.7726924900033124
15614,15313,0.7665006958756813
15614,15202,0.7358003282314399
15614,15371,0.6585751488455434
15613,14626,0.956053811656657
15613,14436,0.9488745123190062
15613,13946,0.9310689395719499
15613,13670,0.9225670474095445
15613,13407,0.9108471541595975
15607,15489,0.7459194281166462
15607,15459,0.7446125132324968
15607,14974,0.7283973192591241
15607,14799,0.7231577699107911
15607,14390,0.7110253948855922
15606,15545,0.34618701289115117
15606,15500,0.3454801299301407
15606,15389,0.3437169069146353
15606,15283,0.34211790788226876
15606,15124,0.3396790696830144
15604,15603,0.49997726341781673
15604,15489,0.49738081961675573
15604,15459,0.49650936571470516
15604,15416,0.49550366794681316
15604,15396,0.4951479487045809
15603,15348,0.6585663484315316
15603,15489,0.4974034381250541
15603,15459,0.49653194459343486
15603,15416,0.4955262010912033
15603,15396,0.4951704656725559
15600,9063,0.7531700456510693
