pr1,pr2,weight
19415,19413,0.9997384746425914
19415,19405,0.9995574259138469
19415,19403,0.9993860369792722
19415,19401,0.9990859391682195
19415,19397,0.9982285334154666
19413,19405,0.9998189039100359
19413,19403,0.9996474701411836
19413,19401,0.9993472938264129
19413,19397,0.9984896637816559
19413,19395,0.998384192796154
19405,19403,0.9998285351795391
19405,19401,0.9995283044941651
19405,19397,0.9986705191078288
19405,19396,0.9986260698815477
19405,19393,0.9984818477150342
19403,19401,0.9996997178267971
19403,19397,0.9988417853352202
19403,19396,0.9987973284861533
19403,19395,0.9987362771549343
19403,19393,0.9986530815863712
19401,19396,0.9990973396065316
19401,19395,0.9990362699371795
19401,19387,0.9984288848338825
19401,19386,0.9984108991045944
19401,19381,0.9976110882935744
19397,19396,0.9999554916006524
19397,19395,0.9998943694768933
19397,19387,0.9992864626739411
19397,19386,0.9992684614962187
19397,19381,0.9984679637058472
19396,19395,0.9999388751556718
19396,19393,0.9998555794096878
19396,19381,0.9985124058947623
19396,19379,0.9983249325186655
19396,19377,0.9981574126732025
19395,19393,0.9999166991622652
19395,19387,0.9993920289767506
19395,19381,0.998573443541049
19395,19379,0.9983859587049707
19395,19377,0.9982184286192574
19393,19387,0.9994752861053784
19393,19386,0.9994572815261847
19393,19381,0.9986566324751436
19393,19375,0.9982017052251732
19393,19374,0.9978684366308269
19387,19381,0.9991809165853167
19387,19379,0.9989933176945488
19387,19377,0.9988256856934362
19387,19375,0.9987257505033786
19387,19368,0.9979166447870187
19386,19381,0.9991989161859738
19386,19379,0.9990113139157328
19386,19377,0.9988436788948376
19386,19368,0.9979346216126337
19386,19367,0.9979219762488523
19381,19379,0.9998122473241293
19381,19375,0.9995444607934532
19381,19374,0.9992107438946626
19381,19368,0.9987346918087481
19381,19367,0.998722036306849
19379,19375,0.9997321631822447
19379,19374,0.9993983836154473
19379,19367,0.9989095842542456
19379,19364,0.9986488422765145
19379,19362,0.9984463093841335
19377,19375,0.9998999473166451
19377,19367,0.999077230335977
19377,19362,0.9986138777148672
19377,19357,0.998394534727078
19377,19356,0.9983128345814231
19375,19374,0.9996661310107949
19375,19368,0.9991898619656575
19375,19367,0.9991772006960536
19375,19364,0.9989163888633114
19375,19360,0.9986330265485501
19374,19368,0.9995235718902911
19374,19367,0.9995109063920702
19374,19362,0.999047352640426
19374,19357,0.9988279144409764
19374,19356,0.9987461788311993
19368,19367,0.9999873284647035
19368,19364,0.9997263051670598
19368,19362,0.9995235537577524
19368,19360,0.9994427131035818
19368,19358,0.999397522428093
19367,19364,0.9997389733947485
19367,19362,0.9995362194162368
19367,19360,0.9994553777376781
19367,19358,0.9994101864895467
19367,19356,0.9992348982327454
19364,19362,0.9997971930834874
19364,19357,0.9995775901834995
19364,19356,0.9994957932266144
19364,19349,0.9988783796899819
19364,19348,0.9985461532107315
19362,19360,0.9999191208112439
19362,19358,0.9998739085945644
19362,19357,0.9997803525539909
19362,19356,0.9996985390047523
19362,19348,0.9987487063562386
19360,19357,0.999861220518375
19360,19356,0.9997794003515876
19360,19349,0.9991618116237445
19360,19348,0.9988294908751661
19360,19340,0.9980094561182632
19358,19357,0.9999064321613262
19358,19356,0.9998246082948012
19358,19348,0.9988746558654507
19358,19340,0.9980545840282831
19358,19339,0.998026266818374
19357,19356,0.9999181684766763
19357,19347,0.9987007569447057
19357,19340,0.9981479785773152
19357,19339,0.998119658717578
19357,19337,0.9979324401175378
19356,19349,0.9993822750022395
19356,19348,0.9990498809276452
19356,19347,0.9987824888372364
19356,19340,0.9982296652314481
19356,19339,0.998201343054064
19349,19347,0.999399843103079
19349,19340,0.9988466777932509
19349,19337,0.9986309884574951
19349,19333,0.9981649364738533
19349,19331,0.9981231081204346
19348,19347,0.9997323536136549
19348,19339,0.9991506551476756
19348,19337,0.9989632431622967
19348,19335,0.9985933524569749
19348,19334,0.998589231151991
19347,19340,0.9994465025048327
19347,19339,0.9994181458028475
19347,19337,0.999230683643899
19347,19335,0.9988606939121626
19347,19334,0.9988565715038311
19340,19339,0.9999716275939591
19340,19337,0.9997840616177127
19340,19335,0.9994138669841739
19340,19334,0.999409742292836
19340,19333,0.9993174715053327
19339,19337,0.9998124287019046
19339,19333,0.9993458253508649
19339,19331,0.9993039475119999
19339,19326,0.9986592141241419
19339,19321,0.998406126510784
19337,19335,0.9996297254099652
19337,19334,0.9996255998277558
19337,19333,0.9995333091111445
19337,19331,0.9994914234157253
19337,19328,0.9992230702381404
19335,19333,0.9999035479874498
19335,19331,0.9998616467770772
19335,19328,0.9995931941983238
19335,19326,0.9992165535714306
19335,19323,0.9990051429695289
19334,19333,0.9999076747167868
19334,19331,0.9998657733334825
19334,19328,0.999597319646791
19334,19326,0.999220677465454
19334,19323,0.9990092659910339
19333,19331,0.9999580947477814
19333,19328,0.9996896162737389
19333,19324,0.9991353571116915
19333,19323,0.9991015083207484
19333,19321,0.999059686030358
19331,19328,0.9997315102748278
19331,19326,0.9993548175312795
19331,19325,0.9991773003904633
19331,19324,0.9991772278854372
19331,19323,0.9991433776759924
19328,19326,0.9996232060911586
19328,19325,0.999445641276014
19328,19324,0.9994455687515158
19328,19321,0.9993698741758178
19328,19320,0.9992415600384679
19326,19324,0.9998222957024603
19326,19323,0.9997884236393543
19326,19321,0.9997465725947565
19326,19318,0.9995823683771555
19326,19316,0.999059568223562
19325,19323,0.9999660493543462
19325,19321,0.9999241908743536
19325,19318,0.9997599574836887
19325,19316,0.9992370644476924
19325,19315,0.9992288074778081
19324,19323,0.9999661219166129
19324,19321,0.9999242634335829
19324,19318,0.9997600300310004
19324,19316,0.9992371369570606
19324,19315,0.9992288799865771
19323,19321,0.9999581400988368
19323,19320,0.9998297504310587
19323,19318,0.9997939011321529
19323,19315,0.9992627330927744
19323,19314,0.9992278558007027
19321,19320,0.9998716049576182
19321,19318,0.9998357541580014
19321,19309,0.9991515433109873
19321,19308,0.99915050107861
19321,19300,0.9989336678858378
19320,19318,0.9999641445967272
19320,19316,0.9994411447670765
19320,19315,0.9994328861108205
19320,19304,0.9992253814444709
19320,19302,0.9991061301764081
19318,19316,0.999476981417307
19318,19315,0.999468722464923
19318,19314,0.9994338379831992
19318,19309,0.9993156767557384
19318,19308,0.9993146343521507
19316,19309,0.9998386109289482
19316,19308,0.9998375679798788
19316,19300,0.9996205856815316
19316,19295,0.9989954018324685
19316,19292,0.998540872758326
19315,19309,0.9998468729378472
19315,19308,0.9998458299801596
19315,19300,0.9996288458888134
19315,19295,0.999003656873642
19315,19292,0.9985491240435702
19314,19308,0.9998807288421523
19314,19300,0.9996637371771405
19314,19292,0.9985839776450235
19314,19289,0.9985159019405598
19314,19282,0.9980392122462294
19309,19308,0.9999989568825828
19309,19304,0.9999454963042589
19309,19302,0.9998261590950144
19309,19300,0.9997819395600116
19309,19297,0.9991797474381805
19308,19304,0.9999465393659103
19308,19302,0.9998272020321829
19308,19297,0.9991807897010652
19308,19295,0.9991576970356177
19308,19288,0.9985871750347655
19304,19300,0.9998364343408198
19304,19295,0.9992111154954416
19304,19292,0.9987564882745695
19304,19289,0.9986884008096704
19304,19284,0.9983492012779098
19302,19300,0.9999557727764967
19302,19295,0.9993303792943377
19302,19292,0.9988756978100887
19302,19289,0.9988076022184086
19302,19284,0.9984683622004844
19300,19297,0.9993976765352492
19300,19295,0.9993745788572003
19300,19288,0.9988039330161862
19300,19284,0.9985125236370382
19300,19282,0.9983749286179986
19297,19295,0.9999768884012928
19297,19292,0.9995219127643528
19297,19289,0.9994537731187532
19297,19284,0.9991143136321072
19297,19282,0.9989766356864103
19295,19292,0.9995450138476026
19295,19289,0.9994768726271503
19295,19288,0.9994289970416632
19295,19284,0.9991374052948717
19295,19282,0.9989997241671438
19292,19288,0.9998839303839926
19292,19284,0.9995922059066036
19292,19282,0.9994544621073544
19292,19281,0.9993650154144396
19292,19280,0.9991957984071538
19289,19288,0.999952099356375
19289,19284,0.9996603549901196
19289,19282,0.9995226017999272
19289,19281,0.9994331490088154
19289,19280,0.999263920464841
19288,19282,0.9995704818693574
19288,19279,0.9992882029862588
19288,19277,0.9991314057613137
19288,19271,0.9985729453703541
19288,19262,0.997715192525158
19284,19282,0.9998622000067275
19284,19281,0.999772716823099
19284,19279,0.9995798387423748
19284,19277,0.9994229957571803
19284,19276,0.9992952367794223
19282,19281,0.9999105044838899
19282,19280,0.999741195111926
19282,19279,0.9997175998209044
19282,19277,0.999560735219769
19282,19276,0.9994329586343984
19281,19279,0.9998070780713669
19281,19277,0.9996501994302966
19281,19271,0.9990914490617491
19281,19268,0.9987489690742619
19281,19261,0.9981758646463239
19280,19279,0.9999763986008209
19280,19277,0.9998194933918505
19280,19276,0.9996916837287142
19280,19272,0.9995913626860001
19280,19271,0.9992606483971392
19279,19277,0.9998430910877597
19279,19276,0.9997152784080654
19279,19272,0.9996149549975784
19279,19271,0.9992842329032133
19279,19268,0.9989416868310773
19277,19276,0.9998721672622098
19277,19272,0.9997718281076152
19277,19271,0.9994410541118623
19277,19268,0.9990984542827598
19277,19267,0.9990342400849836
19276,19271,0.9995688317322323
19276,19268,0.9992261881020564
19276,19262,0.9987102234419087
19276,19261,0.9986528098351996
19276,19260,0.9985353387292547
19272,19271,0.9996691505136938
19272,19268,0.9993264724950992
19272,19262,0.9988104560516782
19272,19261,0.9987530366828214
19272,19260,0.9986355537872351
19271,19268,0.9996572085690366
19271,19267,0.9995929584589256
19271,19262,0.9991410213453379
19271,19261,0.9990835829730251
19271,19260,0.9989660611954191
19268,19267,0.9999357278579495
19268,19262,0.9994836357710682
19268,19259,0.9991977832710331
19268,19258,0.9990704971285367
19268,19256,0.9989021001438741
19267,19262,0.9995478788543243
19267,19261,0.9994904170926876
19267,19260,0.9993728474593567
19267,19258,0.9991347136567804
19267,19256,0.9989663058481874
19262,19261,0.9999425122469344
19262,19260,0.9998248894338426
19262,19259,0.9997139998197023
19262,19256,0.999418163933474
19262,19253,0.9990458030481961
19261,19260,0.9998823704246482
19261,19259,0.9997714744353466
19261,19258,0.9996441152112876
19261,19256,0.9994756215412002
19261,19253,0.9991032392485011
19260,19259,0.9998890909645156
19260,19258,0.9997617167574827
19260,19256,0.9995932032652248
19260,19253,0.9992207771642015
19260,19252,0.9992188919532052
19259,19258,0.9998726116644496
19259,19256,0.9997040794804498
19259,19250,0.9992108526558519
19259,19245,0.999121074322703
19259,19243,0.9989812750871088
19258,19256,0.9998314463442305
19258,19253,0.9994589314791572
19258,19252,0.9994570458188397
19258,19250,0.9993381566802834
19258,19247,0.9992978382077343
19256,19253,0.9996274223355994
19256,19252,0.9996255363573933
