pr	committer	weight
19415	practicalswift	0.9997375197738883
19414	Peter Bushnell	0.9997040356873331
19413	MarcoFalke	0.9996898130006966
19412	fanquake	0.9996737036311389
19408	Aaron Clauson	0.9996222915215373
19407	fanquake	0.9970835147451527
19405	Jon Atack	0.9994849355625218
19403	fanquake	0.9993275517386508
19401	Luke Dashjr	0.360046650049344
19400	Ali Hamrani	0.9988869659236038
19399	Hennadii Stepanov	0.998658069560548
19397	Jon Atack	0.9978996230262394
19396	MarcoFalke	0.9981380767686443
19395	Luke Dashjr	0.9980727624666202
19394	Bushstar	0.9993734398583537
19393	Hennadii Stepanov	0.9979846900518595
19391	Luke Dashjr	0.9975630768895856
19390	Luke Dashjr	0.9975610722889817
19387	Cory Fields	1.0003444949978715
19386	MarcoFalke	0.9886125642197839
19385	Yancy Ribbens	0.9973010456577267
19384	Ivan Metlushko	0.9971849602345292
19382	Cory Fields	0.9967778902531057
19381	codeShark149	0.9965791082520609
19379	practicalswift	0.9964582562333102
19378	Hennadii Stepanov	0.9963239071752003
19377	Hennadii Stepanov	0.9962844319633113
19375	Luke Dashjr	0.9099140833623592
19375	fanquake	0.9961606274672007
19374	Hennadii Stepanov	0.9977129502641356
19373	Wladimir J. van der Laan	0.9957486684372461
19371	MarcoFalke	0.9957297562550795
19370	Daniel Kraft	0.9956158296325323
19368	Ivan Metlushko	0.9955094452063742
19367	Pieter Wuille	0.9964550044264484
19366	practicalswift	0.9951703003454081
19364	John Newbery	0.9950985005708425
19362	Pavol Rusnak	1.0191045784714965
19360	Vasil Dimov	0.9629297555294323
19358	saibato	1.036073341170324
19357	Jon Atack	0.994682520245559
19356	Glenn Willen	0.9948664446185997
19354	Jon Atack	0.9744700870051085
19353	Hennadii Stepanov	0.9942342516399628
19351	Vasil Dimov	0.9644407889962847
19350	Christopher Coverdale	0.9936828050621154
19349	Franck Royer	0.9939350128439568
19348	Duncan Dean	0.9936440373563218
19347	John Newbery	0.9930550203906886
19344	Peter Bushnell	0.9932576301811216
19340	Hennadii Stepanov	0.9938263411171097
19339	gzhao408	1.0322475518474978
19339	John Newbery	0.6519190830721003
19337	Vasil Dimov	0.9922999345103332
19335	Andrew Chow	0.9878058748403576
19334	Andrew Chow	0.9905642678581794
19333	MarcoFalke	0.9921467639759666
19332	MarcoFalke	0.9921325775716939
19331	MarcoFalke	0.9931709969667945
19328	Fabian Jahr	0.9820309347969639
19327	saibato	0.9916386566817601
19326	Pieter Wuille	0.992892583113825
19325	Andrew Chow	0.99009233408075
19324	Andrew Chow	0.9888627565163125
19323	Hennadii Stepanov	0.9912266160164868
19322	John Newbery	0.9912264890282132
19321	MarcoFalke	0.9820290639875768
19320	MarcoFalke	0.9925820208188204
19318	fanquake	0.9910089309038662
19317	jmorgan	0.9906941088325787
19316	Amiti Uttarwar	0.9812716858734043
19315	Amiti Uttarwar	0.9967913434512751
19314	Aaron Hook	0.8564873048008824
19310	Andrew Chow	0.9903504090231819
19309	Hennadii Stepanov	0.9903579164489725
19308	Andrew Chow	0.9639917584610472
19306	Hennadii Stepanov	0.99943037849762
19305	fanquake	0.9903118650586323
19304	Troy Giorshev	0.9902918190525949
19302	MarcoFalke	0.9901876795977012
19301	fanquake	0.9901531478578892
19300	João Barbosa	0.9901841420672239
19299	MarcoFalke	0.9810531046818762
19298	MarcoFalke	0.9896527868483688
19297	glowang	1.0142670849116162
19296	practicalswift	0.9899490822376059
19295	MarcoFalke	0.9895195307964705
19294	MarcoFalke	0.9894097358281086
19293	MarcoFalke	0.9893816306019969
19292	Andrew Chow	0.9888882811592941
19290	Andrew Chow	0.9837578968564961
19289	João Barbosa	1.0062205024381747
19288	practicalswift	1.0331785164867062
19287	Alex Willmer	0.9889176789446186
19286	practicalswift	0.988811008794845
19285	Wladimir J. van der Laan	0.31503900354115877
19285	Cory Fields	0.3109092178973645
19285	João Barbosa	0.3151141080343667
19285	MarcoFalke	0.3164092221303069
19285	Matt Corallo	0.3152232689684199
19285	fivepiece	0.3100772451526762
19285	Sjors Provoost	0.31854870544525715
19285	Russell Yanofsky	0.32029716163067457
19284	wiz	0.9885508461047254
19283	MarcoFalke	0.9886419420498084
19282	Luke Dashjr	0.9885092120921862
19281	Ivan Metlushko	0.9884165560054569
19280	Patrick Strateman	0.9886846615097333
19279	João Barbosa	0.9882147534976199
19277	MarcoFalke	0.9856217799402066
19276	MarcoFalke	0.9879310072709857
19275	Thomas Bucaioni	0.9879267350226402
19273	Calin Culianu	0.987858315554975
19272	Jon Atack	0.988274412588529
19271	Andrew Toth	1.0148259716417045
19269	Gregory Sanders	0.9872565317325555
19268	Hennadii Stepanov	1.0042704160861489
19267	MarcoFalke	0.985862413647974
19264	John Newbery	0.9867723753337978
19262	MarcoFalke	0.9646066039344595
19261	João Barbosa	0.986217418437246
19260	gzhao408	0.9841991605470413
19259	practicalswift	0.9837988481558884
19258	Sjors Provoost	0.9862379179728318
19257	fanquake	0.9861494797109022
19256	Cory Fields	0.9731495450191571
19253	John Newbery	0.9856928557952266
19252	gzhao408	0.9863109876301328
19251	Hennadii Stepanov	0.9852937567575902
19250	MarcoFalke	0.9855828353578893
19249	Hennadii Stepanov	0.9839944433559735
19247	practicalswift	0.9855243028343783
19245	Kiminuo	1.0383739728203631
19243	Luke Dashjr	0.9851948136174967
19242	Luke Dashjr	0.9852149956823987
19241	Luke Dashjr	0.9851086112562406
19240	Carl Dong	0.9290395840589806
19240	Cory Fields	0.9912203210263556
19239	John Newbery	0.9848486995191378
19238	Hennadii Stepanov	1.256815923241031
19237	Elichai Turkel	0.9867268364318472
19233	Hennadii Stepanov	0.9846128308951586
19231	fanquake	0.9843958260768606
19230	Pieter Wuille	0.9544469479275514
19228	Pieter Wuille	0.9845921626465808
19227	TrentZ	0.9842001280767445
19226	MarcoFalke	0.9841389287994892
19224	MIZUTA Takeshi	0.9830078714588413
19224	sachinkm77	0.9791049503657262
19224	fanquake	0.9864871868831998
19224	Samuel Dobson	0.9435449502205968
19224	Russell Yanofsky	0.9672462865000581
19224	Andrew Chow	0.9812780349290318
19224	João Barbosa	0.9901841420672239
19224	Pieter Wuille	0.9843582692949611
19222	practicalswift	0.9838856960408684
19220	Hennadii Stepanov	0.9837573834610472
19219	Pieter Wuille	0.9843582692949611
19217	glowang	0.9837078308225937
19216	Patrick Strateman	0.9836701878700801
19215	Andrew Chow	0.9812780349290318
19214	Pieter Wuille	0.9833598376001393
19213	Hennadii Stepanov	1.1033425808008244
19210	Hennadii Stepanov	0.9832096558254964
19208	Roy Shao	0.9842177885173575
19207	Jon Atack	0.983138805439452
19206	MarcoFalke	0.983157037327296
19205	Brian Liotti	1.0033094005790666
19204	MarcoFalke	0.9824676497373157
19203	practicalswift	1.0819445941091954
19202	Jon Atack	0.9824730920918959
19201	MarcoFalke	0.9824504655027284
19200	Jon Atack	0.9819610390906188
19198	MarcoFalke	0.9824172580691977
19197	fanquake	0.981595634868803
19196	Sarah Van Norden	0.9820070678044815
19195	Patrick Strateman	0.9818998685369015
19194	MIZUTA Takeshi	0.9830078714588413
19193	Hennadii Stepanov	0.9817592411180773
19192	MarcoFalke	0.9817620076483223
19191	MarcoFalke	0.981685070895739
19190	Hennadii Stepanov	0.9816591924997098
19189	Hennadii Stepanov	0.9819862145158481
19188	MarcoFalke	0.9812834296630094
19185	Luke Dashjr	0.870867928567282
19184	Pieter Wuille	0.9812888463175818
19183	MarcoFalke	0.981144273191687
19181	Pieter Wuille	0.14166192274759085
19180	Hennadii Stepanov	0.9810253849558807
19179	MarcoFalke	1.0390005327460428
19178	John Newbery	0.9808969544583769
19177	Troy Giorshev	0.9801618420193312
19176	Wladimir J. van der Laan	0.9808169367283951
19174	Sebastian Falbesoner	0.9803722570532916
19173	Vasil Dimov	0.9807289308313015
19172	Hennadii Stepanov	0.9806026001756066
19170	Andrew Chow	0.9747566088325786
19169	pasta	0.9810170853651458
19168	Fabian Jahr	1.0231684934836875
19164	MarcoFalke	0.9796134204835714
19162	MarcoFalke	0.9842620076483223
19160	Russell Yanofsky	0.5508176260933085
19159	MarcoFalke	0.9793259825264136
19158	Vasil Dimov	0.97931263061651
19155	Wladimir J. van der Laan	0.9791965905462673
19153	Ivan Metlushko	0.9791319081620806
19152	sachinkm77	0.9791049503657262
19147	Antoine Riard	0.9787857381284105
19146	MarcoFalke	0.9787951231665312
19145	Fabian Jahr	1.0923413462933937
19144	Peter Wagner	0.9787583630848717
19143	practicalswift	0.9828138095665709
19142	MarcoFalke	0.9786330936883201
19140	practicalswift	0.9783689263322884
19138	Wladimir J. van der Laan	0.9782134564031115
19137	Andrew Chow	0.9779792749090522
19136	Andrew Chow	0.9615333856706432
19135	Anderson Calixto	0.9778528913415767
19134	dboures	0.9803000415433065
19133	Jon Atack	0.977078999606538
19133	Harris	0.8407415752351097
19132	Vasil Dimov	0.9776670802856148
19131	Jonathan Schoeller	0.9777378898539998
19130	Anthony Towns	0.9774134302798095
