pr1	pr2	weight
19415	19385	0.5610239886153784
19415	19190	0.5523086485366554
19415	18183	0.5076454156210888
19415	19203	0.4791330885239264
19415	19286	0.46357209703532354
19414	18650	0.5405358136361388
19414	17122	0.46750873934653564
19414	16636	0.4468740979520311
19414	16541	0.44207208201300374
19414	18661	0.4325840562010454
19413	19381	0.5150959697116598
19413	19317	0.512041600402628
19413	19271	0.5104138551854066
19413	19207	0.5081992752206456
19413	19197	0.507687016879142
19412	19162	0.4899590614934817
19412	18912	0.47989671059531014
19412	18899	0.4793786067484553
19412	18705	0.47292040034021815
19412	18441	0.4641724687597467
19408	19061	0.971976008770987
19408	15562	0.6874116966367303
19408	15550	0.6860950932864656
19408	15396	0.67463834257211
19408	14950	0.6427946327232374
19407	18820	0.423813056698097
19407	17919	0.3897175729819033
19407	19124	0.3258840297476865
19407	18743	0.31611662112835204
19407	18714	0.3157231598373205
19405	18724	0.31586584345736124
19405	18653	0.3143684065325527
19405	18574	0.28154977304200407
19405	16991	0.2691366792844352
19405	16987	0.26907118176495043
19403	19356	0.33175830862822353
19403	19318	0.33057945434406505
19403	19301	0.3302886658919282
19403	19257	0.32896695004177534
19403	19152	0.3266593235524158
19401	18756	0.6650992512677714
19401	18384	0.6467155465381641
19401	18745	0.6431581495517776
19401	19350	0.6353050885897431
19401	19397	0.6327898128791648
19400	15299	0.6684529595539896
19400	14195	0.5977894197201659
19400	12351	0.5040632577307553
19400	12286	0.5009668078052147
19400	19394	0.49955433836869384
19399	16332	0.7537352961434594
19399	19386	0.749084780670038
19399	15790	0.7060912110702325
19399	15769	0.7043546053978117
19399	15754	0.7027813830292785
19397	19153	0.7358599090398171
19397	18795	0.7153445824975964
19397	18485	0.7000709564341449
19397	17488	0.698628584540702
19397	19083	0.6914630062495303
19396	19279	0.5363284605654135
19396	19261	0.5354534255668671
19396	19169	0.5321070118603121
19396	19018	0.52539276162546
19396	19002	0.5247278921878865
19395	19391	0.9994899456624238
19395	19282	0.9904850895907884
19395	18012	0.8883272272524857
19395	16596	0.7788881436620808
19395	18448	0.7753628082018688
19394	17068	0.812942875503176
19394	14686	0.6260584985165655
19394	14568	0.6195322798488421
19394	19387	0.499733282406762
19394	19385	0.49966300510332035
19393	18628	0.6918131898121084
19393	19397	0.6665407182921796
19393	19134	0.6658769467523387
19393	19350	0.6640660195658614
19393	19332	0.6627661453534348
19391	19395	0.9994899456624238
19391	19282	0.9909905486186084
19391	18012	0.8887805536290175
19391	16596	0.7792856216736262
19391	18448	0.775758487183168
19390	19050	0.7295405761002628
19390	19408	0.4989682884078051
19390	19357	0.498563345223454
19390	19354	0.4983749335632061
19390	19305	0.49639389651626165
19387	19382	0.7495180575374502
19387	18388	0.5013120395377493
19387	19385	0.49992968518816355
19387	19394	0.499733282406762
19387	19381	0.49959045829265836
19386	19399	0.749084780670038
19386	18508	0.7016134565766327
19386	18444	0.6978893841234525
19386	18316	0.6896337451052756
19386	19391	0.6665893473862521
19385	18183	0.9048550969700436
19385	16228	0.7456611226241913
19385	14840	0.6371755959866132
19385	18528	0.6248648889735426
19385	19286	0.6197222932206047
19384	19297	0.8683185796889603
19384	19119	0.8572495353663081
19384	19023	0.849683706558745
19384	18952	0.8442987129363027
19384	18903	0.8411909008204448
19382	19387	0.7495180575374502
19382	18388	0.6173961658486138
19382	19381	0.4999116965247658
19382	19378	0.4997514686369734
19382	19385	0.49974898453659305
19381	19317	0.9940702908028158
19381	19142	0.9821489449986353
19381	19088	0.9779930744251394
19381	19009	0.970669266438237
19381	18984	0.968446370303929
19379	19385	0.4995669127542145
19379	19400	0.49878523425456567
19379	19286	0.4713972551254459
19379	19067	0.46365297458637234
19379	19247	0.46159895375760074
19378	19109	0.9794310333294242
19378	18962	0.9665156984012994
19378	18861	0.9600622271706292
19378	18760	0.9532771158154948
19378	18461	0.9331234766973368
19377	18429	0.6204179452056435
19377	18377	0.6170697467345932
19377	18265	0.6106359555378876
19377	18815	0.5579667115245707
19377	18754	0.5557256549449804
19375	18287	0.5733895844727382
19375	18308	0.4216341467464974
19375	18117	0.4124134113934158
19375	18116	0.41238628002150857
19375	18004	0.40721535211438625
19374	19378	0.6663540706590839
19374	19109	0.6532603320771954
19374	18962	0.6446460696156981
19374	18861	0.6403417371862189
19374	18760	0.6358162076224185
19373	19362	0.44404184831468246
19373	19391	0.44366565741697467
19373	19395	0.4434393638239754
19373	19282	0.44121336913901393
19373	19386	0.42985095927297917
19371	19162	0.7651789949848553
19371	18705	0.7385693725861988
19371	18683	0.6847440541981764
19371	18799	0.6375050842664008
19371	18798	0.6374475736396279
19370	16786	0.7926237480932101
19370	19195	0.7397727764503867
19370	18850	0.7194796678411256
19370	18671	0.7106654585717664
19370	18195	0.6810455903451671
19368	19118	0.7361249417209011
19368	19281	0.6827341519323485
19368	19120	0.6747829409690519
19368	18965	0.6652329442744518
19368	19397	0.6648030626751117
19367	19382	0.4992728275268256
19367	18981	0.4846588271552813
19367	18645	0.47330697579087694
19367	18577	0.47134484058920817
19367	18568	0.470982077770953
19366	19052	0.9750296731347639
19366	18008	0.8901643191373741
19366	19074	0.7459299844557143
19366	19140	0.737519341705652
19366	18938	0.7245070728091667
19364	19378	0.624238415693064
19364	19347	0.6239243099632662
19364	19322	0.6225876046844255
19364	19109	0.6128912251732112
19364	19084	0.6120359648871936
19362	18809	0.9574616857507655
19362	18541	0.9408556210704052
19362	18525	0.9394544759400579
19362	18493	0.9370391256204914
19362	18398	0.9290745101759867
19360	18722	0.555301138172831
19360	17944	0.5519828020820813
19360	15718	0.5276964102265473
19360	19314	0.5162696029661592
19360	15343	0.5049933917211373
19358	19207	0.7413422447991486
19358	19197	0.7405949813390768
19358	19180	0.7397622079982628
19358	19043	0.7311896645088916
19358	18665	0.7111814413909475
19357	19354	0.49981104541473714
19357	19390	0.498563345223454
19357	19305	0.49782429983273235
19357	19408	0.497534598058033
19357	19275	0.4966328657343706
19356	19318	0.9964466472926244
19356	19301	0.9955701403760705
19356	19257	0.9915861682621001
19356	19152	0.9846304223791973
19356	19094	0.9803072381993732
19354	19357	0.49981104541473714
19354	19390	0.4983749335632061
19354	19305	0.49801250332477526
19354	19408	0.497346575170773
19354	19275	0.4968206188023222
19353	19158	0.656783917013231
19353	19340	0.5825057193383821
19353	19337	0.5823799339956751
19353	18881	0.5215015670389321
19353	19351	0.499963201966608
19351	18976	0.6466632878977793
19351	18975	0.64666279518604
19351	18926	0.6442590814861574
19351	18825	0.6394458625636995
19351	18695	0.6332562960345944
19350	19332	0.6909525365102555
19350	19122	0.680501235642681
19350	18855	0.6655518584290208
19350	19304	0.6641523595914843
19350	19302	0.6640730971822834
19349	19169	0.5754218272899264
19349	19018	0.5681610206234009
19349	19002	0.5674420291834268
19349	18946	0.5645603048752226
19349	18880	0.5617307862223275
19348	19172	0.4523953797601742
19348	17346	0.4165000062750699
19348	18649	0.3952058988662474
19348	18522	0.39178781118982087
19348	17353	0.38206680554714345
19347	19322	0.6652383894889223
19347	19378	0.6647083055169833
19347	19109	0.6548777529433503
19347	19084	0.653963902473178
19347	19029	0.650207180101684
19344	19287	0.6637793822851422
19344	13935	0.45611000417335856
19344	19201	0.3297498175443603
19344	19159	0.3287227438343493
19344	18945	0.32283159115074656
19340	19158	0.602907308831276
19340	19337	0.5924646291067928
19340	19353	0.5825057193383821
19340	18357	0.5664207547076135
19340	17707	0.5250343489361766
19339	18675	0.2956591275502366
19339	19351	0.2884920699481111
19339	19317	0.2882820205467468
19339	19374	0.28800771337849834
19339	19378	0.2878726682864657
19337	19158	0.603037527779483
19337	19340	0.5924646291067928
19337	19353	0.5823799339956751
19337	18357	0.5665430931066351
19337	17707	0.5251477484914476
19335	19320	0.5549083682080934
19335	19292	0.5537890253410181
19335	19085	0.5456407873121301
19335	19308	0.5175409588979938
19335	18907	0.5012067215217917
19334	19325	0.6660287894347807
19334	19320	0.665892790062754
19334	19308	0.6654125505284604
19334	19292	0.6645495730786587
19334	19279	0.6639994695670537
19333	18863	0.48208451990292633
19333	16019	0.3645215925070535
19333	19371	0.3321445892376408
19333	19162	0.32910752888895356
19333	19073	0.3270619518714345
19332	18855	0.9632381723214676
19332	18534	0.9430037684274775
19332	18828	0.6942637895259806
19332	19350	0.6909525365102555
19332	19168	0.6697657037147772
19331	19231	0.4189806211631547
19331	19104	0.41515259303840046
19331	19210	0.4111430871351526
19331	19108	0.4098023497697365
19331	18898	0.40778226646558896
19328	19362	0.46286411492774665
19328	18809	0.44590109003096295
19328	18541	0.4381674517535304
19328	19386	0.4380117406902987
19328	18525	0.43751492210120957
19327	17645	0.854524384748669
19327	16090	0.7364207816880236
19327	18402	0.6995490112906698
19327	18154	0.6803042818808877
19327	17998	0.6686226322100588
19326	19351	0.4293876528614544
19326	19237	0.4249401057128679
19326	18976	0.41877264775615997
19326	18975	0.41877232868098807
19326	18926	0.4172157078407671
19325	19320	0.7331835907480242
19325	19308	0.7326548213253382
19325	19292	0.7317046369791154
19325	19102	0.721390928277398
19325	19085	0.7209386172926915
19324	19320	0.6189212578809623
19324	19308	0.618474894050201
19324	19292	0.617672790323107
19324	19279	0.617161490662789
19324	19085	0.6085845912270326
19323	19362	0.5535286691290396
19323	19207	0.5510837328659116
19323	19197	0.5505282475419608
19323	19180	0.5499091976436088
19323	18809	0.5338709310891501
19322	19378	0.7461947519584233
19322	19109	0.7383192588822951
19322	18962	0.7285833610111252
19322	18861	0.7237185752997211
19322	18760	0.7186037910865567
19321	18912	0.48397800050898243
19321	18899	0.4834554904389597
19321	18441	0.4681200315855129
19321	18293	0.46131384897881444
19321	18106	0.45182007118301665
19320	19292	0.8316523608052475
19320	19085	0.8194157488771672
19320	19308	0.7772168471845085
19320	18907	0.7526869152894035
19320	19102	0.7379368592470185
19318	19301	0.9991203674387029
19318	19356	0.9964466472926244
19318	19257	0.9951221883843652
19318	19152	0.9881416381443681
19318	19094	0.9838030373857923
19317	19381	0.9940702908028158
19317	19142	0.9880075424097496
19317	19088	0.9838268817341956
19317	19009	0.9764593866438962
19317	18984	0.97422323075545
19316	19374	0.4604985068153031
19316	19322	0.4441246176590328
19316	19293	0.44394133580717815
19316	19284	0.44361496608373335
19316	19347	0.44317311807581744
19315	19119	0.35616081086480866
19315	19023	0.35301744173855476
19315	19281	0.35111826211288283
19315	19368	0.3501427910763733
19315	19397	0.34916399982177715
19314	19360	0.5162696029661592
19314	19190	0.5139716312316492
19314	19084	0.5101197371734393
19314	19029	0.5071893334897914
19314	18931	0.5032007400829798
19310	19279	0.5321996807608746
19310	19370	0.5305358562671999
19310	19195	0.5288345206123726
19310	19308	0.5259248811964532
19310	19325	0.5239602463786125
19309	19295	0.6105957334869465
19309	18927	0.5175742562871977
19309	19317	0.4998295019660074
19309	19322	0.4995595583995024
19309	19284	0.4991473937784
19308	19320	0.7772168471845085
19308	19292	0.7767690732039816
19308	19085	0.7653399927919111
19308	19102	0.7384694408061446
19308	18572	0.736568840443075
19306	19351	0.4206064554884393
19306	18675	0.41282506806555597
19306	18976	0.41112672196503647
19306	18975	0.41112640871552014
19306	18926	0.4095982085648853
19305	19138	0.9879639889620139
19305	19115	0.9860181973291728
19305	18733	0.9569908626590494
19305	18632	0.9510290122272896
19305	18386	0.9320284488589026
19304	19302	0.999880656286082
19304	19264	0.9964758325843304
19304	19177	0.9905841013610871
19304	17931	0.8862515872879968
19304	16445	0.7722403861472661
19302	19304	0.999880656286082
19302	19264	0.9965947699054422
19302	19177	0.9907023354571878
19302	17931	0.8863573684682085
19302	16445	0.7723325591832587
19301	19318	0.9991203674387029
19301	19257	0.9959983009208517
19301	19356	0.9955701403760705
19301	19152	0.9890116049555877
19301	19094	0.9846691844625515
19300	19279	0.4990464936796762
19300	18275	0.4611525940706327
19300	18214	0.45852270696977143
19300	18052	0.44926270935269264
19300	17677	0.4292410050317164
19299	18769	0.5120175223556891
19299	18578	0.47410104546470294
19299	18894	0.46774673791291377
19299	19279	0.4660011136222491
19299	19231	0.46421857527138977
19298	19227	0.9945635331806605
19298	18878	0.9671224771923347
19298	15364	0.6784220857149592
19298	19134	0.6714526693111619
19298	19168	0.6714225228348605
19297	19384	0.8683185796889603
19297	19119	0.8638457830928943
19297	19023	0.8562217377695879
19297	18952	0.8507953084268862
19297	18903	0.8476635827388908
19296	19366	0.6747125205074143
19296	19140	0.6710957999708009
19296	19074	0.6676219191705567
19296	19052	0.6654113473563581
19296	18938	0.6592554609983635
19295	19309	0.6105957334869465
19295	19317	0.6103875227426988
19295	19381	0.6067681022352449
19295	19142	0.6044981452899854
19295	19088	0.6019402684358316
19294	19332	0.6648777684528908
19294	18855	0.6438865528039228
19294	18828	0.6372282967935575
19294	18932	0.6368571537728619
19294	18952	0.6320836168751388
19293	19378	0.6206780850784952
19293	19174	0.6196455567019269
19293	19109	0.6164068888398426
19293	18962	0.6082785968514752
19293	18861	0.6042170917652085
19292	19320	0.8316523608052475
19292	19085	0.8210719882241098
19292	19308	0.7767690732039818
19292	18907	0.7542082793670886
19292	19102	0.7394284098591699
19290	19292	0.6111086000743372
19290	19308	0.6103160497372188
19290	19320	0.6098758919522548
19290	19325	0.609751358689375
19290	19102	0.6024996985009565
19289	19279	0.6661602242921125
19289	19261	0.6281248448280456
19289	18275	0.6155769440114855
19289	18214	0.6120663969919985
19289	18052	0.5997055405033501
19288	19385	0.5578047961730973
19288	18183	0.5132652318335983
19288	19358	0.4970912376017783
19288	19043	0.4903121796020945
19288	19286	0.4687040058567571
19287	19344	0.6637793822851422
19287	13935	0.39265197903827076
19287	19201	0.3311841517876577
19287	19159	0.33015261054828265
19287	18945	0.3242358327344236
19286	19385	0.6197222932206047
19286	18183	0.5703506653230904
19286	19067	0.5532590514033231
19286	18783	0.541286787087598
19286	19247	0.5398793367675666
19285	19284	0.18888553078439502
19285	19385	0.18726090710765497
19285	19394	0.18713469516756925
19285	19033	0.18512788869417965
19285	18999	0.18466677431160242
19284	18500	0.9431061777045736
19284	18143	0.908415724217891
19284	17449	0.8440354338900775
19284	17433	0.8431142660753148
19284	17306	0.8352535889672833
19283	18940	0.7294302531301277
19283	19273	0.5412441850592808
19283	19284	0.4999964534115102
19283	19271	0.49943572877761
19283	19309	0.499143853237597
19282	19391	0.9909905486186084
19282	19395	0.9904850895907884
19282	18012	0.8968607771970515
19282	16596	0.7863703874470969
19282	18448	0.7828111865088289
19281	18952	0.7300655152295497
19281	18903	0.7273781885537697
19281	18641	0.7148873668607129
19281	19297	0.6867349718328122
19281	19368	0.6827341519323485
19280	18960	0.47626364476465055
19280	19295	0.42169071966559
19280	17852	0.4104029253305558
19280	17687	0.4019116252135868
19280	19283	0.3998442084785212
19279	18275	0.9240673963469094
19279	18214	0.9187975725245436
19279	18052	0.9002421919450689
19279	17677	0.8601222741126683
19279	17553	0.8508071337834904
19277	19351	0.40821559552999054
19277	18976	0.4008293279805142
19277	18975	0.40082902257688446
19277	18926	0.39933909889478764
19277	18825	0.39635566169923603
19276	18735	0.452999524523628
19276	19371	0.4410027906729184
19276	19162	0.44065746847760423
19276	16633	0.4380975656264072
19276	18799	0.4283201814890294
19275	19125	0.9891849383121333
19275	17651	0.8583679856993675
19275	17239	0.8324112308219626
19275	17166	0.8274221582292145
19275	16643	0.7898352523406598
19273	19282	0.6662337712165602
19273	19391	0.6602313704461434
19273	19395	0.6598946165718436
19273	18940	0.6488885582688324
19273	18012	0.5982956840171783
19272	19264	0.532761447935993
19272	19302	0.5320877604042584
19272	19304	0.5320242590748014
19272	19177	0.529611459592368
19272	19178	0.5048141097289413
19271	19317	0.7476158013099791
19271	19142	0.7433687752876366
19271	19381	0.7431826570169912
19271	19088	0.7402232804681335
19271	19009	0.7346800375604369
19269	19351	0.4965635874566885
19269	18976	0.48835383642144037
19269	18975	0.4883534643303187
19269	18926	0.48653820308236306
19269	18825	0.48290330688474536
19268	13128	0.45396621010031923
19268	15187	0.4459745254366235
19268	15031	0.4375686233210799
19268	16500	0.38947592557688926
19268	19114	0.35258517669491996
19267	18799	0.5001260011498767
19267	18778	0.49956890586334507
19267	19371	0.48959246133948553
19267	19162	0.47777931964436576
19267	18798	0.46436082064250606
19264	19302	0.9965947699054422
19264	19304	0.9964758325843304
19264	19177	0.9940874318969048
19264	17931	0.8893859322102472
19264	16445	0.7749715155102995
19262	19282	0.6178986130775516
19262	19391	0.6123316855644001
19262	19395	0.6120193631321426
19262	19386	0.5888487609325486
19262	18508	0.5853931778729214
19261	19279	0.7765088114135281
19261	19169	0.7729169138969388
19261	19018	0.763164068219318
19261	19002	0.7621983060279176
19261	18946	0.7583275222769967
19260	19378	0.4951015205861925
19260	19109	0.4945607075543785
19260	18962	0.4880391486462008
19260	18861	0.4847804880673414
19260	18760	0.4813543668209853
19259	19271	0.4994276334165451
19259	19317	0.49783998713740923
19259	19142	0.49614713961147167
19259	19381	0.4948879407869544
19259	19385	0.49455213496315553
19258	17329	0.46582444243776167
19258	18649	0.42468801077291674
19258	18522	0.4210149359020371
19258	18056	0.40120679237595924
19258	17851	0.39158522046463695
19257	19301	0.9959983009208517
19257	19318	0.9951221883843652
19257	19152	0.9929852330482849
19257	19356	0.9915861682621001
19257	19094	0.9886253656780077
19256	16768	0.3994974468116006
19256	14763	0.31976030817916795
19256	18649	0.3185697041679425
19256	18522	0.3158144336038565
19256	18056	0.30095582148590605
19253	18965	0.6615258397109547
19253	19230	0.6501653799854634
19253	19281	0.6440771443946308
19253	19368	0.6396123097560393
19253	19239	0.6348794262479601
19252	18726	0.6725862522277242
19252	18721	0.6724407588641474
19252	18584	0.6667316573234688
19252	19083	0.6589617451058544
19252	18839	0.6454714323043094
19251	19249	0.5666366498526622
19251	18357	0.5290256627885013
19251	18722	0.5123962425871206
19251	17707	0.49037158706528694
19251	19238	0.47462692442352244
19250	19169	0.5526458229442206
19250	19018	0.5456724092064078
19250	19002	0.5449818764577532
19250	18946	0.5422142148462595
19250	18880	0.5394966925168931
19249	18357	0.7002181154264282
19249	17707	0.6490555992002911
19249	19251	0.5666366498526622
19249	19337	0.5240730059617988
19249	19340	0.5239598384846911
19247	19222	0.5823975409348753
19247	19143	0.579348147807715
19247	19140	0.5792092950250497
19247	19366	0.5777104403521359
19247	19074	0.5762110583360428
19245	19085	0.21424195184514813
19245	19292	0.21035902979443868
19245	19320	0.20993470049429575
19245	19308	0.20824335240594577
19245	19325	0.2065777514232097
19243	19207	0.47119220292915115
19243	19197	0.47071724724115427
19243	19180	0.4701879420413608
19243	19147	0.4691424314982217
19243	18665	0.452022196768402
19242	19207	0.49898941140404046
19242	19197	0.4984864364869615
19242	19180	0.49792590579809143
19242	18665	0.4786885022818189
19242	18526	0.4743228204397176
19241	19207	0.7485444822575292
19241	19197	0.7477899590346135
19241	19180	0.7469490951912123
19241	18665	0.7180906626754823
19241	18526	0.7115416117747793
19240	18589	0.27808677782947255
19240	17142	0.24167454184575846
19240	18336	0.2329569132539516
19240	18171	0.22875925530732683
19240	17865	0.22077969297616018
19239	19230	0.6836851436552086
19239	19297	0.6635524944323588
19239	19120	0.6612582821388441
19239	19119	0.661257118527208
19239	19118	0.6612565727100843
19238	19251	0.4746269244235224
19238	18722	0.46071785726292785
19238	19351	0.45407278515397537
19238	18976	0.4487524976372669
19238	18975	0.44875215571956756
19237	19351	0.49533596321737694
19237	18976	0.48956415638903905
19237	18975	0.48956378337573914
19237	18926	0.48774402324445143
19237	18825	0.48410011844053225
19233	19282	0.4342150432702132
19233	19362	0.43144915935113376
19233	19391	0.4303030039488014
19233	19395	0.4300835260351653
19233	19220	0.42270246650230436
19231	19104	0.990863472124016
19231	18898	0.97327238031564
19231	18646	0.9572356138370076
19231	18604	0.9551274626066398
19231	18424	0.9412778473214157
19230	19297	0.6839457451583326
19230	19239	0.6836851436552087
19230	19120	0.6822643542675343
19230	19119	0.6822631536916582
19230	19118	0.6822625905356607
19228	16375	0.4272024553755451
19228	15703	0.3778936643465311
19228	13978	0.2943367567845052
19228	16687	0.28078547262027975
19228	19400	0.2660684332421852
19227	19298	0.9945635331806605
19227	18878	0.9724089461629786
19227	15364	0.6821304653563296
19227	19134	0.6751229528432687
19227	19168	0.6750926415807954
19226	17209	0.5558408650087985
19226	16236	0.3780048304078024
19226	19227	0.3333127104709843
19226	19206	0.3330061333766836
19226	19264	0.33245641330840936
19224	19207	0.3497035540253674
19224	19197	0.34935105733492045
19224	19180	0.3489582242014744
19224	19147	0.34818228022270353
19224	19109	0.3470474023177754
19222	19140	0.6215785334696946
19222	19074	0.6183609753604666
19222	19366	0.6179825017349777
19222	19052	0.6163135121123606
19222	18938	0.6127925986542647
19220	13896	0.5904019190127758
19220	12912	0.5372134186430547
19220	19217	0.49997500661128036
19220	19207	0.4997030127762925
19220	19241	0.4993262418669456
19219	19207	0.4320492082006796
19219	19197	0.4316137081485695
19219	19180	0.4311283735206923
19219	19147	0.4301697158868847
19219	19109	0.42876760517172435
19217	19207	0.7495919888523558
19217	19197	0.7488364097562479
19217	19180	0.7479943692153462
19217	18665	0.7190955524618146
19217	18526	0.7125373368766192
19216	19261	0.6148640837190239
19216	19169	0.6146092649596053
19216	19279	0.6138609156379637
19216	19018	0.6068539820754915
19216	19002	0.6060860258050177
19215	19279	0.42507944463734854
19215	19261	0.3980814822409498
19215	18275	0.3965142413927828
19215	18214	0.3942529775461634
19215	19046	0.3937636339786148
19214	17267	0.837694866719299
19214	18759	0.6436158473187998
19214	18575	0.6360124678646576
19214	17375	0.6328347208423769
19214	18013	0.6010848819768435
19213	19194	0.998434807697826
19213	18908	0.9752642732944591
19213	17887	0.8868752336181472
19213	17884	0.8863668876249301
19213	17184	0.8321298349322332
19210	19231	0.7768575940618045
19210	19104	0.7715844458559579
19210	18898	0.7578862793508672
19210	18646	0.745398464505687
19210	18604	0.7437568491422939
19208	19332	0.6607332575164608
19208	18855	0.6479253912149735
19208	18932	0.6408518996233679
19208	18952	0.6360484202705725
19208	18534	0.6343146514875202
19207	19197	0.998992012845195
19207	19180	0.9978686810147803
19207	18665	0.959315952085838
19207	18526	0.9505669050272694
19207	18503	0.9488401201575046
19206	18838	0.6793103515309052
19206	19227	0.6659710615154673
19206	19177	0.665125911207389
19206	19168	0.6647191221640806
19206	19264	0.6642601482726842
19205	19332	0.38527703400495733
19205	18855	0.3781043143493927
19205	18534	0.3701616106334809
19205	19153	0.3597970714588499
19205	19168	0.33432804409634875
19204	19142	0.47028052896045325
19204	19271	0.4699794781621752
19204	19109	0.4688288028235238
19204	19317	0.4684854455539473
19204	19088	0.46829058128342593
19203	19190	0.49951412964722824
19203	19385	0.49271143711537085
19203	19247	0.48193413671062907
19203	19415	0.4791330885239264
19203	19222	0.47438594476164325
19202	19138	0.4978706542202496
19202	19115	0.4968900997020261
19202	19305	0.49609470883021517
19202	18733	0.4822621797940666
19202	18632	0.47925778853286083
19201	18426	0.9431569245440161
19201	18885	0.6495820583771743
19201	18796	0.6459443694637059
19201	18713	0.6423524315757273
19201	18629	0.6388267468551444
19200	19153	0.43190960053241373
19200	19397	0.4265649981845669
19200	18795	0.4198682236578337
