pr	reviewer	weight
19415	Crypt-iQ	0.12505900981594487
19415	practicalswift	0.12748212208351128
19415	D4nte	1.066759015407085
19415	jonatack	0.07490308992534306
19415	vasild	0.13149338894360635
19413	jonatack	1.0002768818316083
19413	MarcoFalke	1.0000162637018566
19405	jonatack	0.06279550605197033
19405	MarcoFalke	1.0002135762625997
19405	eriknylund	0.7591625244519686
19403	sipa	1.0006210843487953
19403	fanquake	1.0006518163833393
19401	adamjonas	1.0029794930236111
19401	luke-jr	0.32061299686098044
19401	MarcoFalke	0.7526062753553946
19401	ajtowns	1.0530770578167652
19401	fjahr	1.057723994158107
19397	jonatack	1.001818599868393
19396	Sjors	0.31287540755893634
19396	MarcoFalke	0.06258785303333053
19396	achow101	1.001384522018855
19396	promag	0.7511159815132168
19395	MarcoFalke	0.7514244587273017
19395	luke-jr	1.0014312682566806
19393	jonatack	0.10950788083880603
19393	hebasto	0.006451117926410751
19393	ShubhamPalriwala	1.0204102218809703
19393	pg156	1.5233871429207528
19387	sipa	1.0043408453812597
19387	theuni	0.5026963340949635
19387	MarcoFalke	1.00144566256389
19387	jonatack	0.7556803602569939
19386	ryanofsky	0.3127585887766124
19386	MarcoFalke	0.31278721810178123
19382	MarcoFalke	0.7522600829172519
19382	theuni	0.7521763569421993
19381	jonatack	1.0033522461418503
19381	rajarshimaitra	0.18992275567882136
19381	MarcoFalke	0.8231904025762843
19381	practicalswift	0.5066687117384808
19381	luke-jr	1.018958965472732
19379	MarcoFalke	0.7875273755000516
19379	practicalswift	0.787569088940475
19377	MarcoFalke	0.5016538127828176
19377	hebasto	0.5015062545347754
19377	jonatack	1.32153879750716
19375	luke-jr	1.0037944518583946
19375	fanquake	1.0019885764766814
19375	laanwj	1.003361292574466
19374	sipa	1.0040491989456988
19374	hebasto	0.01076744896401101
19374	vasild	0.10963231547088614
19374	jnewbery	0.06256557414926406
19374	MarcoFalke	1.00337605463462
19374	ajtowns	1.0005503643724014
19368	laanwj	1.0002959446014956
19367	jnewbery	1.0042205473974486
19367	theuni	0.7530965213881791
19367	amitiuttarwar	1.0041647753117942
19367	sipa	0.31337434207443937
19367	ysangkok	1.0034130972584485
19364	naumenkogs	1.0044246433438853
19364	jnewbery	0.1877952723428515
19364	troygiorshev	1.0003369203522543
19364	jonatack	0.5004600235703475
19362	luke-jr	1.0257804274547915
19362	promag	1.025903012163484
19362	MarcoFalke	1.32635625716416
19360	jonatack	1.0090765866206013
19360	jnewbery	1.0123839936958265
19358	laanwj	1.0003263087783965
19358	jonatack	0.5079763479460376
19358	Saibato	0.11620156857000043
19358	vasild	0.8104000306585245
19358	wodry	1.1333342387617804
19357	Sjors	1.0052071128267006
19357	laanwj	1.0043121686297236
19357	MarcoFalke	1.00430476246696
19356	theuni	1.0050501891150776
19356	gwillen	1.0047900407570127
19349	promag	1.0213421138667396
19349	D4nte	1.0214489632036357
19348	dunxen	0.5029519296271702
19348	practicalswift	1.005703527561529
19348	hebasto	1.0056972879103576
19347	hebasto	1.006564103458946
19347	MarcoFalke	1.006545724672501
19347	jnewbery	0.5029733130696681
19347	laanwj	1.0056758143190092
19347	promag	1.0051912297052896
19340	vasild	1.0060050340250273
19340	hebasto	0.764806616438517
19340	MarcoFalke	1.0247998786648953
19339	pinheadmz	1.040593394904775
19339	glozow	0.020448108532096332
19339	jnewbery	0.7854016242214307
19339	robot-dreams	1.0445677329215497
19339	fjahr	1.044786814352646
19339	jonatack	0.06547987413073239
19339	ariard	1.0530761264947386
19339	LarryRuane	1.0627988262899346
19337	MarcoFalke	0.020241049602277333
19337	vasild	0.006103661002125059
19337	hebasto	1.01814248750037
19337	promag	0.19608451689507664
19335	ryanofsky	0.18988636849326002
19335	achow101	0.1902019156066796
19335	promag	1.0197920790092514
19334	ryanofsky	0.10991021554977329
19334	achow101	0.753930335089879
19334	Sjors	1.0053433104285543
19334	fjahr	1.0170350135649713
19333	laanwj	1.0003052901187721
19333	MarcoFalke	1.000302540894431
19331	hebasto	0.7557326167483452
19331	MarcoFalke	0.7556498158523601
19328	MarcoFalke	0.03543116369012394
19328	Sjors	0.3141743612390761
19328	fjahr	0.0059010556514757645
19328	promag	0.5035261967380301
19326	ryanofsky	1.013341292647172
19326	sipa	1.016760949458697
19325	promag	1.0039576541716508
19325	achow101	1.0039455061885154
19325	Sjors	1.0053248034515816
19324	ryanofsky	0.06296059016586365
19324	achow101	0.0017174319970779594
19324	MarcoFalke	0.0626516222145175
19323	MarcoFalke	0.504289106175163
19323	hebasto	0.5041825785974977
19321	hebasto	1.0083899256744193
19321	MarcoFalke	1.0082201087605787
19320	sipa	1.008921785990343
19320	MarcoFalke	1.0088334433180335
19320	ryanofsky	1.0088000886571002
19318	laanwj	1.0089502614879966
19318	fanquake	1.0086386176081166
19318	theuni	1.0087124942080663
19316	jnewbery	0.3143179080680583
19316	amitiuttarwar	0.18815659567580956
19316	vasild	0.005873907909701642
19316	jonatack	1.0008314746866371
19316	ariard	0.501223916404375
19316	sipa	1.0061264636129879
19315	t-bast	0.5013663114147059
19315	jnewbery	0.03633169110014939
19315	amitiuttarwar	0.11423686276298194
19315	MarcoFalke	0.3266187673871378
19315	robot-dreams	0.5235425583017784
19315	ajtowns	1.047346111286898
19314	adamjonas	1.008932777021933
19314	renepickhardt	1.0088567208037322
19314	luke-jr	0.7534951601828215
19314	practicalswift	1.0045269164396013
19314	laanwj	1.007555914037176
19309	MarcoFalke	1.0096223489281013
19309	Sjors	1.0096202243041816
19309	hebasto	1.0095905166690877
19308	laanwj	1.008958685582908
19308	achow101	0.06287019277052544
19308	ryanofsky	1.0087627360140885
19308	promag	0.1885792713736977
19304	jonatack	0.11043844973181649
19304	jnewbery	0.5048618887248598
19304	troygiorshev	0.010846009547070977
19304	MarcoFalke	0.7572279553967254
19304	glozow	0.3155104755664331
19302	jonatack	0.7573781910631843
19302	MarcoFalke	1.0098226606019904
19300	MarcoFalke	0.765380389611523
19300	promag	0.06332374796815374
19300	hebasto	0.7567233888806246
19300	ryanofsky	1.0054809036109458
19297	jnewbery	1.0096432090378094
19297	glowang	0.7558123076265664
19297	MarcoFalke	1.0096884251320846
19295	hebasto	0.7574521408815154
19295	MarcoFalke	1.0098978094800444
19292	Sjors	0.5048450654511007
19292	achow101	0.3154781260876701
19292	MarcoFalke	0.1891840432626514
19292	laanwj	1.0089811675442295
19292	ryanofsky	1.008993618824627
19289	promag	0.323477634999317
19289	ryanofsky	1.0406651416462034
19288	Crypt-iQ	0.33262558029917977
19288	practicalswift	0.20774387589621954
19288	MarcoFalke	0.8744378639429773
19284	TheBlueMatt	1.0108200639551046
19284	wiz	1.0107272641641338
19282	jonatack	1.0115269014527364
19282	MarcoFalke	1.0114870545751518
19281	jonatack	1.0114454202602674
19280	jonatack	1.0035980174300836
19279	meshcollider	1.0090491465366274
19279	MarcoFalke	1.0090521120067368
19277	ryanofsky	1.0114436084730105
19277	MarcoFalke	1.0112597492649746
19276	MarcoFalke	1.011977263792042
19276	hebasto	1.0118303674999853
19272	MarcoFalke	0.11040797471902587
19272	jonatack	0.0009240158728671035
19272	troygiorshev	1.0099580174589007
19272	jnewbery	0.1891753152407113
19271	JeremyRubin	1.0120501026586568
19271	andrewtoth	1.0149509764324915
19268	MarcoFalke	1.0128830109760218
19268	sipa	1.012883980247106
19268	ajtowns	0.7587403879884841
19268	hebasto	1.0042873996475805
19267	hebasto	0.7572976947486751
19267	MarcoFalke	1.010536760434082
19262	ryanofsky	1.0004575889896625
19261	MarcoFalke	1.0132562991228675
19261	hebasto	1.0132469681717373
19260	glozow	0.7595613451738927
19260	jnewbery	1.0131224428410315
19260	MarcoFalke	0.5061932491861993
19260	naumenkogs	1.0121588259653527
19259	Crypt-iQ	1.1254974867953167
19259	practicalswift	0.6003797306455418
19259	jonatack	1.2209989068766514
19259	MarcoFalke	0.6116656976783936
19258	MarcoFalke	1.0138252864706603
19258	Sjors	1.0138086878835848
19256	MarcoFalke	0.7581348632854803
19253	jules23	1.006316643414307
19253	jonatack	1.0008451418872997
19253	jnewbery	0.763850865886833
19253	MarcoFalke	1.0527707209793336
19252	jnewbery	1.0125917510518982
19252	MarcoFalke	1.0107063065766637
19252	glozow	1.0105261314259844
19250	promag	0.7602921097646999
19250	MarcoFalke	1.0136749972179597
19247	MarcoFalke	1.014539919778059
