pr,committer,weight
26999,Luigi Pinca,0.9998895768258218
26998,Octavian Soldea,0.9998730384500967
26989,Matteo Collina,1.000809557675145
26988,cjihrig,0.9997293758366801
26983,Ruben Bridgewater,0.999658011676335
26982,cjihrig,0.9996859381972334
26980,cjihrig,0.9996418544548564
26976,Minwoo Jung,0.9993043284248103
26971,Ruben Bridgewater,0.9991673081213743
26971,Sagir Khan,1.0011652861445783
26970,Ruben Bridgewater,0.985417244905548
26969,Refael Ackermann,0.9991020191878626
26964,Anna Henningsen,1.0038878476870445
26962,Yann Stephan,1.0118214896623532
26960,Tobias Nießen,0.9957555918116913
26959,gengjiawen,0.9988506897962219
26955,Rich Trott,0.998759178690069
26951,Sam Roberts,0.9726216644355198
26951,Shigeki Ohtsu,0.6888514428082702
26951,Anna Henningsen,0.9933029153651645
26949,Matteo Collina,0.9642740220139818
26949,Joyee Cheung,0.981105776501066
26949,Refael Ackermann,0.9876673174178194
26949,Ruben Bridgewater,0.944264632604492
26949,Anna Henningsen,0.9813439436759385
26949,James M Snell,0.9820903614457831
26949,Richard Lau,0.985758010436809
26949,Rich Trott,0.9864845187628822
26949,oyyd,0.9867865350290049
26949,gengjiawen,0.9841056726907631
26949,Michaël Zasso,0.9866797374683921
26949,Gireesh Punathil,0.7667011192919827
26949,Yang Guo,0.9862229845307154
26947,Gabriel Schulhof,0.9982004778372751
26939,Rich Trott,0.9991357962715058
26930,Beth Griggs,0.9940203964004165
26929,Sam Roberts,1.003057080172542
26928,Ruben Bridgewater,0.9973052673657593
26925,gengjiawen,0.9972957911894492
26920,dnlup,0.9971711382567306
26916,Ruben Bridgewater,0.9974552980440279
26908,Sam Roberts,0.996985627695969
26900,Tobias Nießen,0.996313689944965
26898,Daiki Ihara,0.9968328369031683
26888,gengjiawen,0.9955989792503347
26885,gengjiawen,0.9954569109772423
26884,gengjiawen,0.9988737635728098
26883,gengjiawen,0.9953737914621449
26882,Guy Bedford,0.9961918972185035
26876,ZYSzys,0.99451416778224
26874,Joyee Cheung,0.9943662799345531
26873,Daiki Ihara,1.0042968261936636
26871,Santiago Gimeno,0.9960351963409193
26868,Sam Roberts,0.9982321368808568
26866,Joyee Cheung,0.9941619533690317
26858,Ruben Bridgewater,0.9970931240393673
26857,Mohammed Essehemy,0.9940708296147553
26849,Ruben Bridgewater,0.995173096707819
26846,Rich Trott,0.9935992023650156
26845,Rich Trott,0.9934628235162873
26843,Anna Henningsen,0.9933272689523527
26840,gengjiawen,1.2285597575487133
26837,Anna Henningsen,0.9941072437899746
26836,Ben Noordhuis,0.9931120872378403
26832,Thomas,0.9928052859586494
26825,Ruben Bridgewater,0.9942223756135653
26824,Joyee Cheung,0.9932013830786107
26823,Ruben Bridgewater,0.9925038766175814
26820,dnlup,0.9930857968912687
26817,dnlup,0.9924303138479845
26815,gengjiawen,0.9924305276662205
26807,dnlup,0.993290309385691
26806,dnlup,0.9932947716793098
26802,dnlup,0.9932987412613417
26797,nd-02110114,0.9922035596088056
26788,Joyee Cheung,0.9917070411274729
26786,Filip Skokan,0.9931191671447694
26781,dnlup,0.9941444202736873
26779,dnlup,0.9916357838762457
26778,Thomas,0.9916106834746393
26774,Filip Skokan,0.9915500911051612
26774,Vse Mozhet Byt,0.9917982578461996
26770,dnlup,0.9932850104120184
26760,Jeremiah Senkpiel,0.9911294158113937
26759,Joyee Cheung,0.9915211215231295
26757,Anna Henningsen,0.9912637401457682
26752,Ruben Bridgewater,0.9915129685408299
26747,dnlup,0.9909146121523129
26745,guybedford,0.8286305034954633
26738,Ruben Bridgewater,0.9906826131687243
26726,Refael Ackermann,0.9910297625687937
26725,Refael Ackermann,0.9917091514204968
26721,Anatoli Papirovski,0.9902961429049532
26719,Richard Lau,0.9900385616540235
26717,Guy Bedford,0.9900100866428677
26716,d1g1t4ld1n4,0.9950459938519509
26716,James M Snell,0.9975205451435372
26714,Rod Vagg,0.9899439331399673
26700,Anna Henningsen,0.989371806671129
26699,Rich Trott,0.9890631925851554
26695,Thomas Hunter II,0.9886889223560911
26695,James M Snell,0.9901881321582627
26691,Matteo Collina,0.9886006526104417
26686,Anna Henningsen,0.9885325189647479
26684,sylkat,0.832720028261193
26684,James M Snell,0.8699202272051167
26684,Rich Trott,0.8797311839952402
26684,Rod Vagg,0.4474751691952997
26684,Anna Henningsen,0.9249118418116912
26684,Brian White,0.9575248493975904
26684,Richard Lau,0.9379052599286033
26684,Beth Griggs,0.9884416741038227
26680,Rich Trott,0.9900454479956864
26676,Minwoo Jung,0.9880989048787744
26675,Minwoo Jung,0.9880989048787744
26666,Refael Ackermann,0.987742683697754
26665,Aymen Naghmouchi,0.9960191708190788
26665,Joyee Cheung,0.987841049382716
26665,Rich Trott,0.997521205191135
26660,Ruben Bridgewater,0.9875373624126134
26652,Rich Trott,0.9872558149263722
26650,Matteo Collina,0.9703899393871783
26650,gengjiawen,0.9789837909840421
26650,Nitish Sakhawalkar,0.9773713836828797
26650,Joyee Cheung,0.9709775816227875
26650,Rich Trott,0.97969576453964
26650,Richard Lau,0.979930902622837
26650,Beni von Cheni,0.912687025881303
26650,Patrick Gansterer,0.9775291071694184
26650,Masashi Hirano,0.9779825133868808
26650,shisama,0.9808354715156924
26650,Refael Ackermann,0.9780808093485052
26650,Anna Henningsen,0.9769369143239626
26650,Nicolas Moteau,0.9796678287222966
26650,kohta ito,0.8444203108731221
26650,Tobias Nießen,0.9804859623679905
26650,cjihrig,0.9799891324557489
26648,Anto Aravinth,1.0213770545143537
26644,cjihrig,0.9779230300832962
26644,Rich Trott,0.9777974732262382
26644,Jon Kunkee,0.9174019466755914
26644,Pavel Feldman,0.9741874256284396
26644,Sam Roberts,0.974774291610888
26644,Michael Dawson,0.9772338706678566
26644,Anna Henningsen,0.9773938345976498
26644,Ruben Bridgewater,0.927692213297635
26644,Aymen Naghmouchi,0.9746617023650156
26644,Juan José Arboleda,0.9743920124944221
26644,gengjiawen,0.9750505131637661
26644,himself65,0.9530984586494124
26644,leeight,0.8968944016807973
26644,Jeremy Apthorp,0.976645768258218
26638,Sergey Zelenov,0.9868942343447865
26635,Joyee Cheung,0.9868379071842928
26635,Ruben Bridgewater,1.0190178305815856
26634,gengjiawen,0.9880701835118251
26628,Anna Henningsen,0.9829516213000149
26625,Sam Roberts,0.9861832887103972
26625,Richard Lau,0.9880957440874609
26624,Chris King,0.9864039863156329
26620,Refael Ackermann,1.0074666009717885
26615,cjihrig,0.9861663877733154
26611,Brian White,0.9859868176409341
26608,Gireesh Punathil,0.9859588074520304
26605,Joyee Cheung,0.9858941692696712
26604,kohta ito,0.9858943830879072
26602,Joyee Cheung,0.9857644048415886
26601,Rich Trott,0.985448572066042
26601,Vse Mozhet Byt,0.9861436579651941
26599,Ruben Bridgewater,0.9856409805890227
26593,Joyee Cheung,0.987228292800833
26591,ZYSzys,0.9977029320987655
26589,Sergey Zelenov,0.985344823739402
26581,Anna Henningsen,0.9905733117655808
26580,Rich Trott,0.9848881544697308
26580,Richard Lau,0.9852407686300758
26576,Refael Ackermann,0.9847110990257326
26575,Ruben Bridgewater,0.9860820008428778
26572,Zach Bjornson,0.9933455418897814
26570,Refael Ackermann,0.9844315874609549
26569,Ruben Bridgewater,0.9845198665030492
26564,gengjiawen,0.9842502974862413
26562,gengjiawen,0.9841056726907631
26559,Beni von Cheni,0.9878046612375428
26556,James M Snell,0.9837205767514502
26554,Tobias Nießen,0.9870847618870543
26553,Caio Rodrigues,0.9844049891696416
26552,micheleriva,0.9837800678020726
26549,Joyee Cheung,0.9837082124795479
26545,himself65,0.9836233173434479
26544,Anna Henningsen,0.9817730892706629
26541,James M Snell,0.9834159229510635
26540,vdeturckheim,0.9773937974118697
26536,Rich Trott,0.9834880075858992
26531,Richard Lau,0.9829080581585602
26525,Anna Henningsen,0.9835615982448312
26518,Ruben Bridgewater,0.9827094953889632
26517,Joyee Cheung,0.9836500012395261
26513,Joyee Cheung,0.98265506935148
26502,Nitish Sakhawalkar,0.9877321802642669
26501,James M Snell,0.9844556791982746
26500,Anna Henningsen,0.9797451751450245
