pr,reviewer,weight
26999,vsemozhetbyt,1.0000804918604473
26999,lpinca,1.0002029991825367
26998,gabrielschulhof,1.0015649410785579
26989,cjihrig,1.000257358709763
26989,jasnell,1.0000796086274713
26988,sam-github,1.0002247947107081
26988,bnoordhuis,1.0001419667920832
26988,cjihrig,1.0000736398524381
26983,guybedford,1.0038248065190065
26983,BridgeAR,1.0038517300671868
26982,vsemozhetbyt,1.0001560065155124
26980,BridgeAR,0.7509628742517673
26980,cjihrig,1.0016866222141845
26976,BridgeAR,1.0004463847405918
26976,JungMinu,1.0004231707252236
26976,sam-github,1.0002481482535868
26971,sagirk,0.750416742912448
26971,BridgeAR,1.0011665563670087
26970,guybedford,1.000801004851549
26970,BridgeAR,0.5003987382541988
26970,mscdex,1.0007382892838117
26970,jdalton,1.0003320032639107
26969,richardlau,0.10942447081055176
26969,refack,0.10945104180451173
26964,mscdex,1.006955881822035
26964,BridgeAR,1.006959542022702
26964,addaleax,1.0159568607552594
26962,sebdeckers,1.0108047469254267
26962,jasnell,1.0142443695883188
26962,migounette,0.7686993038418699
26962,mcollina,1.0249127960838682
26960,sam-github,0.0031769762107783117
26960,tniessen,0.7507344755702756
26959,eugeneo,1.0010581602303723
26959,gengjiawen,0.5006038896907452
26959,richardlau,1.0007600592625014
26959,refack,1.001561300486739
26955,vsemozhetbyt,1.0014038459162058
26955,Trott,1.0011533214882982
26951,mscdex,1.000153049789357
26951,sam-github,0.3146506958816085
26951,rvagg,0.7567186819060416
26949,BridgeAR,1.0016675534821986
26949,targos,1.0013796508288761
26949,ZYSzys,1.0013686752586486
26947,danbev,1.0017725232525962
26939,thefourtheye,1.0020247862214289
26930,jasnell,1.0018680504602648
26929,addaleax,0.000260091047658554
26929,bnoordhuis,0.010770051257721656
26929,devsnek,1.0025632415712742
26928,guybedford,1.0016474492004295
26928,BridgeAR,1.0015967865502733
26925,vsemozhetbyt,1.002708275525385
26925,gengjiawen,1.0026669349823922
26920,BridgeAR,1.002847615495714
26920,dnlup,1.00284546190402
26916,sam-github,0.7517811456383268
26916,BridgeAR,0.7515043574312501
26908,vsemozhetbyt,1.0033457183988739
26908,sam-github,1.0029937955940906
26908,Trott,1.0032942733714079
26900,sam-github,1.0025997311082981
26898,bnoordhuis,1.002802728370487
26898,sasurau4,1.0025664017436484
26898,tniessen,1.0028881570230062
26888,addaleax,0.7532855720621464
26888,gengjiawen,0.5016934671662197
26888,refack,0.7512470010400099
26885,mscdex,1.0043644254588489
26885,gengjiawen,0.31341467722615846
26885,refack,0.501717692939619
26884,addaleax,0.7532793877887407
26884,gengjiawen,0.019596440024620358
26884,refack,0.31329813925052363
26884,BridgeAR,1.0044797535974601
26883,refack,1.0027643932623653
26883,gengjiawen,1.0027315239210959
26882,devsnek,1.0048411887159354
26882,guybedford,1.0035398649667857
26882,BridgeAR,1.0034798339340418
26876,mscdex,1.0054952890662878
26876,Trott,1.0054831420222485
26876,ZYSzys,1.0051006173067516
26876,joyeecheung,1.0047557601085184
26874,bcoe,1.0039946449003323
26874,joyeecheung,0.787335197656799
26874,addaleax,1.0711079710080564
26873,BridgeAR,1.0138095044905846
26871,cjihrig,0.010802005964636069
26871,santigimeno,1.0049311088745174
26871,vsemozhetbyt,0.010761671250413486
26868,mscdex,0.7543112712808622
26868,sam-github,0.010780667798470834
26868,addaleax,0.03528660922487869
26868,targos,1.0044974307589296
26868,tniessen,1.0043669184459307
26868,bnoordhuis,0.501966740748135
26868,BridgeAR,1.003485701763331
26866,Trott,1.0058061986385693
26866,joyeecheung,1.0057980731587557
26858,sam-github,1.0046517089114335
26858,BridgeAR,0.7511042834692894
26858,tniessen,1.0009329613398357
26858,vsemozhetbyt,1.000891349715943
26858,Trott,1.000815826060497
26857,Trott,1.0057717527909156
26857,MohammedEssehemy,1.005755170844038
26849,Trott,1.006281185967905
26849,vsemozhetbyt,0.0004907347506203261
26849,BridgeAR,1.0040937211961376
26846,richardlau,1.0064194646469533
26846,Trott,1.0063478930489227
26846,Himself65,1.0063318250058295
26845,richardlau,1.0064604920835936
26845,Trott,1.0064449136239195
26843,sam-github,1.0066555005301336
26843,addaleax,1.0066459738079632
26840,gengjiawen,0.06279278422391903
26840,refack,1.0056924945835426
26840,joyeecheung,1.0015743172928226
26837,joyeecheung,1.006841785716579
26837,addaleax,1.004719086746335
26837,bnoordhuis,1.0064914813040649
26836,addaleax,1.0066864939415674
26836,bnoordhuis,1.006479354973726
26832,bnoordhuis,1.0041420963076493
26832,joyeecheung,0.5030257287571747
26832,Hakerh400,0.5026983254733391
26832,BridgeAR,1.0034685741414988
26825,ZYSzys,1.0014615012834702
26825,BridgeAR,1.0009189014048896
26824,gengjiawen,1.0067745828053014
26824,joyeecheung,1.0059911576403064
26823,guybedford,1.007508502716946
26823,BridgeAR,0.31439236852458674
26823,vsemozhetbyt,0.5031459271119354
26823,jdalton,1.0060513096602317
26823,tniessen,1.0058689840115438
26823,mcollina,1.0020403148940071
26820,targos,1.0069946843706359
26820,dnlup,1.006943338012749
26817,jasnell,1.0067400190436626
26815,refack,1.0067797445826714
26815,gengjiawen,1.006776117752102
26807,jasnell,1.006753121873492
26806,jasnell,1.006752490125998
26802,jasnell,1.0067519238933922
26797,ZYSzys,1.0077642899332533
