pr,commenter,weight
34120,Ethan-Arrowood,0.1875655173991083
34120,targos,1.000241352193436
34120,jasnell,1.0007352420028741
34117,jkrems,1.0002734340586197
34117,guybedford,0.10984072276859758
34117,ljharb,0.5014982281242306
34117,sokra,1.0021636687052846
34117,bmeck,1.0051645334971855
34117,nodejs-github-bot,0.7553457739119689
34112,mmarchini,0.064514176784314
34112,lundibundi,1.0210316814406066
34112,devsnek,1.0333538891268874
34112,addaleax,1.033815400752923
34112,mcollina,1.033425905397509
34112,bnb,1.033614645017514
34112,Trott,1.0359775102158477
34111,mscdex,0.7504081967853387
34111,awwright,0.1881891259435268
34111,addaleax,0.31419266753524133
34111,ronag,0.06292464819353853
34111,mcollina,0.5033820194368787
34111,jasnell,0.503391312769438
34106,ronag,0.03518838215563431
34106,nodejs-github-bot,1.00091551038865
34106,lpinca,1.0009432417981317
34103,ronag,0.010749361437197137
34103,lundibundi,1.0004238859654428
34103,nodejs-github-bot,0.18762902841590587
34103,lpinca,1.0006222909536169
34103,addaleax,1.0006423042530639
34102,ronag,0.7513235565315322
34102,nodejs-github-bot,0.7504613058306887
34102,mcollina,1.0036939466704118
34102,addaleax,1.0696005810449773
34101,nodejs-github-bot,0.750485442046394
34101,ronag,0.5003258909594513
34101,Trott,1.0015135292158444
34097,lpinca,1.0013034218621102
34097,jasnell,1.0030698364263344
34089,mscdex,1.0016929969427355
34089,mmarchini,0.11099388072990717
34089,Trott,1.0010672887866676
34088,ronag,0.0001375631798688338
34088,addaleax,0.10955992503903125
34088,nodejs-github-bot,0.3130440078231219
34087,jasnell,0.7507662671172259
34087,nodejs-github-bot,1.0005690330209938
34087,MylesBorins,1.0115501790679378
34082,ronag,0.020285241963610156
34082,ghermeto,1.0020675988098044
34082,mcollina,0.7888281722776361
34082,jasnell,1.0021527185545684
34082,Ethan-Arrowood,1.0020857322177674
34082,masx200,1.0177765581496256
34082,devsnek,1.0551879969510751
34080,ptomato,0.3220856125541259
34070,nodejs-github-bot,1.020287721713825
34070,jasnell,0.3155964770457794
34070,lundibundi,0.7678436159396657
34070,Trott,1.0021212611259491
34068,ronag,0.010770135556005199
34068,mcollina,0.7517329400543705
34068,addaleax,1.0027471896122768
34068,lundibundi,1.0026889663285208
34068,jasnell,0.5013406030370368
34068,clshortfuse,1.002416041049151
34064,Trott,1.0006712493656573
34063,Trott,1.0010088772771248
34062,zhangwinning,1.0030193959643237
34062,jasnell,1.002700062267322
34062,lpinca,1.0026916493516473
34060,devsnek,1.0026323880450474
34060,codebytere,1.0012655145202793
34060,nodejs-github-bot,1.002091504073107
34057,addaleax,0.06339830040762666
34057,jasnell,0.5050883465212967
34057,nodejs-github-bot,0.5087302593385166
34057,MylesBorins,1.0221735421696971
34055,jasnell,1.0471197920155455
34055,nodejs-github-bot,0.20012988816345312
34055,ExE-Boss,0.3338352485807071
34055,Trott,0.8171556007384464
34055,richardlau,1.0908403306859098
34055,github-actions[bot],1.0924344842499332
34055,aduh95,0.8192994236923944
34055,ljharb,1.0923090983905546
34055,codecov-io,1.0923534965436306
34052,ghost,1.0032165412403213
34052,devsnek,1.003209488945764
34048,puzpuzpuz,0.019839194217585083
34048,nodejs-github-bot,0.1883428574909859
34048,yunyu,1.0125792965320028
34048,addaleax,1.0177575961374747
34048,richardlau,1.0177738532256075
34048,Trott,1.0187778736037159
34048,RosenTomov,1.044533832470377
34042,mkrawczuk,0.1233711895782739
34042,mcollina,0.8576917700963955
34042,nodejs-github-bot,0.2143644902883976
34042,github-actions[bot],1.1423176859096416
34039,richardlau,1.0042368797410297
34039,mmarchini,0.7564061097833543
34039,Trott,1.0020212369234662
34039,mhdawson,0.3133955566225546
34039,jasnell,1.0030774200022432
34035,nodejs-github-bot,0.01958820927255754
34035,ronag,0.0002600795457226987
34035,mcollina,1.0034466734373233
34035,benjamingr,1.0026521778112434
34033,jasnell,0.18831691583324078
34033,nodejs-github-bot,0.7535125980142057
34033,gengjiawen,1.0046907755427428
34024,DerekNonGeneric,1.0052214096741405
34024,jasnell,1.0039754484092964
34024,Trott,1.0038602558876746
34023,addaleax,0.7541285127215092
34023,nodejs-github-bot,0.5017709090445742
34023,devsnek,1.0055019398443674
34023,jasnell,1.002526988697971
34022,nodejs-github-bot,1.005290357946623
34022,lundibundi,1.0042910998729448
34022,lpinca,1.0048684154388727
34022,Trott,1.0035021739404595
34020,PoojaDurgad,1.1491004436736745
34017,nodejs-github-bot,0.5025745164721226
34017,lundibundi,1.0056366277024176
34017,ZYSzys,1.0052581648115595
34017,benjamingr,1.0051554616889666
34017,jasnell,1.0039499683241613
34017,MylesBorins,1.0115488853432986
34014,bzoz,0.3454892372934449
34014,richardlau,1.0058302902601823
34014,Trott,1.0047136406688604
34014,mmarchini,0.20946243166572953
34014,aduh95,1.1087803858396719
34014,PoojaDurgad,1.1490670696479595
34014,nodejs-github-bot,1.1525383248798662
34013,rickyes,0.5100853134538325
34013,Trott,1.0045545524626134
34013,jasnell,1.0029843511627106
34013,codebytere,1.072848511123294
34010,nodejs-github-bot,0.7531299296238771
34010,jasnell,1.003306642078193
34010,rochdev,1.0047553806627123
34010,bnoordhuis,1.005009858974138
34009,dennisameling,1.0314411060107957
34009,nodejs-github-bot,1.0336849150683585
34009,richard-townsend-arm,1.0390653478218022
34009,joaocgreis,1.0407708877084738
34008,nodejs-github-bot,1.0056047605552956
34008,Flarna,1.0042614835107622
34003,ronag,1.0047086432385401
34002,shisama,1.0057633626732838
34002,Trott,1.0046501910045393
34002,ljharb,1.045132137458281
34002,aduh95,1.0938129513693404
34002,github-actions[bot],0.8215429889779355
34002,ExE-Boss,1.0958669075252943
33996,Trott,0.1098145051070987
33996,aw-davidson,0.18841061572507475
33996,richardlau,1.0032774890096516
33996,nodejs-github-bot,1.0030041114766106
33996,jasnell,1.0025678012116488
33994,lpinca,1.0067702646723953
33994,Flarna,1.0059815323538417
33994,nodejs-github-bot,1.0040018307228111
33994,addaleax,1.0034529901443627
33992,ronag,1.0064972822462963
33992,mcollina,0.7545342629715835
33992,WilliamConnatser,1.0063462820987388
33991,rickyes,0.010783775792804165
33991,benjamingr,1.0067811044162558
33991,mcollina,1.0067222406231595
33991,targos,1.0015899321106834
33991,nodejs-github-bot,1.0039049506551418
33991,ronag,1.0073156932927227
33990,ronag,0.3147970610135499
33990,tniessen,1.0074395065552129
33990,mcollina,1.006604861190069
33990,addaleax,1.0066041033587747
33989,ronag,0.18889546880674452
33989,addaleax,1.0074839414101624
33989,jasnell,0.755554144565961
33983,Trott,1.0060565757959479
33983,mkrawczuk,1.006487586737278
33982,ronag,0.03543352720831602
33982,addaleax,0.5037446014518161
33982,nodejs-github-bot,1.0069876703073941
33982,MylesBorins,1.011546986048422
33981,ronag,0.06291897661864962
33981,nodejs-github-bot,0.5031347914294644
33981,bnoordhuis,1.0059408911062686
33981,codebytere,1.0017249072984438
33973,falguniraina,1.0075702534303745
33973,Trott,1.0016638496473889
33971,nodejs-github-bot,1.0042111015397157
33971,jasnell,1.00397995621148
33950,jasnell,0.7540228221970073
33950,nodejs-github-bot,0.5031860228368037
33950,codebytere,1.0017565369884245
33950,addaleax,1.001747359641429
33950,richardlau,1.001736773994117
33950,vjeux,1.2600082833374984
33949,nodejs-github-bot,0.7565252069754624
33949,ronag,1.0065699467599163
33949,codebytere,1.0017569186224966
33949,addaleax,1.0017485863116546
33944,richardlau,1.0130735143121254
33944,nodejs-github-bot,1.0034407390458469
33944,jasnell,1.0033363468246306
33944,MylesBorins,1.017208303541482
33943,addaleax,1.0082128841162168
33943,nodejs-github-bot,1.0082126006185694
33943,mildsunrise,0.7616389519750195
33943,mkrawczuk,1.0184133181790773
33943,codecov-commenter,1.0069642379312433
33943,aduh95,1.1165156960789722
33943,github-actions[bot],1.1399096526810824
33929,mkrawczuk,1.0195503899376237
33929,addaleax,1.0081159234248478
33929,nodejs-github-bot,0.766392384732249
33929,mildsunrise,1.0183562241529875
33912,addaleax,0.5043706173659036
33912,jasnell,0.18918687430703918
33912,nodejs-github-bot,1.0088175720180854
33911,nodejs-github-bot,1.0097100027196333
33911,addaleax,1.0081173133452987
33895,richardlau,1.0111550093830575
33895,jasnell,0.03547932388601949
33895,Trott,0.31537069465605394
33895,DerekNonGeneric,1.0111149570414744
33895,mmarchini,0.11032886153510871
33895,mhdawson,1.011095862345748
33895,mcollina,1.010628792450976
33895,addaleax,1.0081204040963276
33889,Trott,0.11050165262911353
33889,DerekNonGeneric,1.0109352318539948
33886,DerekNonGeneric,1.0031720079695832
33886,jasnell,1.002985306417549
33882,fabiosantoscode,1.0113950723599017
33882,nodejs-github-bot,1.0092278316673373
33882,addaleax,1.0081226901608775
33879,addaleax,0.019761578798693436
33879,ronag,0.5058940658638786
33879,jasnell,0.11064174527045939
33879,rubys,0.1897205978487389
33879,bnoordhuis,1.0116749272599395
33879,gireeshpunathil,1.0117236357287782
33875,clshortfuse,0.010855363091567089
33875,addaleax,0.5155039947551854
33875,jeffmcmahan,1.0109204026131988
33875,lundibundi,1.0058664563658455
33875,niftylettuce,0.11329770421511563
33875,nodejs-github-bot,0.7773823793798946
33875,shaunwarman,1.0366857919756807
33875,rahbari,1.0367601375484694
33871,gabrielschulhof,1.0048691993077103
33867,addaleax,0.7589969101960437
33867,bnoordhuis,1.011884873367554
33867,nodejs-github-bot,1.0060354491177503
33867,jasnell,1.0038954041412542
33862,targos,1.0106112175006186
33862,MylesBorins,1.010364397814818
33862,nodejs-github-bot,1.0011689570387623
33862,richardlau,1.0012213202077334
33860,nodejs-github-bot,1.0060367260207976
33860,jasnell,1.0039031988429594
33859,nodejs-github-bot,1.012373228094156
33859,addaleax,1.0081282041699031
33856,bmeck,0.7596611426440473
33856,mscdex,1.0136888729925608
33856,Trott,1.012949011150193
33856,jasnell,1.003075140828663
33855,nodejs-github-bot,1.0136698975849097
33855,mildsunrise,1.006035178759719
33854,devsnek,1.0069368461554085
33854,sapics,1.000513304950878
33854,yashLadha,1.0005161318585822
33854,github-actions[bot],1.0890698303085176
33852,Trott,0.7572233688299641
33852,DerekNonGeneric,1.0097854821107186
33852,MylesBorins,1.0115454721202775
33851,nodejs-github-bot,1.010357173205882
33851,addaleax,1.0081443348769321
33851,MylesBorins,1.011546096041905
33849,ethanent,1.0143009596061443
33841,mscdex,0.507274632699009
33841,zombieleet,1.0146397439527928
33841,addaleax,0.7608339830592985
33841,jasnell,1.0046261199015234
33839,nodejs-github-bot,1.0145894388274865
33839,addaleax,1.003443151025879
33833,mcollina,1.0150821733348119
33833,jasnell,0.7585827342678092
33833,nodejs-github-bot,0.7570410381426222
33833,codebytere,1.0061413393663856
33818,rexagod,1.0124822465362242
33818,ronag,1.0122721886225958
33815,nodejs-github-bot,1.0151496510506908
33815,addaleax,1.0143428034751194
33814,mhdawson,0.3174865090758676
33814,nodejs-github-bot,1.0159670211542378
33813,mkrawczuk,1.013667888309108
33813,richardlau,1.0160334480823598
33813,Trott,0.7999681187469121
33813,aduh95,1.1085661761286538
33813,github-actions[bot],1.1359348930818833
33812,GeoffreyBooth,1.0159593976934231
33812,devsnek,0.010896251510182437
33812,jkrems,0.19027387223677966
33812,guybedford,0.06332808803944961
33812,DerekNonGeneric,0.7599537549474806
33807,nodejs-github-bot,0.20008128963612506
33807,targos,1.016132230227278
33807,joyeecheung,0.7732571651907445
33807,bcoe,0.19265563548728992
33807,atian25,0.32329588672757087
33807,SimenB,1.0147464719844488
33807,gengjiawen,1.0938437184661922
33804,mafintosh,1.014609814995633
33804,nodejs-github-bot,1.0099657175855266
33804,mcollina,1.0096987650984588
33803,zhangwinning,1.0149647582151835
33803,nodejs-github-bot,1.006588429906987
33803,ronag,1.0062580249892799
33801,Qard,0.7613260007302158
33801,addaleax,0.7571709502945296
33801,puzpuzpuz,1.0144269104570456
33801,nodejs-github-bot,1.0085312016625967
33801,pupudu,1.005831348583856
33788,mscdex,1.0173540078887242
33788,zhangwinning,1.0164816546354443
33785,DerekNonGeneric,0.31506257350092903
33785,Trott,0.7577077764766027
33777,cjihrig,1.016545730060257
33777,codebytere,1.0088626323196734
33774,nodejs-github-bot,1.01755780133769
33772,nodejs-github-bot,0.11114681006859271
33772,benjamingr,1.0168410380794821
33772,addaleax,1.0148004009652123
33772,codebytere,1.0088516603539817
33768,mscdex,0.5075164445792615
33768,rexagod,0.31579051933694047
33768,ronag,0.8282644892839227
33768,jasnell,0.5609006137733386
33768,nodejs-github-bot,1.1585181899714745
33765,jasnell,1.0085348974508674
33758,nodejs-github-bot,1.0191547601871358
33758,cjihrig,1.0165417651796669
33751,Qard,1.0183403085098022
33751,puzpuzpuz,1.0159139971996058
33751,nodejs-github-bot,0.1905548039008856
33740,briantw,1.0070928129550525
33740,aduh95,1.0890728432573096
33740,PoojaDurgad,1.1491170059719782
33739,aduh95,1.0890704724116596
33739,PoojaDurgad,1.1491201850433277
33736,ronag,0.7645663894893651
33736,puzpuzpuz,0.19113442149211968
33736,BridgeAR,1.019470956272986
33736,benjamingr,1.0193561864371068
33735,DerekNonGeneric,1.0194963771538461
33735,gireeshpunathil,1.019399755288316
33735,darkrishabh,1.0048439152885515
33735,aduh95,1.1175276544397845
33730,jasnell,1.0030232080246317
33716,BridgeAR,0.7633712569021254
33716,amcasey,0.011214134654880714
33716,lundibundi,0.3238685969763526
33716,nodejs-github-bot,0.3288109620888703
33716,MicahZoltu,1.0211279800524635
33716,bnoordhuis,1.0216823232865735
33716,joyeecheung,1.0521285291569138
33716,JasonKleban,1.0703037348074227
33716,MylesBorins,1.1003381325907828
33711,nodejs-github-bot,1.0188931605947757
33711,juanarbol,1.018857709016887
33711,sagar-jadhav,1.018852533710773
33708,mscdex,1.0209005397337378
33708,jasnell,1.0208188960689295
33708,danbev,0.5093710936912484
33708,nodejs-github-bot,1.0195793022725228
33690,nodejs-github-bot,0.31801538487290215
33690,addaleax,1.0143473210233167
33689,addaleax,1.0222717150404488
33689,joaocgreis,1.0172322009245545
33689,dennisameling,1.0169524611479428
33689,nodejs-github-bot,1.016434204918096
33689,bzoz,1.0162758358306307
33676,mattiasrunge,0.12127983642781975
33676,addaleax,1.023148463578642
