pr1,pr2,weight
34120,32099,0.5904995690379446
34120,33103,0.5711859092699914
34120,30774,0.5658595879055418
34120,25346,0.5450077824503783
34120,31238,0.5233883372021769
34117,25346,0.41426373283555656
34117,30774,0.39615700257772724
34117,24675,0.38091126471265874
34117,33103,0.38084375997734
34117,31238,0.3489742639539537
34112,34111,0.9999101779718923
34112,34102,0.9996655688220732
34112,34082,0.9985858073115548
34112,34070,0.9978921964618128
34112,34064,0.9976995997271755
34111,34102,0.9997553688769173
34111,34089,0.9990751460273439
34111,34082,0.9986755103713179
34111,34070,0.9979818372144461
34111,34064,0.9977892231788253
34106,32099,0.6983259740793416
34106,30774,0.6228583741750957
34106,26684,0.6048452093228047
34106,33103,0.6033183362225629
34106,31552,0.591744846192493
34103,25346,0.4581436760857875
34103,30774,0.45302103950543565
34103,24675,0.42348730421848796
34103,33103,0.41282694784263707
34103,31238,0.3782810574927454
34102,34089,0.9993196107060296
34102,34070,0.9982260343703245
34102,34064,0.9980333732037863
34102,34063,0.9980227905922204
34102,34062,0.9980099268502232
34101,32099,0.6983994486697297
34101,30774,0.6229239084178577
34101,26684,0.6049088483046738
34101,33103,0.6033818145539912
34101,31552,0.5918071068154716
34097,32099,0.6985746938685748
34097,33103,0.6352981237325188
34097,30774,0.6230802149905562
34097,26684,0.6050606344660264
34097,31552,0.5919556054351502
34089,34082,0.999599994397203
34089,34070,0.9989056791000704
34089,34064,0.9987128867596878
34089,34063,0.9987022969429241
34089,34062,0.9986894244426154
34088,32099,0.6989033876374803
34088,30774,0.6233733870536057
34088,26684,0.6053453279456279
34088,33103,0.6038171923444019
34088,31552,0.5922341327289142
34087,32099,0.6451875211231015
34087,30774,0.6234177697444945
34087,33103,0.6038601826811048
34087,31552,0.592276298379538
34087,31238,0.5824509319566387
34082,34070,0.9993054068617204
34082,34064,0.9991125373724615
34082,34063,0.9991019433180166
34082,34062,0.9990890656665753
34082,34060,0.9990148026466794
34080,32099,0.6992418829959625
34080,33103,0.635904879179752
34080,30774,0.6236753014552975
34080,26684,0.605638510934025
34080,31552,0.5925209656569117
34070,34064,0.9998069964518008
34070,34063,0.9997963950336837
34070,34062,0.9997835084312967
34070,34060,0.9997091937929631
34070,34048,0.9993007478272146
34068,30774,0.5389313637288143
34068,32099,0.5381806441790079
34068,25346,0.5245357718974897
34068,33103,0.5090097919894332
34068,24675,0.4878875136218641
34064,34062,0.9999765074453495
34064,34060,0.9999021784612582
34064,34048,0.9994936536487713
34064,34042,0.9988311760317067
34064,34035,0.9981980382487634
34063,34062,0.9999871107733025
34063,34060,0.9999127810010581
34063,34048,0.9995042518567469
34063,34042,0.9988417672150497
34063,34035,0.9982086227185812
34062,34060,0.99992566926969
34062,34048,0.9995171348596861
34062,34042,0.9988546416789642
34062,34035,0.9982214890216476
34062,34017,0.9972336929581603
34060,34048,0.9995914352210777
34060,34042,0.9989288927930934
34060,34035,0.9982956930695789
34060,34017,0.9973078235770307
34060,34014,0.9972746699101629
34057,25346,0.43726876848093854
34057,30774,0.4256236099466546
34057,24675,0.42440105742214596
34057,33103,0.4137176993300841
34057,31238,0.37909726974922614
34055,32099,0.7000083417045301
34055,33103,0.6366019124157757
34055,30774,0.624358929506968
34055,26684,0.6063023683519481
34055,31552,0.5931704445642547
34052,32099,0.6462256459975988
34052,33103,0.6048318107052619
34052,30774,0.5960380998184862
34052,25346,0.5686068490695978
34052,31238,0.5542187062993087
34048,34042,0.9993371867698747
34048,34035,0.9987037282375151
34048,34017,0.9977154549713184
34048,34014,0.9976822877534935
34048,34008,0.9975473587707151
34042,34035,0.9993661213244679
34042,34017,0.9983771925832179
34042,34014,0.9983440033671415
34042,34008,0.9982089848923317
34042,34002,0.997549313214947
34039,32099,0.5928357824014134
34039,30774,0.568098317280511
34039,25346,0.5471640151240608
34039,33103,0.5415876162748489
34039,31238,0.525459036135366
34035,34017,0.9990104440003036
34035,34014,0.9989772337329469
34035,34008,0.9988421296185199
34035,34006,0.998455646677309
34035,34002,0.9981820395241006
34033,25346,0.3723099359310938
34033,30774,0.36950051288781316
34033,24675,0.36135379859587563
34033,31238,0.3213196098211756
34033,33103,0.3187850821908255
34024,32099,0.7013190987436982
34024,33103,0.637793941693334
34024,30774,0.6255280339491036
34024,26684,0.6074376621046574
34024,31552,0.5942811489506422
34023,32099,0.5935893025169329
34023,33103,0.5741745858400236
34023,30774,0.5688203949997903
34023,25346,0.5478594844329716
34023,24675,0.5317373690324296
34022,32099,0.7016241231891971
34022,33103,0.6380713371667442
34022,30774,0.6258000946159828
34022,26684,0.607701854733078
34022,31552,0.5945396194218641
34020,32099,0.7016587577234603
34020,33103,0.6381028345210384
34020,30774,0.6258309862203371
34020,26684,0.6077318529472413
34020,31552,0.5945689679036781
34017,34014,0.9999667568366716
34017,34008,0.9998315188967298
34017,34006,0.9994446531301785
34017,34002,0.9991707749591827
34017,33996,0.9987413774571643
34014,34008,0.9998647575641718
34014,34006,0.999477878936551
34014,34002,0.9992039916606759
34014,33996,0.9987745798836516
34014,33992,0.998578072011568
34013,32099,0.5937812643325918
34013,30774,0.5690043467579251
34013,25346,0.548036657607946
34013,33103,0.5424513652598774
34013,31238,0.5262970625146576
34010,32099,0.7018236293229957
34010,33103,0.6382527721279414
34010,30774,0.6259780402613523
34010,26684,0.6078746541616223
34010,31552,0.5947086761816599
34009,33103,0.5425149744110916
34009,30774,0.5406175160968073
34009,32099,0.5398644477737955
34009,25346,0.52617688483581
34009,31238,0.49711662307496746
