pr1,pr2,weight
34117,34112,0.9997349199071502
34117,34111,0.9996451216890742
34117,34106,0.9994767003760933
34117,34103,0.9994036051462434
34117,34102,0.9994005773802711
34112,34111,0.9999101779718923
34112,34106,0.9997417120019365
34112,34103,0.9996685973908588
34112,34102,0.9996655688220732
34112,34101,0.9996365349246591
34111,34097,0.9994755399486926
34111,34089,0.9990751460273439
34111,34088,0.9990054873091353
34111,34087,0.9989343655768217
34111,34082,0.9986755103713179
34106,34097,0.9996439610661304
34106,34089,0.9992434996746047
34106,34088,0.9991738292182407
34106,34087,0.99910269550124
34106,34082,0.9988437966761764
34103,34097,0.9997170738753358
34103,34089,0.9993165831945245
34103,34087,0.9991757687229046
34103,34082,0.9989168509622789
34103,34080,0.9987631831282662
34102,34097,0.9997201026001601
34102,34089,0.9993196107060296
34102,34087,0.9991787958078006
34102,34082,0.9989198772627622
34102,34080,0.9987662089632003
34101,34097,0.9997491389247517
34101,34089,0.9993486353985527
34101,34087,0.9992078164104319
34101,34082,0.9989488903452458
34101,34080,0.998795217582472
34097,34089,0.9995993959778453
34097,34088,0.9995297007072514
34097,34087,0.9994585416548576
34097,34082,0.9991995506189016
34097,34080,0.9990458392959402
34089,34088,0.999930276798011
34089,34087,0.9998590892275901
34089,34082,0.999599994397203
34089,34080,0.9994462214721892
34089,34070,0.9989056791000704
34088,34087,0.9999288074658076
34088,34080,0.9995159109219377
34088,34070,0.9989753308588459
34088,34064,0.9987825250754268
34088,34063,0.9987719345202556
34087,34082,0.9997408686552149
34087,34068,0.9990256495061742
34087,34064,0.9988536359970607
34087,34063,0.9988430446878673
34087,34062,0.9988301703734291
34082,34080,0.9998461655403404
34082,34070,0.9993054068617204
34082,34068,0.9992845954672206
34082,34064,0.9991125373724615
34082,34063,0.9991019433180166
34080,34068,0.9994383435247598
34080,34064,0.9992662589574643
34080,34063,0.999255663273038
34080,34062,0.9992427836402653
34080,34055,0.9989050720357113
34070,34068,0.9999791741400007
34070,34064,0.9998069964518008
34070,34063,0.9997963950336837
34070,34062,0.9997835084312967
34070,34057,0.999623278628547
34068,34062,0.9998043302163045
34068,34060,0.9997300140302724
34068,34057,0.999644097076562
34068,34055,0.9994664288272473
34068,34048,0.9993215595581082
34064,34062,0.9999765074453495
34064,34060,0.9999021784612582
34064,34057,0.9998162467117097
34064,34055,0.9996385478659814
34064,34048,0.9994936536487713
34063,34062,0.9999871107733025
34063,34060,0.9999127810010581
34063,34057,0.9998268483403255
34063,34055,0.999649147610354
34063,34048,0.9995042518567469
34062,34052,0.9995628749412111
34062,34048,0.9995171348596861
34062,34042,0.9988546416789642
34062,34039,0.9987834491497247
34062,34035,0.9982214890216476
34060,34052,0.9996371787027493
34060,34042,0.9989288927930934
34060,34039,0.9988576949716679
34060,34033,0.9982180845509363
34060,34014,0.9972746699101629
34057,34052,0.9997230950618424
34057,34042,0.9990147482767531
34057,34039,0.9989435443360498
34057,34035,0.9983814941312783
34057,34033,0.9983038789423743
34055,34052,0.9999008089369421
34055,34048,0.9998550533915289
34055,34042,0.9991923362339334
34055,34039,0.999121119635797
34055,34006,0.9970168416567596
34052,34048,0.9999542399155954
34052,34042,0.9992914570158594
34052,34039,0.9992202333529722
34052,34035,0.9986580274706157
34052,34033,0.9985803907837296
34048,34042,0.9993371867698747
34048,34039,0.9992659598476374
34048,34035,0.9987037282375151
34048,34033,0.9986260879978051
34048,34024,0.9982757085935174
34042,34039,0.9999287258363041
34042,34033,0.9992884295896481
34042,34024,0.9989378177952246
34042,34023,0.9986593862343125
34042,34020,0.9984542519645365
34039,34035,0.9994373553861394
34039,34033,0.9993596581135116
34039,34024,0.9990090213277444
34039,34023,0.9987305699204412
34039,34022,0.9985747116130301
34035,34033,0.9999222589868098
34035,34020,0.9990875522589031
34035,34014,0.9989772337329469
34035,34009,0.9988526303161697
34035,34006,0.998455646677309
34033,34024,0.9996491385429455
34033,34023,0.999370508717294
34033,34022,0.9992145505433317
34033,34020,0.9991652283761014
34033,34017,0.9990881141225617
34024,34020,0.9995159199881377
34024,34014,0.9994055541621262
34024,34006,0.9988837434713703
34024,34003,0.9986515054306049
34024,33994,0.9980214960631791
34023,34014,0.9996841937586345
34023,34009,0.9995595021620353
34023,34003,0.9989299347943069
34023,34002,0.9988884368037122
34023,33996,0.9984591606376072
34022,34020,0.999950639062248
34022,34014,0.9998402252348704
34022,34009,0.9997155141763109
34022,34006,0.9993181875931917
34022,34003,0.9990858485452246
34020,34014,0.9998895807222232
34020,34013,0.9998820983389654
34020,34009,0.9997648635075052
34020,34008,0.9997543532197671
34020,34003,0.9991351667939986
34017,34014,0.9999667568366716
34017,34009,0.9998420299957006
34017,34006,0.9994446531301785
34017,34003,0.9992122846792817
34017,34002,0.9991707749591827
34014,34013,0.9999925167904514
34014,34010,0.9998754866796301
34014,34008,0.9998647575641718
34014,34006,0.999477878936551
34014,34003,0.9992455027607351
34013,34006,0.9994853582949279
34013,34003,0.9992529803801793
34013,33994,0.9986225915662195
34013,33991,0.9985252398845527
34013,33990,0.9983312713167699
34010,34009,0.9999997823058405
34010,34003,0.9993699376299473
34010,34002,0.9993284213605595
34010,33996,0.9988989561093908
34010,33994,0.9987394750323276
34009,34008,0.9999894872403285
34009,34006,0.9996025603509349
34009,34003,0.9993701551869932
34009,33994,0.9987396924521256
34009,33991,0.9986423293547665
34008,34006,0.9996130690428942
34008,34003,0.9993806614357073
34008,34002,0.9993391447208264
34008,33996,0.9989096748612523
34008,33994,0.9987501920728666
34006,34003,0.9997675024323067
34006,34002,0.9997259696471056
34006,33996,0.9992963335480243
34006,33994,0.9991367890269246
34006,33992,0.9990997230214435
34003,34002,0.9999584575562817
34003,33996,0.999528721544623
34003,33994,0.9993691399211839
34003,33983,0.9987483258681893
34003,33982,0.9986802299011196
34002,33994,0.9994106578821904
34002,33991,0.9993132293751226
34002,33990,0.999119107736404
34002,33989,0.9990573298970777
34002,33982,0.9987217192419314
33996,33994,0.9998403431337196
33996,33991,0.9997428727383726
33996,33990,0.9995486676392622
33996,33989,0.9994868632392561
33996,33982,0.9991511082921237
33994,33992,0.9999629019710933
33994,33991,0.9999025140403501
33994,33989,0.9996464636610325
33994,33983,0.9993787940529727
33994,33982,0.9993106550997576
33992,33982,0.9993477289306933
33992,33971,0.9991222343385562
33992,33950,0.9985056674368782
33992,33949,0.9984915657306457
33992,33944,0.9983351380033773
33991,33983,0.9994762289522993
33991,33982,0.9994080833558453
33991,33973,0.9992038013299093
33991,33949,0.9985518684488329
33991,33944,0.9983954312742969
33990,33983,0.999670419977095
33990,33973,0.9993979394239824
33990,33971,0.9993767091152072
33990,33950,0.9987599851749616
