pr1,pr2,weight
34120,33663,0.976979922116572
34120,33854,0.6577393650262766
34120,33132,0.6350948484597234
34120,32927,0.6304654361702158
34120,32804,0.6274107171194473
34117,33256,0.22682714280178587
34117,28950,0.1902161757758989
34117,32646,0.18883050633099974
34117,33882,0.18125098901267014
34117,27808,0.1800418341012997
34112,34014,0.3316277361533595
34112,32714,0.3126138385526209
34112,32633,0.3114219210822951
34112,32417,0.30845866867922916
34112,32391,0.30805701173187733
34111,33814,0.53943098830151
34111,33711,0.5367972477231073
34111,33633,0.5345697551816465
34111,33185,0.5229141155076029
34111,33162,0.5225910415042537
34106,31150,0.4345587568469027
34106,34102,0.4166349321450776
34106,29155,0.3898754401059211
34106,29127,0.38941670660891936
34106,28975,0.38657391769913435
34103,34102,0.3402767468814798
34103,33814,0.3284286463375145
34103,33711,0.32682511248104745
34103,33633,0.3254689197965623
34103,33185,0.31837246808473696
34102,31150,0.43459185660207655
34102,29155,0.3899051363930457
34102,29127,0.3894463679549313
34102,28975,0.3866033625137442
34102,31191,0.3631996911940295
34101,33814,0.49265877059797514
34101,33711,0.49025339266535883
34101,33633,0.4882190383905924
34101,33185,0.477574019404146
34101,33162,0.47727895804364995
34097,33855,0.9876479344949587
34097,30746,0.8481218313938776
34097,28827,0.7658396388084242
34097,27734,0.7259349843399684
34097,26908,0.6970360847743875
34089,34014,0.3319645450332644
34089,32714,0.3129313364737145
34089,32633,0.3117382084641474
34089,32417,0.3087719465126814
34089,32391,0.308369881633146
34088,33204,0.3188125214707358
34088,32811,0.31424428497214635
34088,32451,0.30930094435384337
34088,31541,0.29591595115628444
34088,33768,0.29499663728063447
34087,33912,0.6610314345836235
34087,33867,0.3297475952197416
34087,33851,0.3292548247313781
34087,33839,0.32907461572208174
34087,33815,0.3287000687153093
34082,33371,0.33769398403739304
34082,33635,0.2932601316752302
34082,33214,0.2872132681014638
34082,33167,0.2867376595018552
34082,33043,0.2854185327740378
34080,33660,0.4077986985862924
34080,32241,0.38342513248612226
34080,32798,0.37311949417368523
34080,33298,0.3706247008651886
34080,31343,0.3659650419856414
34070,33288,0.2805429509114134
34070,33854,0.2802430780875065
34070,33663,0.2775079564559766
34070,32801,0.2751109346801896
34070,32664,0.27350107498292286
34068,34013,0.7754428569539908
34068,33992,0.7743460276458463
34068,33768,0.765606518103275
34068,33765,0.7655768517588173
34068,33518,0.7570317965229479
34062,33814,0.3290845436533517
34062,33711,0.3274778074162031
34062,33633,0.3261189063104171
34062,33185,0.3190082824376623
34062,33162,0.3188111883454355
34060,31537,0.31742688952048626
34060,33320,0.30960475738615983
34060,30049,0.2939694006266875
34060,33867,0.2829928597926267
34060,33851,0.2825699589686481
34057,33814,0.3590588647380584
34057,33711,0.3573057806131115
34057,33633,0.3558231054229672
34057,33185,0.34806481782007065
34057,33162,0.3478497716188243
34055,33856,0.1979540127885599
34055,33814,0.19751748068493472
34055,33711,0.19655311301769754
34055,33633,0.1957374967024034
34055,33185,0.1914696799953261
34052,32655,0.9376148544648094
34052,32591,0.9352569053676058
34052,32213,0.9204242814036506
34052,31725,0.8990971302397057
34052,31498,0.8871010388044976
34048,32220,0.2557889964992289
34048,32215,0.2556988023663521
34048,33045,0.2540722200802238
34048,31082,0.24049661526206456
34048,32371,0.23158115707862503
34042,33204,0.2663122228221029
34042,32811,0.2624962584719445
34042,32451,0.2583669600925899
34042,31541,0.2471861342126759
34042,31379,0.24500222742825545
34039,33895,0.9931601186314114
34039,20554,0.5424799897024044
34039,31611,0.44679778600770464
34039,31656,0.37351678211439965
34039,26018,0.33768362649851574
34035,32690,0.2687464086244092
34035,31316,0.23287326293039531
34035,31314,0.23025287901902186
34035,32966,0.22654592799587536
34035,32414,0.22118693490086525
34033,30943,0.39340599515341484
34033,32437,0.21551470864028321
34033,31311,0.20364087428209338
34033,33317,0.197500882165921
34033,33560,0.18901227777967977
34024,33101,0.6377842863210837
34024,33081,0.6373540793509547
34024,33042,0.6362348212523157
34024,32957,0.6343958746284217
34024,32926,0.6335711287228514
34023,33814,0.2537724381908484
34023,33711,0.2525334089495957
34023,33633,0.2514854969357188
34023,33185,0.24600216326949895
34023,33162,0.24585017482366628
34022,33814,0.4949334920161626
34022,33711,0.4925170078878818
34022,33633,0.4904732605209445
34022,33185,0.47977909097810784
34022,33162,0.47948266724991123
34020,32191,0.23053906781192596
34020,31922,0.22755604057406775
34020,31872,0.22684353790046177
34020,30308,0.2089091829240881
34020,30299,0.2088939577183962
34017,32804,0.315435925864495
34017,32706,0.3140689841247474
34017,32668,0.3135372435230074
34017,30404,0.27989080696370056
34017,30314,0.278573494736095
34014,32714,0.6284432904169678
34014,32633,0.6260471951563578
34014,32417,0.6200902096974262
34014,32391,0.6192827642728049
34014,31323,0.5869381375497146
34013,33518,0.9762573602091542
34013,33308,0.9652512216645546
34013,30901,0.859042665793137
34013,30830,0.8560122196824426
34013,30155,0.829901781865955
34010,33851,0.4224423010001736
34010,33320,0.3980143159474433
34010,33298,0.38428118543480594
34010,32798,0.3679270038084216
34010,33867,0.36789090265201535
34009,32812,0.315557833259251
34009,32592,0.3125302507985881
34009,32436,0.31041082838885503
34009,31542,0.29721121434612197
34009,30722,0.28375299317926805
34008,27601,0.48289390191313164
34008,31930,0.4771776578950079
34008,31950,0.467595921023618
34008,24406,0.4220170770360952
34008,27372,0.41788151539616536
34006,32191,0.2768219664760408
34006,31922,0.27324006830202213
34006,31872,0.2723845239767196
34006,30050,0.24774088049064164
34006,30548,0.22529902291398
34003,33032,0.47748997102876817
34003,32900,0.47505175710747455
34003,32255,0.4624289366499483
34003,31937,0.45593298619291733
34003,31187,0.43818843784867634
34002,33992,0.7772905635574446
34002,33841,0.771578349988904
34002,33765,0.7684880419149103
34002,33432,0.7561060280020058
34002,33281,0.7508729704750314
33996,33992,0.6776444256965979
33996,33983,0.6772485935372852
33996,33855,0.6732603881941837
33996,33841,0.6726644994443173
33996,33765,0.6699703588768016
33994,30392,0.4204298004987892
33994,33911,0.4153583082004152
33994,33506,0.4070522930870642
33994,33188,0.40048062687892216
33994,33193,0.38052337759063587
33992,33765,0.9886753782237525
33992,33432,0.972745667387903
33992,33065,0.9570957545583436
33992,32639,0.9404880943386178
33992,32238,0.9247380357037526
33991,33765,0.19774701762097904
33991,33432,0.1945608830425968
33991,33065,0.19143071144508658
33991,32639,0.18810897880113872
33991,32238,0.18495877683292983
33990,33814,0.29383331287484
33990,33711,0.29239868873164493
33990,33633,0.2911853518506428
33990,33185,0.2848364114052984
33990,33162,0.2846604298492394
33989,33982,0.4998320363381044
33989,32809,0.4740643173703619
33989,30837,0.4288743423814122
33989,33768,0.4120944446852126
33989,32807,0.3950500646220132
