pr,commenter,weight
19209,codesandbox[bot],1.0003641053681491
19209,sizebot,1.0003614739425637
19191,facebook-github-bot,0.7527829282017631
19191,codesandbox[bot],1.0037202032302994
19191,sizebot,1.0037172397735143
19188,codesandbox[bot],1.004174138757692
19188,sizebot,1.0041707959610537
19188,trueadm,1.0043394252926099
19188,mattgperry,1.0051959617915638
19188,bvaughn,1.0052013959682136
19188,sebmarkbage,1.0052228959014542
19186,codesandbox[bot],1.0043485261199994
19186,sizebot,1.004345456043068
19186,craigkovatch,1.1444472463380342
19184,codesandbox[bot],1.0045792642487155
19184,sizebot,1.004576343816226
19184,acdlite,0.31371515748070267
19184,rickhanlonii,0.5019623189847544
19174,sizebot,1.005789527399245
19174,codesandbox[bot],1.00578494761076
19142,codesandbox[bot],1.0105793051923617
19142,bvaughn,1.0105788560314373
19142,sizebot,1.0105767752273902
19138,codesandbox[bot],1.011063864406196
19138,sizebot,1.0110626034022236
19136,codesandbox[bot],1.0113717616190299
19136,sizebot,1.0113698351356817
19136,bvaughn,1.0049322754090637
19121,codesandbox[bot],1.0140898712810946
19121,sebmarkbage,1.0140125709206473
19121,acdlite,0.5068272081442879
19121,sizebot,1.011001022447011
19121,rickhanlonii,1.0018853848592055
19108,codesandbox[bot],1.0158639334667041
19108,sizebot,1.015858238934146
19108,acdlite,0.5047302684818
19108,bvaughn,0.315717573601718
19071,facebook-github-bot,1.0204919192472863
19071,codesandbox[bot],1.020492784724957
19071,gaearon,1.006822053583572
19062,facebook-github-bot,1.0222725124895948
19062,codesandbox[bot],1.0222734397473066
19062,sizebot,1.0222713394998748
19062,nathggns,1.0194133015861013
19062,mdestagnol,1.0094762548195046
19062,tcodes0,1.0087952559018247
19062,coolkev,1.003388741806837
19062,gaearon,0.5009400238813091
19062,krailler,1.0004030240549135
19059,codesandbox[bot],1.0225102529044556
19059,sizebot,1.0225010384597448
19055,facebook-github-bot,0.7675563504046757
19055,codesandbox[bot],1.0234296103982699
19055,sizebot,1.0234278558917262
19055,gaearon,1.0003680252978722
19054,codesandbox[bot],1.0240028823441167
19054,sizebot,1.0240002119581706
19054,charlie1404,1.0221166928503107
19054,heath-freenome,1.020702317234751
19054,eps1lon,1.0202574012634567
19054,gaearon,1.0006157107045057
19053,codesandbox[bot],1.0244212575991614
19053,sizebot,1.0244161330154085
19053,acdlite,1.0224669591840956
19048,codesandbox[bot],1.0246993802088389
19048,sizebot,1.0246959644384683
19048,adir1661,1.0082602750938792
19048,gaearon,1.0082636909330973
19028,codesandbox[bot],1.0261717861137933
19028,sizebot,1.0261688634108181
19028,sebmarkbage,1.0257761454545302
19028,bl00mber,0.3224773876557984
19028,gaearon,1.000521731317438
19028,bvaughn,1.0532083472882645
19028,stale[bot],1.1501892892904495
19019,codesandbox[bot],1.0264201159518305
19019,sizebot,1.026417388056005
19019,yisar,1.0262038433132445
19019,gaearon,1.0261948887914631
19009,codesandbox[bot],1.0269785561745424
19009,sizebot,1.0269756637772156
19009,kevinweber,1.0297725038726075
19009,gaearon,1.0510531149455782
18994,codesandbox[bot],1.0283341931859056
18994,sizebot,1.0283317073838458
18994,stale[bot],1.0515428495366028
18994,bl00mber,1.0841138373786712
18994,bvaughn,1.0854351064350682
18976,codesandbox[bot],1.0311698895345698
18976,sizebot,1.0311671864285512
