pr,committer,weight
19209,Brian Vaughn,0.9996343463369325
19191,Ittai Baratz,0.9964715434121781
19191,Brian Vaughn,1.0051641414141415
19188,Dominic Gannaway,0.995759462440497
19186,Dominic Gannaway,0.9956549148090096
19184,Rick Hanlon,0.9962279267168814
19174,Dominic Gannaway,0.9942186230117265
19142,Brian Vaughn,0.9896455575873679
19138,Rick Hanlon,0.9889419155636828
19136,Brian Vaughn,0.9794735483426216
19121,Rick Hanlon,0.9926124175785634
19108,Andrew Clark,0.9839759720045281
19071,@roadup,0.9802228054612214
19062,Fred Vollmer,0.9790808588761175
19059,Dominic Gannaway,0.9777407561607454
19055,MetinArslanturk,0.9768407403779171
19054,Shailendra Gupta,0.9855947586497155
19053,Andrew Clark,0.9770402419791787
19048,Brian Vaughn,0.9756152400441194
19028,Nick Reiley,1.0140533759933306
19019,Dan Abramov,0.9739167809561129
19009,Kevin Weber,0.9736172156188321
18994,Nick Reiley,1.0267375941527341
18994,Brian Vaughn,1.0819994303668872
18976,Dan Abramov,0.9692546816343511
18970,Dominic Gannaway,0.9691202841997562
18966,Brian Vaughn,0.9686207259375362
18963,Brian Vaughn,0.9688422479101358
18961,Andrew Clark,0.9680636828050622
18959,Sebastian Markbage,0.96792570097527
18954,Brian Vaughn,0.9676295824625566
18952,Damien Maillard,0.9751281511233019
18948,Nick Reiley,0.9666764629049112
18939,Ashesh Vidyut,0.9968508389691939
18933,Brian Vaughn,0.9670087413285151
18928,Hodaka Kasama,1.065536201937962
18921,Sophie Alpert,0.9634058617787066
18913,Nick Reiley,0.9634891812038004
18913,Brian Vaughn,0.9644993396609776
18912,Andrew Clark,0.9629874399526879
18907,Boris Sergeyev,0.9628642295802856
18898,Dominic Gannaway,0.9621508729536746
18891,Andrew Clark,0.9616043033302372
18889,Andrew Clark,0.9618107530041797
18886,Dominic Gannaway,0.9611585684430513
18880,Nick Reiley,0.9608463889372655
18865,Luna Ruan,0.956336977896784
18864,Andrew Clark,0.9587327069183211
18852,Nick Reiley,0.9583034820184604
18852,Brian Vaughn,0.9590439839003059
18845,Andrew Clark,0.9574366600632764
18838,Sebastian Markbage,0.9571043725690815
18832,Dan Abramov,0.9568327786666957
18830,Dominic Gannaway,0.9567308456330547
18814,Dan Abramov,0.9558194462585625
18810,Dan Abramov,0.9552912181259434
18808,Sebastian Markbage,0.9551339408815163
18805,Fernando Lores,0.956143438697318
18803,Dan Abramov,0.9543178885357406
18802,Nick Reiley,0.9566478383874666
18802,Brian Vaughn,0.9644879081247616
18800,Dan Abramov,0.9534637004020086
18799,Dominic Gannaway,0.9534508246981307
18796,Andrew Clark,0.9495123106060606
18794,Sophie Alpert,0.9529571033611982
18792,Brian Vaughn,0.9528407730320446
18789,Dan Abramov,0.9526916887989086
18784,Dan Abramov,0.9521747335555133
18781,Dominic Gannaway,0.9520995787617554
18778,Dominic Gannaway,0.9519058717563567
18774,Dan Abramov,0.9514633874666203
18773,Dan Abramov,0.951447938436085
18772,Nick Reiley,0.9580398566302392
18772,Brian Vaughn,0.9668492032392895
18771,Brian Vaughn,0.9610831033938523
18766,Dominic Gannaway,0.9509853201555788
18765,Pirate Praveen,0.9509558588761174
18756,Dominic Gannaway,0.950423206562754
18745,Nick Reiley,0.9494606535905027
18745,Brian Vaughn,0.9668840615203762
18737,Karl Horky,0.9491606317001432
18737,Brian Vaughn,0.9614334738670228
18733,Andrew Clark,0.9484807213659584
18732,Andrew Clark,0.9423254470591934
18730,Brian Vaughn,0.9496460247228029
18729,Luna Ruan,0.9473581540984558
18729,Andrew Clark,0.9474340386624869
18723,Dominic Gannaway,0.9474390456287008
18722,cyan33,0.9474251531115756
18721,Nicolas DUBIEN,0.9635217446253725
18713,Dominic Gannaway,0.9470743806600488
18711,Andrew Clark,0.9468615392430048
18708,Sebastian Markbage,0.9467893917624521
18697,Sebastian Markbage,0.946011742787066
18689,Dominic Gannaway,0.9455998109688842
18685,Sebastian Markbage,0.9452316102838733
18684,Sebastian Markbage,0.9451710985574132
18680,Dominic Gannaway,0.9449514451265529
18676,Sebastian Silbermann,0.9447355741321258
18674,Nicolas DUBIEN,0.943454457469813
18668,Dominic Gannaway,0.943823801351639
18664,Andrew Clark,0.942867159381168
18659,Theodore Han,0.9427442952029877
18656,Brian Vaughn,0.9440380456867525
18647,Dan Abramov,0.9420042922036457
18627,BetaSu,0.9397630489521653
18625,Naman Goel,0.9417988130829366
18617,Brian Vaughn,0.9421391144442509
18612,Andrew Clark,0.9495123106060606
18609,Dominic Gannaway,0.9402733966823407
18607,Brian Vaughn,0.9421546671818761
18597,Andrew Clark,0.9396403873505167
18596,Andrew Clark,0.9396648734108325
18586,ChrisDobby,0.9379755892255892
18586,Brian Vaughn,0.9395054169569257
18585,Andrew Clark,0.9393144628758853
18581,Andrew Clark,0.9389103294982875
18576,Luna Ruan,0.9374082419017764
18574,Andrew Clark,0.9372635160876002
18569,Brian Vaughn,0.9370029996444329
18567,Sebastian Markbage,0.9365024889701614
18566,Sebastian Markbage,0.9365137546441425
18564,Dominic Gannaway,0.9364423872344131
18561,Sebastian Markbage,0.9360008298582893
18559,Sebastian Markbage,0.9351734296992917
18550,Andrew Clark,0.9355867946708464
18549,Sebastian Markbage,0.935811234350207
18547,Sebastian Markbage,0.9356419771227601
18545,Brian Vaughn,1.087136038002148
18538,Sophie Alpert,0.9351499640804598
18535,Andrew Clark,0.9349202468289214
18531,Brian Vaughn,0.9350052598756327
18529,Dominic Gannaway,0.9348263027182747
18521,Dominic Gannaway,0.9346911161422655
18513,Brian Vaughn,0.9344707196788286
18498,Dominik,0.9336364482952128
18496,Sophie Alpert,0.9328025314205272
18495,Sebastian Markbage,0.932718316166592
18491,jddxf,0.9323516459494369
18487,Sebastian Markbage,0.931847340744611
18485,Sebastian Markbage,0.9305411801806377
18483,Nicolas Gallagher,0.9316407247765006
18479,Hristo Kanchev,0.9314267041826308
18479,Brian Vaughn,0.9316120118207942
18476,Sebastian Markbage,0.9296445792593422
18466,Dominic Gannaway,0.930680738781493
18464,Dominic Gannaway,0.9307045254992454
