pr1,pr2,weight
19209,18239,0.6093348161002666
19209,18581,0.40491385155735493
19209,17631,0.3431600254447955
19209,19184,0.33193462192504153
19209,12020,0.33017530299197934
19191,18772,0.4381963948395815
19191,18107,0.2836500425362605
19191,18329,0.26979556084064327
19191,17848,0.2679975041266469
19191,18023,0.2625382434471374
19188,18970,0.4567072044033392
19188,19071,0.4543806138809967
19188,18959,0.443659379645279
19188,18889,0.44281852337957334
19188,18933,0.4409180048345782
19186,18886,0.6346488139663288
19186,18346,0.6300777945791245
19186,18723,0.6260011005020357
19186,18766,0.6039569965808631
19186,18215,0.601979338635324
19184,18239,0.2447609763498823
19184,18364,0.1857516173885535
19184,17901,0.17750561648601537
19184,17631,0.17230301931881076
19184,18581,0.1626480336033537
19174,19055,0.3343159770248794
19174,18970,0.3251104221664622
19174,19071,0.3209048108452851
19174,19053,0.3206969625045574
19174,18959,0.3124136299566298
19142,18970,0.6525872197381584
19142,19071,0.6507595012078696
19142,18566,0.6401836269731837
19142,18959,0.6377051953252584
19142,18647,0.6351930915556466
19138,18954,0.3868774847721502
19138,18479,0.3843450612241327
19138,18948,0.37720293121876886
19138,18737,0.37555701043406603
19138,18880,0.374678793036724
19136,18248,0.3882940155139474
19136,18954,0.3767078696759287
19136,18948,0.35269553887615446
19136,18479,0.35250378139176214
19136,18802,0.35156417798858813
19121,19071,0.41712851475440804
19121,18970,0.416789316627632
19121,18566,0.4074246658631354
19121,18959,0.4066080911148394
19121,18647,0.4056801704794256
19108,19071,0.5204064638577195
19108,18970,0.5189761830383018
19108,18959,0.5052057569982908
19108,18647,0.5011490569626337
19108,18566,0.49840540804835626
19071,18970,0.7420245888659824
19071,18959,0.724749698436626
19071,18647,0.7222465876687039
19071,18566,0.7182924924976838
19071,18529,0.717058246150536
19062,18907,0.7387533113201019
19062,18455,0.7149475126727296
19062,16784,0.6111489759935181
19062,18722,0.6061870665340949
19062,16356,0.5949674225180605
19059,16883,0.4793908189934316
19059,18513,0.41483301318270793
19059,18074,0.39552169712671637
19059,18034,0.38717987155495165
19059,17990,0.38297884462754855
19055,18627,0.7721568864010122
19055,18012,0.7335669211885256
19055,18676,0.677868740758776
19055,16458,0.6395207717300638
19055,16266,0.6299961191838559
19054,18970,0.44674606189416344
19054,18959,0.444425949429198
19054,18733,0.4411369910814466
19054,18889,0.44061556839188415
19054,18933,0.439288297105254
19053,18970,0.6897046114714521
19053,18566,0.6676458595773733
19053,18647,0.6511815178645737
19053,18959,0.6430274163030393
19053,18889,0.6297079857215502
19048,18954,0.4056863423540136
19048,17613,0.4026114416945775
19048,18802,0.4017826178022433
19048,18248,0.3960405494323992
19048,18913,0.39588555675616066
19028,16205,0.36675758956476273
19028,17613,0.34430887207704725
19028,17274,0.33354213327956167
19028,16627,0.3166977147644191
19028,17759,0.30467700213792964
19019,18347,0.9474302811869982
19019,17370,0.8584394165628663
19019,16254,0.7892498760639147
19019,14223,0.6443214817636833
19019,11262,0.4739401798755998
19009,18794,0.6776872074563681
19009,16738,0.6529226166609414
19009,17824,0.6182971112800772
19009,17852,0.6088258409871253
19009,17840,0.6081311980673252
18994,18378,0.20976668073723015
18994,18656,0.20410018398502983
18994,17759,0.19063820060830025
18994,16798,0.1888656118720528
18994,17613,0.1879336155011341
18976,18970,0.44987287095205075
18976,18959,0.44033388773079285
18976,18647,0.43788191227787704
18976,18566,0.4354846330322888
18976,18529,0.4347363371456227
18970,18566,0.7865138957811204
18970,18647,0.7604264805813403
18970,18959,0.7464132889565375
18970,18889,0.7298300008978799
18970,18529,0.7247653146303393
18966,18674,0.6240935120653592
18966,18961,0.614657151477316
18966,18566,0.6100947495124621
18966,18959,0.5973695173231705
18966,18711,0.594912941760507
18963,18479,0.5603911605464158
18963,18954,0.5463800634529865
18963,18046,0.5440027237068131
18963,18737,0.5439223351301818
18963,17567,0.5284564232571031
18961,18566,0.7145965900333645
18961,18889,0.6953479335242785
18961,18617,0.693534062564627
18961,18959,0.6915798235536991
18961,18647,0.6880841389625363
18959,18566,0.7375670531607802
18959,18647,0.728093907956627
18959,18733,0.7153110772596981
18959,18889,0.7147528956345932
18959,18529,0.7094274358607601
18954,18479,0.7328718901228827
18954,18948,0.7136193886678767
18954,18248,0.7127444816747934
18954,18880,0.7088440441588498
18954,18046,0.7082225943428214
18952,18041,0.23322613300390907
18952,18939,0.23295652718378007
18952,16953,0.18520054918453546
18952,16752,0.18258140835650982
18952,18107,0.16004562243926065
18948,18880,0.9223576841817964
18948,18852,0.8495599298830804
18948,18745,0.8425117210719211
18948,18586,0.8339005574329984
18948,18345,0.8179553950115186
18939,16953,0.6260628720987232
18939,16752,0.6172089737898641
18939,18107,0.46791582477202953
18939,18041,0.46505372397945616
18939,17848,0.44663709907640925
18933,18921,0.7657441670320295
18933,18912,0.7654360668468101
18933,18889,0.7171360825863065
18933,18296,0.6975569314126782
18933,18647,0.6843547864424563
18928,18491,0.33095478191706534
18928,18674,0.32647225227203086
18928,18296,0.31718486371068527
18928,16104,0.3138569013736557
18928,18711,0.30793160993151125
18921,18912,0.7663581953100809
18921,18889,0.7180000235768529
18921,18296,0.6983972852045468
18921,18647,0.6851792354786169
18921,18733,0.6849392917717684
18913,18880,0.7121170407221099
18913,18852,0.6821491901701194
18913,18745,0.6764898720177862
18913,18586,0.6695755884033014
18913,18345,0.6567725132459781
18912,18889,0.7182890300005549
18912,18296,0.6986784012144247
18912,18647,0.6854550310133496
18912,18733,0.6852149907253445
18912,18810,0.6836352186822695
18907,18455,0.7258317848300068
18907,16784,0.6204530321171452
18907,18722,0.6154155831642363
18907,16356,0.6040251326808548
18907,15184,0.5401838271727921
18898,18513,0.3608283052445774
18898,18210,0.35231796802417853
18898,18346,0.34639125755519135
18898,18073,0.3447402770405259
18898,18084,0.34458252677795626
18891,18865,0.3687402683072452
18891,18545,0.36184317530629456
18891,18596,0.355800522709491
18891,18030,0.3540409995178782
18891,18697,0.35279097457680725
18889,18647,0.731510807986949
18889,18566,0.7275059938378827
18889,18733,0.7086460165595636
18889,18529,0.7059694377784108
18889,18521,0.7058492211760645
18886,18723,0.8219783481378626
18886,18215,0.7904362819614208
18886,18201,0.7895991368915378
18886,18346,0.7516858178596431
18886,18287,0.707451217502135
18880,18852,0.8552832499556507
18880,18745,0.8481875587320733
18880,18586,0.8395183833579343
18880,18345,0.8234658014773473
18880,18048,0.7619904937493931
18865,18513,0.46065437371681145
18865,18074,0.45342043239320606
18865,16883,0.45339913830952255
18865,18034,0.4472070138057826
18865,18545,0.44623574450215964
18864,18647,0.7008737839354248
18864,18566,0.6970366988015255
18864,18733,0.6806753379408779
18864,18529,0.6805793497378898
18864,18521,0.6804634567081432
18852,18745,0.8500317380497426
18852,18586,0.8413437136442052
18852,18345,0.8252562292951787
18852,18048,0.7636472583344976
18852,17934,0.755989688993104
18845,18569,0.5347981224258863
18845,17929,0.4686389294671083
18845,16810,0.4168926698537943
18845,16338,0.40435013538716047
18845,14225,0.3366491434157275
18838,18566,0.6759383312416987
18838,18647,0.6550339369700298
18838,18733,0.631671584527392
18838,18529,0.6258799882265644
18838,18521,0.6257734097238211
18832,18803,0.657582404656502
18832,18773,0.52871929904742
18832,18784,0.41236191282403833
18832,18789,0.30944623858635206
18832,18293,0.16431874462042032
18830,18627,0.6556212106571392
18830,18766,0.6472502788950637
18830,18346,0.6435144932524324
18830,18713,0.6368220184443977
18830,18723,0.6284437606103093
18814,18647,0.369859223074168
18814,18566,0.36783434875439386
18814,18529,0.3672022967615813
18814,18521,0.3671397674081444
18814,18733,0.36446231959534514
18810,18647,0.6907226863008488
18810,18733,0.6904808013265614
18810,18566,0.6869411755467002
18810,18529,0.685760800357652
18810,18521,0.6856440250002078
18808,18356,0.20931533692767995
18808,18772,0.2092083993667004
18808,18329,0.20241363368721943
18808,18165,0.20045394501958674
18808,18023,0.19696884438133208
18805,18733,0.5609515193875548
18805,18647,0.559682301243733
18805,18566,0.5566181994225023
18805,18529,0.5556617589938905
18805,18521,0.5555671376616552
18803,18773,0.5556935051789306
18803,18784,0.4205779729073863
18803,18789,0.31908002768197447
18803,18293,0.16480386893082907
18803,18485,0.15607412051167546
18802,18479,0.6145116532744481
18802,18046,0.5963042207425301
18802,18248,0.5901266495603558
18802,18286,0.5828648090364267
18802,18737,0.572114984880717
18800,18153,0.951182634852273
18800,15079,0.720797056378385
18800,18126,0.6330507685501489
18800,15771,0.5117491670113921
18800,16659,0.5063901606396617
18799,18346,0.4766031311571248
18799,18766,0.4741272183217413
18799,18680,0.4740139552278597
18799,18723,0.47333477939498375
18799,18713,0.46462845139149933
18796,18647,0.6843533839092775
18796,18566,0.680606743278795
18796,18733,0.6774993200404864
18796,18529,0.6750537864374414
18796,18521,0.674938834332911
18794,17824,0.5775077001357647
18794,16738,0.5761507485454497
18794,17852,0.5753563101618939
18794,17840,0.5746998544724176
18794,17414,0.5542093124949418
18792,18733,0.5618613888947996
18792,18647,0.5605901120652494
18792,18566,0.5575210402373109
18792,18529,0.5565630484518501
18792,18521,0.5564682736427778
18789,18784,0.3706238522339689
18789,18773,0.3204339199032005
18789,18774,0.19576692751786934
18789,18301,0.19254005091598886
18789,17427,0.17632279566697506
18784,18773,0.42748671072490774
18784,18774,0.18921507472989624
18784,18485,0.1288223062978095
18784,18293,0.11005689641152899
18784,13588,0.10411950943141066
18781,18647,0.40426103478193093
18781,18566,0.40204782030261776
18781,18529,0.4013569790940989
18781,18521,0.4012886336817161
18781,18733,0.396211061718317
18778,18647,0.43733831586316385
18778,18566,0.4349440126537315
18778,18529,0.4341966457183414
18778,18521,0.4341227081755735
18778,18733,0.43147881834477075
18774,18023,0.2296912657094703
18774,18301,0.20048005286864784
18774,18035,0.19774769801604855
18774,17427,0.1933033270014007
18774,18772,0.19130524275341423
18773,18485,0.16961048248212002
18773,13421,0.16559354799202258
18773,18293,0.1651977478886098
18773,13178,0.16066889985788166
18773,13786,0.1563225399722338
18772,18107,0.4351379065931318
18772,18329,0.3225071815152584
18772,18023,0.3138319573171713
18772,18143,0.29482664068587544
18772,18094,0.2897983458903809
18771,18647,0.6770178116998964
18771,18566,0.6733113312462085
18771,18277,0.6580449272303647
18771,18529,0.6557603671232218
18771,18521,0.6556487004149053
18766,18346,0.7189775798703945
18766,18723,0.6809121263765853
18766,18713,0.6787369988286235
18766,18270,0.6689161368260327
18766,18215,0.6547832442726128
18765,18737,0.397103337058942
18765,18745,0.3922651485524718
18765,18248,0.3890523893347888
18765,18586,0.38825587568474895
18765,18479,0.3881502255530446
18756,18627,0.3800423431037318
18756,18346,0.3739809464398285
18756,18723,0.37299173776465316
18756,18012,0.36693341032499016
18756,18676,0.3626543448689256
18745,18586,0.8483821512438341
18745,18345,0.832160083664566
18745,17934,0.7813719315561298
18745,18048,0.7804415978853052
18745,18286,0.7352460986501224
18737,18479,0.6593137839476831
18737,18046,0.6378955859678945
18737,17567,0.6232427674657772
18737,18286,0.6076262169454586
18737,18248,0.5995800994689479
18733,18566,0.7375504242221649
18733,18647,0.7327395921202828
18733,18529,0.7186686589389427
18733,18521,0.7185462798389887
18733,18617,0.7072490025479717
18732,18647,0.6806938008474163
18732,18566,0.6769671953959974
18732,18529,0.6675824992076973
18732,18521,0.6674688193576277
18732,18309,0.6547348545660487
18730,18647,0.4854461431164648
18730,18566,0.4827884632006856
18730,18529,0.4819588848556879
18730,18521,0.4818768140796636
18730,18309,0.4726835720788253
18729,18647,0.6744016389724362
18729,18566,0.6707094813222398
18729,18529,0.6695569971518418
18729,18521,0.6694429810727207
18729,18309,0.6566713532397478
18723,18215,0.8013555382897266
18723,18201,0.8005068287183011
18723,18346,0.7620697669658181
18723,18287,0.7172241003517295
18723,18270,0.6954419790362805
18722,17255,0.6547062046858783
18722,16853,0.6341368879468957
18722,16712,0.6276632921435845
18722,16455,0.61739264147373
18722,18455,0.6142798432054134
18721,17901,0.23280164055232008
18721,18674,0.19921459804459588
18721,18296,0.19354739856207817
18721,18711,0.17990523981595108
18721,17949,0.17804572821183617
18713,18346,0.7229557855046933
18713,18270,0.6682035912833366
18713,18680,0.6641642050754153
18713,17678,0.6585067629328146
18713,18215,0.656492207001402
18711,18674,0.757414209846833
18711,18296,0.6971376397737725
18711,18535,0.6818359005925997
18711,18491,0.6800916878569765
18711,18412,0.6761291230793212
18708,18559,0.5030419502058121
18708,18674,0.4983347203268728
18708,18296,0.4841582377955833
18708,17949,0.4735101730558363
18708,18241,0.45777561474393125
18697,18566,0.6810003660262148
18697,18647,0.6743741860152245
18697,18529,0.6592292838460158
18697,18521,0.6591170264302832
18697,18309,0.6465423970773032
18689,18627,0.371536669830337
18689,18346,0.3712159923155792
18689,18676,0.3594422773982253
18689,18270,0.35780707140745144
18689,18012,0.3561219542729275
18685,18566,0.4708715802048117
18685,18647,0.4672338744293205
18685,18529,0.45769241348288836
18685,18521,0.45761447494345
18685,18278,0.4541628020880484
18684,17824,0.29679472017502767
18684,16738,0.2903292207872037
18684,17414,0.2848211336085425
18684,16302,0.26204042765436036
18684,17852,0.25513742656916993
18680,18346,0.6633435410254703
18680,18215,0.6342647523029656
18680,18201,0.6335930073154082
18680,18287,0.621680195416679
18680,18270,0.6081826265826221
18676,18627,0.7973664929226356
18676,18012,0.6628270522181546
18676,16458,0.6604000351306197
18676,15894,0.6274180601217169
18676,18360,0.6184288162886519
18674,18296,0.7772418305158579
18674,17949,0.7149906882706623
18674,18241,0.7091030096116623
18674,18597,0.6974222988576414
18674,18535,0.6940790840759682
18668,18566,0.3986103511994541
18668,18647,0.3918865485069881
18668,18617,0.3826157495968843
18668,18529,0.3802173561171429
18668,18521,0.3801526104833244
18664,18239,0.18810330767142483
18664,18153,0.18692263352939967
18664,18126,0.1866069340620094
18664,18569,0.1757972304247189
18664,18015,0.17136741742136355
18659,18647,0.46635485805190724
18659,18566,0.46380169750578815
18659,18529,0.463004744235461
18659,18521,0.4629259010812909
18659,18309,0.4540942044469039
18656,17613,0.4391589883356897
18656,17274,0.4254262312055733
18656,17759,0.40758235001694926
18656,16627,0.40394151676999046
18656,17841,0.3972975648422269
18647,18566,0.8080517930007479
18647,18529,0.7446122886489692
18647,18521,0.7444854917161045
18647,18617,0.7430650245888867
18647,18309,0.7302822034659089
18627,16458,0.8282264692488088
18627,15894,0.786862836212246
18627,18012,0.7600185238081836
18627,16266,0.652713074536175
18627,18270,0.6413405672003651
18625,17367,0.5559264541737357
18625,18080,0.5467421121659342
18625,17266,0.5330207520469388
18625,17554,0.5078843909460232
18625,16936,0.4677665989174545
18617,18566,0.7714675974972183
18617,18529,0.7080337558474368
18617,18521,0.7079131877209436
18617,18309,0.6944076255935494
18617,18278,0.6932059259052527
18612,18566,0.6892735749617456
18612,18529,0.6836499068869786
18612,18521,0.6835334909848124
18612,18309,0.6704930445165529
18612,18278,0.6693327299507218
18609,18566,0.5825237583922888
18609,18529,0.5815228042845516
18609,18521,0.5814237791823631
18609,18309,0.5703313809783236
18609,18278,0.569344400107885
18607,18566,0.44310536350335783
18607,18277,0.4330585616942912
18607,18529,0.4292568730802626
18607,18521,0.42918377671085334
18607,18278,0.42667377540009127
18597,18296,0.6500954565742438
18597,17949,0.6043227982263839
18597,18241,0.6038869311451702
18597,18535,0.5971237959091793
18597,18491,0.5955962862420243
18596,18566,0.46795670535392586
18596,18535,0.4589347371959538
18596,18296,0.455100577388933
18596,18412,0.45509358064198563
18596,18409,0.4549447215810387
18586,17068,0.8651892227767588
18586,18345,0.8407532745316808
18586,18048,0.7885007246602054
18586,17934,0.7701860149253071
18586,18286,0.742838520089251
18585,18080,0.32953864954538914
18585,17554,0.31659812319714786
18585,17266,0.31399456204445003
18585,17367,0.30538420955902945
18585,18064,0.30109440868370635
18581,18239,0.4184494618910295
18581,18153,0.25485923756887296
18581,18126,0.2544287978514306
18581,17631,0.24579469048826033
18581,11612,0.24534349468424474
18576,18360,0.4535586884928568
18576,18012,0.3974307583718438
18576,18346,0.39306376790397896
18576,17933,0.38593762071931825
18576,18195,0.3850951994902163
18574,18239,0.3242739740032726
18574,18301,0.2932997264235153
18574,17307,0.2213875590614453
18574,18149,0.21747752449360438
18574,18360,0.2131489317696928
18569,17929,0.4973646707909364
18569,16810,0.47794069189511246
18569,16338,0.4201025921983217
18569,14225,0.35269785710908297
18569,14280,0.3525075316661893
18567,18566,0.6499906904656287
18567,18529,0.5656848578372892
18567,18521,0.5655885297131966
18567,18309,0.5547982362717441
18567,18278,0.5538381361187175
18566,18529,0.7487112704503677
18566,18521,0.7485837755189226
18566,18309,0.7343023002431501
18566,18278,0.7330315612523974
18566,18277,0.7329947863929593
18564,18529,0.6275362085006523
18564,18521,0.6274293479670396
18564,18309,0.6154592558900722
18564,18278,0.6143941794584443
18564,18277,0.6143633564205513
18561,18301,0.2935668086378171
18561,18380,0.2559521452356475
18561,17427,0.2553982621247229
18561,18149,0.255298498771356
18561,18035,0.24989362244103816
18559,18535,0.5326049185229715
18559,18529,0.5325181407660801
18559,18521,0.532427460464434
18559,18491,0.5312424553831809
18559,18432,0.5287563186891688
18550,18239,0.21649035360888635
18550,18153,0.21513150157343794
18550,18126,0.21476815926874626
18550,16810,0.18932994211237883
18550,18015,0.18585023114721072
18549,18296,0.5323362811198105
18549,18241,0.5004340104325826
18549,17949,0.500125761741979
18549,18412,0.49981883712914305
18549,18535,0.49809031328364356
18547,18296,0.5461355141294744
18547,18241,0.5181080824945833
18547,18491,0.5177387343163968
18547,18412,0.5147221215430593
18547,17949,0.5139822654921602
18545,18513,0.498624910359656
18545,16883,0.49142766435640406
18545,18074,0.4766626465798355
18545,18034,0.46703138040630654
18545,18030,0.46446852419967355
18538,18296,0.391861476853134
18538,17949,0.3604763614640065
18538,18241,0.3575079745810963
18538,18535,0.34993337242073497
18538,18491,0.34903820359159976
18535,18309,0.7844761405282856
18535,18409,0.7434794395179793
18535,18529,0.7373798385191691
18535,18307,0.7353857654724725
18535,18096,0.7233068519609988
18531,18529,0.4916552677871375
18531,18521,0.4915715458543504
18531,18278,0.4854382059533944
18531,18309,0.48219334783833623
18531,18277,0.4813347443986357
18529,18521,0.8748509998855134
18529,18309,0.8581605995142407
18529,17998,0.8346564587073786
18529,17469,0.7885422484865254
18529,16807,0.7462012937297429
18521,17998,0.9540555578225379
18521,16807,0.8529467233019038
18521,18487,0.7408060692398516
18521,18309,0.7356915060049165
18521,17947,0.7355251958596015
18513,16883,0.5580011084343544
18513,18074,0.5351314825106855
18513,18034,0.5236156443632383
18513,18210,0.5228803923123078
18513,18084,0.5117408574044361
18498,17841,0.5694213638772105
18498,17613,0.5233156971064522
18498,17274,0.506951310718789
18498,16627,0.4813494475880821
18498,17759,0.46449097069661277
18496,18455,0.498652319664902
18496,16784,0.4262562623663513
18496,16356,0.41497016229146055
18496,17255,0.3875295666233381
18496,16853,0.37535430641571477
18495,18309,0.38552044360142645
18495,18278,0.38076490056263423
18495,18277,0.37665761862823854
18495,17998,0.37496143309050206
18495,18487,0.36861715336887285
18491,18432,0.7216071064447238
18491,18296,0.6876472320301644
18491,18412,0.68349427057663
18491,18409,0.6832707026784913
18491,18384,0.6818706972103377
18487,17998,0.710689241903167
18487,18309,0.6955725092526966
18487,18278,0.6943687936874445
18487,18277,0.6943339584686956
18487,18297,0.6687160671923834
18485,18273,0.13261628976836926
18485,18293,0.12168943837119058
18485,13421,0.11549984887466065
18485,13786,0.11257488222354904
18485,13178,0.11206495589633304
18483,17834,0.4521434288776669
18483,18012,0.43702766554220307
18483,18360,0.4176994050269763
18483,18346,0.41729095836367913
18483,18292,0.40587653039549737
18479,18046,0.7917335848954794
18479,17567,0.7834389271337097
18479,18286,0.7467201477367232
18479,18248,0.7293260196499609
18479,18048,0.7205193521737603
18476,18374,0.2642253959260434
18476,18356,0.2526676453170802
18476,18334,0.23741374366128115
18476,18260,0.21226788402300234
18476,18165,0.2104195725394796
18466,18346,0.6815145256707653
18466,18270,0.6286171014417363
18466,17678,0.6281787662123982
18466,17933,0.6132120498179886
18466,17582,0.610420184275151
18464,18346,0.589955849801296
18464,18215,0.5596035789445772
18464,18201,0.5590109070393354
18464,18351,0.5460063110837842
18464,18287,0.5427225827853768
18461,18080,0.42610243756084404
18461,17554,0.41595480037245763
18461,17266,0.4094764122074491
18461,17367,0.39487008963958015
18461,16936,0.38811402571450215
18455,16784,0.6411124227590057
18455,16356,0.6241375191591262
18455,15184,0.5581704726178109
18455,17255,0.555109887964425
18455,15087,0.553888508285205
18446,18360,0.4003355640374264
18446,17307,0.3967355022335099
18446,17933,0.38644364646721363
18446,18195,0.3864312350411006
18446,18149,0.3807070669213661
18441,18346,0.443191994369991
18441,18270,0.42580794966826524
18441,18215,0.42039048564831594
18441,18201,0.41994525327409743
18441,18012,0.40881531522875897
18432,18412,0.715841028118749
18432,18384,0.697532696859864
18432,18309,0.6914127673253112
18432,18278,0.6902162503569541
18432,18277,0.6901816234637472
18417,18309,0.4604473412095235
18417,17998,0.44783615963341766
18417,18278,0.4466660410511287
18417,18277,0.4466436326287042
18417,18297,0.4323700003428998
18412,18384,0.74198329507918
18412,18296,0.6916773005601
18412,18409,0.6872751218458045
18412,18241,0.680211630154873
18412,18307,0.6797932998610402
18409,18309,0.7913562556318496
18409,18307,0.7912910312077986
18409,18096,0.7782938583264023
18409,17469,0.7271574126370282
18409,18241,0.7132262066163656
18405,18274,0.38450282743934794
18405,18216,0.3791335733372603
18405,18289,0.37706986497942213
18405,18346,0.37544678140874627
18405,18355,0.3752755172493197
18397,16798,0.33752743098491167
18397,18248,0.336555175274485
18397,18286,0.32430743356571484
18397,18046,0.3232402206874977
18397,18070,0.32116455597398247
18395,16883,0.4475251189075574
18395,18210,0.43799453146389367
18395,18084,0.42623987368953054
18395,18336,0.4202345293249988
18395,18073,0.4196721602340134
18391,18309,0.430571766110536
18391,18278,0.4203172057035131
18391,17998,0.4187788459696557
18391,18277,0.4107871571823924
18391,18297,0.39692890642988904
18388,17265,0.44046477778319
18388,18136,0.4212207674079184
18388,16898,0.4202619639218353
18388,17224,0.38116195000683073
18388,18036,0.3762296174219253
18384,18296,0.6933242240132602
18384,18297,0.6902354627017953
18384,18241,0.6818312531870401
18384,18307,0.6814119268247062
18384,18184,0.6740069425211137
18380,18360,0.44866194543619775
18380,18301,0.44588060300444377
18380,18012,0.4350749197505763
18380,17427,0.4026538100470909
18380,18346,0.39842064187079373
18378,17759,0.4923464130544396
18378,17613,0.4853614920256806
18378,17274,0.47018395571802185
18378,16798,0.46319491873133206
18378,17283,0.4565017665889003
18375,18346,0.564583976275376
18375,18215,0.5439987975394766
18375,18201,0.5434226525398413
18375,18270,0.5313381109903881
18375,18287,0.5211249344926802
18374,18356,0.3205722866139132
18374,18296,0.2832427768697853
18374,18307,0.27989467871582474
18374,18241,0.27955436799454675
18374,18297,0.27793456641102304
18371,18329,0.215974894447661
18371,18356,0.2119865376590881
18371,18165,0.208136896823327
18371,18023,0.20177966789943036
18371,18217,0.20083545884995152
18370,18346,0.6504179942067965
18370,18215,0.6217935643397005
18370,18201,0.6211350274927074
18370,17678,0.6104559396463203
18370,18270,0.6023974371645711
18364,17984,0.4827247934268162
18364,17631,0.18551980514752553
18364,11605,0.17097541209828854
18364,18234,0.08232028653094213
18364,17071,0.08007834584461378
18362,18309,0.4224262729876283
18362,18278,0.42169524771966166
18362,18277,0.4216740920364956
18362,18297,0.41589755819566854
18362,17998,0.4108564495694482
18360,17933,0.6085646530138357
18360,18195,0.6077950213043838
18360,15173,0.6004295055386203
18360,17307,0.6001100302973981
18360,18346,0.5994132910053762
18356,18273,0.3002639427096954
18356,17372,0.2671801237370718
18356,17285,0.25752502447413333
18356,18165,0.2531547633950029
18356,18334,0.2504505659643541
18355,18346,0.5737104253432429
18355,18215,0.5451370202075744
18355,18201,0.5445596697249458
18355,18351,0.5373357137736562
18355,18270,0.5335903185535862
18351,18346,0.6944160490360514
18351,18215,0.6671820881272802
18351,18201,0.6664754806390661
18351,17678,0.6522041205665277
18351,18287,0.6405687008568417
18349,18346,0.6199875041169868
18349,18270,0.5837795185485939
18349,18012,0.5823876981540206
18349,17678,0.5714668884276423
18349,18215,0.5634098901438752
18347,17370,0.906071331694572
18347,16254,0.8330426963713832
18347,14223,0.6800727130617339
18347,11262,0.5002375259547528
18347,10730,0.4887226043030857
18346,18215,0.7742923552043612
18346,18201,0.7734723080448369
18346,18270,0.7479412150375427
18346,17678,0.7454066170107623
18346,17582,0.7404303209885903
18345,18048,0.7931534105682208
18345,17934,0.7851999645582983
18345,18286,0.7573193596655802
18345,17068,0.7560472782592277
18345,18248,0.7082420039671896
18336,18210,0.47900470414830765
18336,16883,0.4704383015355768
18336,18084,0.46801169244611773
18336,18074,0.4588183286020294
18336,18034,0.44983725647712985
18334,18260,0.22074415067943579
18334,18165,0.19721566423089595
18334,18240,0.18663218451477337
18334,18329,0.18594476376279978
18334,18309,0.1840233453667837
18333,17678,0.5442644372536727
18333,18270,0.5318926273003106
18333,18287,0.5308680937617147
18333,18215,0.527894332158506
18333,18201,0.5273352432759851
18330,18307,0.6330216507109471
18330,18309,0.6280889960273137
18330,18096,0.6226240959460472
18330,18241,0.6147231347125665
18330,18296,0.597719459574608
18329,14770,0.3466448639290076
18329,18217,0.34615973282884477
18329,16325,0.3441559036419486
18329,18143,0.33820970134882256
18329,18023,0.3243668930023742
18309,17469,0.9188749156426868
18309,18307,0.7999340631493472
18309,18096,0.7867949260905074
18309,17947,0.7498304552819108
18309,18278,0.7487020955228536
18307,18096,0.7868597799102481
18307,17469,0.7351605252263465
18307,18241,0.7210759920053407
18307,17947,0.7136071527382659
18307,18296,0.6995187275783297
18304,18270,0.35750543993951
18304,18215,0.3573064001287666
18304,18201,0.35692797963095846
18304,17998,0.35403384565073276
18304,17678,0.35371610025794664
18301,17427,0.6410404296648757
18301,16017,0.5553942718591789
18301,18035,0.5216063271098567
18301,16285,0.503853974151887
18301,15170,0.503463417172246
18299,18023,0.46665024157148677
18299,17427,0.4019395060516367
18299,16285,0.3919033234702171
18299,15406,0.36953099055682725
18299,16017,0.3652873109450686
18297,18278,0.7118083772470161
18297,18277,0.7117726671160971
18297,18296,0.6999934728331716
18297,17998,0.6935128252711963
18297,17947,0.6898849692920177
18296,17949,0.7359261019660979
