pr1,pr2,weight
19209,19188,0.996205578206215
19209,19186,0.9960326589304537
19209,19174,0.9946031824921764
19209,19138,0.9894155761841783
19209,19019,0.9746144428582979
19191,19188,0.16659131918671413
19191,19186,0.1665624026147815
19191,19174,0.16632335721008928
19191,19138,0.16545585536390728
19191,19019,0.16298072334280705
19188,19142,0.993661201408008
19188,19138,0.9931841357139729
19188,19048,0.9799695706077833
19188,19019,0.9783266267322108
19188,18966,0.9731558203285086
19186,19142,0.9938337089796814
19186,19138,0.9933565604632072
19186,19048,0.9801397012022957
19186,19019,0.9784964720984604
19186,18966,0.9733247680012032
19184,19174,0.07134244694704775
19184,19142,0.07100443210551484
19184,19048,0.0700260639573062
19184,19019,0.06990866348247539
19184,18966,0.0695391711729214
19174,19142,0.9952620795052939
19174,19138,0.9947842452152631
19174,19048,0.9815483902490953
19174,19019,0.9799027994422934
19174,18966,0.9747236624016444
19142,19138,0.9995198909916589
19142,19019,0.9845676024644334
19142,18961,0.9788178372042082
19142,18959,0.9786949404504572
19142,18948,0.9774640106868994
19138,19048,0.9866947481025862
19138,19019,0.9850405292961295
19138,18966,0.9798342375142082
19138,18961,0.9792880021958228
19138,18959,0.9791650464098913
19136,19019,0.19706803777184392
19136,18961,0.19591718235608063
19136,18959,0.19589258371800883
19136,18948,0.19564620458413104
19136,18921,0.19500666691942237
19121,19048,0.032988239149212575
19121,19019,0.03293293352840386
19121,18966,0.03275887118671929
19121,18961,0.03274060886055479
19121,18959,0.0327364980705877
19108,19048,0.19827551720799744
19108,19019,0.19794310326735765
19108,18966,0.1968969031149992
19108,18959,0.19676242970001998
19108,18954,0.1966984478392072
19071,19048,0.4979474769844314
19071,19019,0.4971126553917967
19071,18966,0.4944852370719589
19071,18961,0.4942095727906269
19071,18959,0.49414752166133596
19062,19048,0.3325445129739948
19062,19019,0.3319869936516275
19062,18966,0.3302323235590291
19062,18961,0.33004822654394816
19062,18959,0.3300067869071927
19059,19048,0.4989319419296149
19059,19019,0.49809546985649494
19059,18966,0.4954628570104234
19059,18961,0.4951866477281944
19059,18959,0.49512447392098174
19055,19048,0.49938045461420283
19055,19019,0.4985432305981753
19055,18966,0.4959082511763129
19055,18961,0.49563179359695897
19055,18959,0.4955695638988746
19054,19048,0.3331067725769985
19054,19019,0.33254831061212575
19054,18966,0.3307906737584738
19054,18961,0.33060626547584654
19054,18959,0.3305647557737831
19053,19048,0.33324286948974835
19053,19019,0.33268417935494465
19053,18966,0.3309258243863541
19053,18959,0.33069981409870597
19053,18954,0.3305922793955173
19048,19019,0.9983234746007945
19048,18961,0.992493376577704
19048,18959,0.9923687627737205
19048,18948,0.9911206350926262
19048,18921,0.9878808125887393
19028,19019,0.05554212111534418
19028,18966,0.055248561124548755
19028,18961,0.05521776130737482
19028,18959,0.055210828369134275
19028,18954,0.055192875289669575
19019,18966,0.9947146420608282
19019,18961,0.9941601112551001
19019,18959,0.9940352881820644
19019,18954,0.9937120545873765
19019,18948,0.9927850644691606
19009,18966,0.497627880097348
19009,18961,0.49735046386395326
19009,18959,0.4972880183759756
19009,18954,0.49712631366017135
19009,18948,0.4966625664628412
18994,18961,0.3984056046722482
18994,18959,0.3983555823354769
18994,18921,0.3965540342855022
18994,18898,0.39605677614817225
18994,18886,0.39566405187318016
18976,18966,0.33310590239325377
