pr1,pr2,weight
19209,19191,0.4983280756912651
19209,19184,0.4979019328875623
19209,19138,0.49470778809208915
19209,19121,0.4932319203701854
19209,19071,0.4901376138222435
19191,19188,0.4997739575601424
19191,19186,0.49968720784434456
19191,19174,0.4989700716302679
19191,19142,0.4966059911016459
19191,19136,0.4962166118429569
19188,19184,0.49979837874838356
19188,19138,0.49659206785698645
19188,19121,0.4951105787404918
19188,19071,0.49200448636795807
19188,19062,0.491147065718496
19186,19184,0.499885147764344
19186,19138,0.4966782802316036
19186,19121,0.49519653391669
19186,19071,0.4920899023015535
19186,19062,0.49123233279697465
19184,19174,0.4993971286293343
19184,19142,0.49703102473860394
19184,19136,0.4966413122191702
19184,19108,0.4944457637570313
19184,19059,0.4912317758263453
19174,19138,0.49739212260763155
19174,19121,0.495908246678132
19174,19071,0.49279715010976144
19174,19062,0.49193834807805764
19174,19055,0.49138306334365456
19142,19138,0.49975994549582947
19142,19121,0.4982690056116965
19142,19071,0.49514309874511825
19142,19062,0.4942802084075996
19142,19055,0.49372228025396286
19138,19136,0.4998479410631586
19138,19108,0.49763821675850756
19138,19059,0.49440347729920486
19138,19053,0.49348130069688817
19138,19048,0.4933473740512931
19136,19121,0.4986599953758485
19136,19071,0.49553163562222574
19136,19062,0.4946680681779922
19136,19055,0.4941097022202882
19136,19054,0.4938331050534641
19121,19108,0.49912726917171796
19121,19059,0.49588285059928494
19121,19053,0.49495791462429783
19121,19048,0.49482358723818864
19121,19028,0.49411348941241845
19108,19071,0.4977320058150345
19108,19062,0.49686460376584907
19108,19055,0.49630375842696806
19108,19054,0.4960259330516552
19108,19028,0.4949774535785034
19071,19059,0.4990134276216351
19071,19053,0.4980826523979082
19071,19048,0.4979474769844314
19071,19028,0.49723289621287214
19071,19019,0.4971126553917967
19062,19059,0.4998845809829521
19062,19053,0.49895218085712856
19062,19048,0.49881676946099224
19062,19028,0.4981009412090915
19062,19019,0.49798049047744125
19059,19055,0.4995509308780072
19059,19054,0.4992712877713361
19059,19028,0.49821594839917516
19059,19009,0.49782465656214736
19059,18994,0.4971683549839254
19055,19053,0.4995160190312443
19055,19048,0.49938045461420283
19055,19028,0.4986638174445139
19055,19019,0.4985432305981753
19055,18976,0.49624683683014825
19054,19053,0.49979579921251094
19054,19048,0.49966015886549775
19054,19028,0.49894312030552385
19054,19019,0.4988224659181887
19054,18976,0.4965247859342242
19053,19028,0.4991469727153263
19053,19009,0.4987549496648234
19053,18994,0.4980974216450755
19053,18952,0.4957616411513389
19053,18948,0.49542582667315277
19048,19028,0.4992824737501565
19048,19009,0.4988903442790362
19048,18994,0.49823263776331017
19048,18952,0.4958962231864451
19048,18948,0.4955603175463131
19028,19019,0.49987909003809766
19028,19009,0.4996073069937995
19028,18994,0.4989486552782827
19028,18976,0.49757654302376314
19028,18970,0.49743597317443755
19019,19009,0.49972815121724995
19019,18994,0.49906934018810023
19019,18952,0.4967290019747778
19019,18948,0.4963925322345803
19019,18939,0.49592684250646835
19009,18976,0.4979676398427239
19009,18970,0.49782695950502887
19009,18966,0.497627880097348
19009,18963,0.4975315021957428
19009,18961,0.49735046386395326
18994,18976,0.49862499654022086
18994,18970,0.49848413049334556
18994,18966,0.49828478828508993
18994,18963,0.49818828315702657
18994,18961,0.49800700584031027
18976,18952,0.49902762697321507
18976,18948,0.4986896002114767
18976,18939,0.49822175549332737
18976,18928,0.49748014347777403
18976,18921,0.49705945981078925
18970,18952,0.4991686466061243
18970,18948,0.4988305243217991
18970,18939,0.49836254739595853
18970,18928,0.4976207258091339
18970,18921,0.4971999232616442
18966,18952,0.49936834240789446
18966,18948,0.4990300848554567
18966,18939,0.49856192071227373
18966,18928,0.49781980235469325
18966,18921,0.4973988314622911
18963,18952,0.4994650761277834
18963,18948,0.4991267530507447
18963,18939,0.49865849821847474
18963,18928,0.49791623610354474
18963,18921,0.497495183663962
18961,18952,0.4996468841901844
18961,18948,0.4993084379616662
18961,18939,0.4988400126820359
18961,18928,0.49809748037957263
18961,18921,0.49767627467456277
18959,18952,0.49970962588583523
18959,18948,0.4993711371579221
18959,18939,0.4989026530571578
18959,18928,0.49816002751337307
18959,18921,0.49773876891668917
18954,18952,0.4998721708986783
18954,18948,0.49953357206751364
18954,18939,0.499064935578742
18954,18928,0.4983220684745143
18954,18921,0.4979006728512845
18952,18948,0.4996613145811299
18952,18939,0.4991925582509574
18952,18933,0.4986279770897427
18952,18921,0.4980279977940666
18952,18912,0.4978276142652442
18948,18933,0.49896596208148175
18948,18928,0.49878736519350936
18948,18913,0.4981666427962545
18948,18912,0.49816505674706585
18948,18907,0.4980932108514828
18939,18933,0.499434505631261
18939,18928,0.49925574103561676
18939,18913,0.4986344357619784
18939,18912,0.4986328482234435
18939,18907,0.49856093486247494
18933,18928,0.49982103299468833
18933,18921,0.49939836980349767
18933,18913,0.4991990242361495
18933,18907,0.4991254401138324
18933,18886,0.49827757483625384
18928,18921,0.4995771854691085
18928,18912,0.499376178618516
18928,18898,0.4989507416576202
18928,18891,0.4986773916789941
18928,18889,0.49857418973088796
18921,18913,0.4998004142790588
18921,18912,0.4997988230283137
18921,18907,0.49972674150921575
18921,18898,0.49937302600107725
18921,18891,0.49909944467413025
18913,18912,0.49999840811381935
18913,18898,0.49957244105269694
18913,18891,0.49929875047628797
18913,18889,0.499195419937154
18913,18865,0.497735567944572
18912,18907,0.4999278894669447
18912,18886,0.4990786610672152
18912,18880,0.4984835155635163
18912,18852,0.49740203478056283
18912,18805,0.495720667537726
18907,18898,0.4996460910746238
18907,18891,0.49937236014907765
18907,18889,0.4992690143763242
18907,18865,0.49780894716344104
18907,18864,0.4978042782396709
18898,18886,0.4995042071002906
18898,18880,0.4989085541378923
18898,18852,0.4978261512160198
18898,18805,0.4961433503331255
18898,18802,0.4958028744933742
18891,18886,0.4997780102977341
18891,18880,0.49918203082820467
18891,18852,0.4980990345872436
18891,18805,0.49641531127715877
18891,18802,0.4960746488055988
18889,18886,0.4998814614296733
18889,18880,0.4992853585958712
18889,18852,0.4982021381810075
18889,18805,0.496518066350022
18889,18802,0.49617733336331815
18886,18865,0.49865601502778656
18886,18864,0.49865133815941176
18886,18845,0.49814230133802556
18886,18838,0.49797756800167864
18886,18832,0.497816063518337
18880,18865,0.49925136648068413
18880,18864,0.49924668402853956
18880,18845,0.49873703946193004
18880,18838,0.49857210944845864
18880,18832,0.4984104121429593
18865,18852,0.4996633586180672
18865,18805,0.497974347426151
18865,18802,0.4976326150739977
18865,18794,0.497253341352642
18865,18772,0.49645663951444857
18864,18852,0.4996680449782173
18864,18805,0.497979017945006
18864,18802,0.49763728238773297
18864,18794,0.49725800510915574
18864,18772,0.4964612957986679
18852,18845,0.4998214228906451
18852,18838,0.49965613427662997
18852,18832,0.4994940853993309
18852,18830,0.4994495007062056
18852,18814,0.49900878813784627
18845,18805,0.4984878879119429
18845,18802,0.4981458031452545
18845,18794,0.49776613829449196
18845,18772,0.49696861485042443
18845,18765,0.4967775975237801
18838,18805,0.4986527900645314
18838,18802,0.4983105921345832
18838,18794,0.4979308016888911
18838,18772,0.49713301442029373
18838,18765,0.49694193390421365
18832,18805,0.4988145660037348
18832,18802,0.49847225705587467
18832,18794,0.49809234339628056
18832,18772,0.4972942973047361
18832,18765,0.49710315479716505
18830,18805,0.4988590940177187
18830,18802,0.49851675451273647
18830,18794,0.4981368069391352
18830,18772,0.49733868960787575
18830,18765,0.49714753003745843
18814,18805,0.49929967437982886
18814,18802,0.49895703252882373
18814,18794,0.4985767493946572
18814,18772,0.497777927185353
18814,18765,0.49758659878739747
18810,18805,0.49953023268398683
18810,18802,0.49918743261352316
18810,18794,0.4988069738785321
18810,18772,0.49800778280238633
18810,18765,0.4978163660559835
18808,18805,0.4996380149638532
18808,18802,0.4992951409283506
18808,18794,0.4989146001028129
18808,18772,0.49811523658738194
18808,18765,0.4979237785395083
18805,18803,0.49971293020708013
18805,18800,0.49952870119670173
18805,18799,0.4995234633644359
18805,18796,0.49932943948115804
18805,18792,0.4991903078541895
18803,18802,0.4999439151465007
18803,18794,0.49956287985375053
18803,18772,0.4987624776611981
18803,18765,0.4985707708365286
18803,18745,0.4978194772373737
18802,18800,0.49987173562181203
18802,18799,0.4998664941926422
18802,18796,0.4996723370700307
18802,18792,0.49953310989912736
18802,18789,0.4994856357031058
18800,18794,0.49974712146941097
18800,18772,0.4989464240840028
18800,18765,0.4987546465567721
18800,18745,0.49800307587628834
18800,18737,0.4976820303356949
18799,18794,0.4997523616468792
18799,18772,0.498951655865632
18799,18765,0.4987598763274877
18799,18745,0.49800829776629074
18799,18737,0.4976872488593235
18796,18794,0.4999465498645512
18796,18772,0.4991455329539518
18796,18765,0.4989536788962463
18796,18745,0.49820180829500627
18796,18737,0.4978806346384234
18794,18792,0.4999141224852197
18794,18789,0.49986661207885325
18794,18784,0.49958424100262705
18794,18781,0.499535230439949
18794,18778,0.4994479875875863
18792,18772,0.4992846521015019
18792,18765,0.4990927445712695
18792,18745,0.4983406644127156
18792,18737,0.4980194012403455
18792,18722,0.4973162786906863
18789,18772,0.49933210719480214
18789,18765,0.49914018142449423
18789,18745,0.49838802978360264
18789,18737,0.49806673607639884
18789,18722,0.49736354669763516
18784,18772,0.4996143357619402
18784,18765,0.49942230151285755
18784,18745,0.49866972474673005
18784,18737,0.49834824944042355
18784,18722,0.49764466261048873
