pr,commenter,weight
17781,parthivc,1.0000035193954884
17777,jnothman,0.5061613387647645
17777,napsternxg,0.5057988491019382
17777,Edvac,1.017882591295879
17772,maikia,1.2131947566185368
17772,ogrisel,0.38205787909677663
17772,lorentzenchr,0.9248299328612288
17772,agramfort,1.2432952956910395
17768,glemaitre,0.7515505042986084
17768,adrinjalali,1.0003472462158722
17766,NicolasHug,1.001970474772931
17764,postmalloc,1.0238888276242317
17764,adrinjalali,1.0082146491194908
17764,glemaitre,1.0444305650987669
17764,cmarmo,1.0879175691429486
17759,harishB97,1.0005438572004808
17759,postmalloc,0.5005132009053832
17759,rth,1.001228267708671
17758,NicolasHug,1.0008621773798012
17758,yashika51,0.5011365258369462
17758,glemaitre,1.0422201297446965
17758,lucyleeow,0.1154745844863028
17758,ogrisel,0.8044587492221855
17753,joshuacwnewton,1.0003189365454894
17750,maikia,1.0002946471239607
17750,agramfort,1.3180137506105993
17750,ogrisel,1.3186008320364342
17745,glemaitre,0.7519908843792469
17745,alfaro96,1.0024047874088473
17745,thomasjpfan,1.0023123138616383
17743,maikia,0.19290174682966735
17743,agramfort,0.06592219927559344
17743,NicolasHug,0.5011238862997672
17743,cmarmo,1.0453087012128908
17743,ogrisel,1.1751788100469989
17742,glemaitre,1.0081998708535442
17740,glemaitre,0.1097099158293684
17740,t-kusanagi2,0.5010193229106239
17739,clmbst,0.5077313419375229
17739,cmarmo,1.015430862021313
17739,glemaitre,1.042283082975144
17738,glemaitre,1.0029249633913113
17734,jnothman,0.7523075225031995
17734,thomasjpfan,1.0034701414406415
17734,glemaitre,1.0028753307212084
17734,rth,1.0034691097590778
17732,TomDLT,1.0031313401295876
17732,rubywerman,1.0030906750612816
17732,glemaitre,1.0025719116549388
17730,lucyleeow,1.0032800505236596
17726,rubywerman,1.0034018842156418
17726,glemaitre,1.0033878317541154
17725,lucyleeow,0.5033472960359544
17724,glemaitre,1.0034037454603357
17722,glemaitre,0.5017179268347651
17722,adrinjalali,1.003438208748497
17722,marenwestermann,1.003433703378723
17721,glemaitre,1.0034074547990857
17718,glemaitre,1.003390370946025
17713,jeremiedbb,1.0028046975512677
17710,rubywerman,1.003911977060795
17704,glemaitre,0.03606792382574545
17704,jnothman,1.0291230207849593
17704,amueller,1.0296097311696948
17704,ogrisel,1.0297428597009297
17702,glemaitre,0.11080400217748301
17702,simonamaggio,1.0105387065013398
17702,ogrisel,1.0026082061455037
17698,kcetina-fujitsu,1.0042487944124465
17697,lesteve,1.003656993819949
17697,ogrisel,1.003652560297617
17697,glemaitre,1.0036498291847786
17696,lesteve,1.0039715490223804
17696,j2heng,1.003683381360096
17696,cmarmo,1.0036633573698042
17696,glemaitre,0.7523551813515552
17696,ogrisel,1.0032018953467823
17694,cmarmo,1.0035961552220858
17694,t-kusanagi2,1.0027452567489037
17694,glemaitre,1.0025842248978603
17692,glemaitre,1.0044327974810945
17692,alfaro96,0.7527458452093481
17688,thomasjpfan,0.7524591510239744
17688,adrinjalali,1.003194554598111
17683,thomasjpfan,1.004907281486066
17683,rth,1.0048721798378273
17679,glemaitre,0.0352924185466145
17679,sdpython,0.5020812801610429
17679,cmarmo,1.0044361502555954
17679,adrinjalali,1.0035807345024472
17679,agramfort,1.0032349775374563
17678,cmarmo,0.7533442877187642
17678,glemaitre,1.0041433071250254
17676,viclafargue,0.18813430736821093
17676,ogrisel,0.03528321341596292
17671,glemaitre,1.0044852406043587
17670,lesteve,0.31394625668792564
17670,hs-nazuna,1.0044573787125894
17669,glemaitre,1.004767974367344
17668,glemaitre,0.7537864295189417
17668,ogrisel,1.0049967957832482
17667,glemaitre,1.0050502164640551
17666,glemaitre,1.0050785779827944
17665,glemaitre,0.7522353641286806
17665,rth,1.003243813612404
17664,glemaitre,1.0050877584979896
17662,joshuacwnewton,0.3140860390726337
17662,jnothman,1.0098187860604095
17661,rth,0.7513751329594349
17661,alexhenrie,0.7513897185405978
17653,glemaitre,1.005169475159828
17651,glemaitre,1.004732474253749
17651,ogrisel,1.0041507120901718
17651,claramatos,0.751148505995165
