pr,committer,weight
17781,Parthiv Chigurupati,1.0010717120921862
17777,Shubhanshu Mishra,1.0038473511641615
17777,Joel Nothman,1.0226472066208057
17772,maikia,1.1410239181117416
17772,Alexandre Gramfort,1.1761810453674677
17769,maikia,0.9995671120931537
17769,Alexandre Gramfort,1.2767521156649508
17768,Guillaume Lemaitre,1.0020523654719056
17768,Olivier Grisel,1.4347608992221061
17766,chkoar,0.9998367520390689
17766,Christos Aridas,1.0018277512916522
17764,Srimukh Sripada,0.9991652063015211
17759,Srimukh Sripada,1.0002269720022954
17758,Yashika Sharma,0.9984649317347324
17753,Joshua Newton,0.9975362642226866
17750,maikia,0.9989852820590968
17750,Alexandre Gramfort,1.2756126524518963
17750,Roman Yurchak,1.2764963300388945
17747,Kendrick Cetina,0.9965537152890381
17745,Juan Carlos Alfaro Jiménez,0.9973372826686404
17745,Thomas J. Fan,0.997651129651399
17744,Maarten A. Breddels,0.8808370867438755
17744,Maarten Breddels,0.9408355012045745
17744,wxbn,0.9980486135299355
17743,maikia,0.9986131108740661
17742,jeremie du boisberranger,1.0028758335873098
17740,BenjaminLiu,0.9368415196241412
17740,Loïc Estève,0.9950017506240567
17740,t.kusanagi,0.9971774497852084
17740,t-kusanagi2,0.997192461613259
17739,clmbst,0.9972664210955338
17738,Guillaume Lemaitre,0.9971040732395797
17734,Joel Nothman,0.9968892136160455
17734,Thomas J. Fan,1.5194579596249855
17732,Ruby Werman,0.9971473830438
17730,Lucy Liu,0.9967132622924648
17726,Ruby Werman,0.9965993628816904
17725,Lucy Liu,0.9995580933673606
17724,Thomas J. Fan,0.9965702939052885
17722,Maren Westermann,0.9965317265083788
17721,Kendrick Cetina,0.9960808540384692
17718,beatriz,0.996230549629436
17718,beatrizsmg,0.9964922361788382
17716,t.kusanagi,0.9963859318762336
17713,Allan,0.9962724950655986
17710,Ruby Werman,0.9960317343695576
17705,Naoki Hamada,0.9958331247097412
17705,Olivier Grisel,0.9958969725995588
17704,Guillaume Lemaitre,1.0048566710568325
17702,Simona Maggio,1.0048908912567316
17702,Guillaume Lemaitre,1.0350142105925153
17698,Kendrick Cetina,0.9957189373077036
17697,j2heng,0.9959182068530129
17696,j2heng,0.9960635464438446
17696,Loïc Estève,0.9963743033786138
17696,Guillaume Lemaitre,0.9970849229544003
17694,Markus Rempfler,0.25548562835410293
17694,t.kusanagi,0.996355942990731
17694,t-kusanagi2,0.9971115386382987
17692,Juan Carlos Alfaro Jiménez,0.9963157844609891
17688,Thomas J. Fan,0.9955225392091414
17683,jeremie du boisberranger,0.9953238609151863
17679,Guillaume Lemaitre,0.9376280000567323
17679,xavier dupré,0.9957261652558556
17678,Chiara Marmo,0.9952275045312642
17676,Thomas J Fan,0.9062978597638262
17671,Simona Maggio,0.9950330804452573
17670,hs-nazuna,0.9952830421220102
17670,Loïc Estève,0.9955804936336546
17670,Hirofumi Suzuki,0.9955773431150586
17669,doulouUS,0.994979479299702
17669,Louis Douge,0.9953897179409033
17668,Simona Maggio,0.9949554150218662
17668,Guillaume Lemaitre,0.9949658220132358
17667,beatriz,0.994785208405898
17667,beatrizsmg,0.9949240398477109
17666,Simona Maggio,0.9949071836661636
17665,maikia,0.9953962366722783
17665,Alexandre Gramfort,0.9954566528551801
17664,t.kusanagi,0.9948832977766168
17662,Joshua Newton,0.9963154285914702
17661,Alex Henrie,0.9997684278126089
17653,t.kusanagi,0.9937597849000057
17653,t-kusanagi2,0.9948276587716244
17651,Clara Matos,0.9965073576098631
17648,cristinamulas,0.9928126043117961
