pr1,pr2,weight
17777,16899,0.46994217998145615
17777,17265,0.4367132635137133
17777,16037,0.4362072813651341
17777,15769,0.4244924951657578
17777,15412,0.4134247382383871
17772,17665,0.514192551880588
17772,16791,0.4546017029103261
17772,16408,0.4331944280567017
17772,15648,0.4062324505340301
17772,17743,0.3981087034871311
17769,17668,0.26265931197186126
17769,17665,0.24882604404134018
17769,17743,0.2424902035414214
17769,17099,0.2387406717616027
17769,16791,0.23248845321220252
17768,17764,0.6037997889856341
17768,17259,0.5845705127872438
17768,17545,0.5743092635344466
17768,17544,0.5742765707449586
17768,17495,0.573052032415413
17766,17373,0.9754348964807597
17766,16202,0.8849982969104181
17766,16134,0.8783692253018083
17766,14212,0.7502658982012083
17766,17745,0.7483820689100501
17764,17545,0.7388462858606957
17764,16850,0.7024652283435843
17764,17007,0.6127646473243875
17764,17259,0.5849257064756876
17764,17544,0.5746255096819863
17759,17337,0.48716913737764805
17759,16258,0.4441730854982475
17759,17002,0.42196952709810565
17759,17661,0.4151022995387213
17759,15228,0.40816506633552707
17758,17730,0.6657248678957565
17758,17494,0.6558783887223205
17758,17393,0.6522504142111042
17758,15134,0.5409027576171319
17758,14439,0.5103324007218722
17753,17732,0.46630726746588763
17753,17726,0.46621873169869776
17753,17725,0.46621511602081706
17753,17710,0.4659799711206115
17753,17642,0.4640899719215246
17750,17668,0.3158855471505973
17750,17665,0.29924905565783955
17750,17099,0.2871199469775289
17750,16791,0.27960075619553987
17750,17743,0.27496476618612264
17747,17739,0.6665385780405665
17747,17713,0.665910475538023
17747,17645,0.6633974498628339
17747,17521,0.6567063500507381
17747,17369,0.6514741968504119
17745,17373,0.7331577706952982
17745,17172,0.7223742098334246
17745,17332,0.6770341240571127
17745,16293,0.6673983792559978
17745,16202,0.6651836845010559
17744,17581,0.5087203394095203
17744,17545,0.5071060316899729
17744,17535,0.5068150521360782
17744,17532,0.506760197766932
17744,17487,0.505985777913095
17743,17665,0.5611638773352084
17743,16791,0.4660609734371494
17743,16408,0.4109965860010253
17743,14993,0.4044031846053175
17743,17099,0.39882880326208625
17742,16216,0.443526267821825
17742,17455,0.3947245189740796
17742,17250,0.3765450744557892
17742,17622,0.3708875637919046
17742,16903,0.3667284777698995
17740,17669,0.554316008013639
17740,17668,0.5543055197595697
17740,17099,0.5318190726370966
17740,16285,0.4944176107424763
17740,16258,0.4940519278491843
17739,17713,0.6660384434617523
17739,17369,0.651599390556468
17739,17645,0.6303486881158294
17739,17521,0.6239909217580016
17739,16821,0.6233721136535714
17734,17400,0.7352650014260927
17734,16923,0.7348949214027659
17734,17513,0.6567596826828449
17734,17261,0.6467962105994425
17734,16020,0.6180321789460781
17730,17494,0.9852093865675186
17730,17393,0.9797597260753639
17730,15134,0.8125019564416062
17730,14439,0.7665815494243838
17730,12926,0.6559592225387303
17722,16263,0.8899348524224837
17722,16019,0.8728024488810304
17722,15513,0.8314125795821128
17722,14949,0.7976601842868659
17722,12943,0.6584105845290458
17721,17668,0.6656229696656881
