pr,reviewer,weight
17781,thomasjpfan,1.0018655104717267
17781,parthivc,0.7513527993923912
17781,alfaro96,1.0003020237144589
17777,jnothman,0.18943244998559752
17777,napsternxg,0.5032036557148437
17772,ogrisel,0.13396380494201615
17772,lorentzenchr,0.07683892481046513
17769,lorentzenchr,1.3174484524104755
17768,NicolasHug,0.01953566764706731
17768,glemaitre,0.019569185914590566
17768,adrinjalali,0.5001563850560831
17768,lucyleeow,0.18760537118604248
17766,thomasjpfan,0.7502185440472898
17766,chkoar,1.000166291450115
17766,NicolasHug,1.0000859112572105
17764,adrinjalali,0.502072782626185
17764,postmalloc,1.0012126290881618
17764,TomAugspurger,1.007258597849587
17759,rth,1.0007300448634395
17759,postmalloc,0.3126187385819256
17759,thomasjpfan,0.5004191193357782
17758,thomasjpfan,0.1902993350024087
17758,yashika51,0.31850531903643164
17758,flosincapite,1.0221580577231637
17758,Thomas9292,1.0236894591017625
17758,NicolasHug,1.047096802699675
17753,NicolasHug,0.7506351398542117
17750,NicolasHug,0.5000968878357978
17750,jjerphan,0.4116130803730111
17750,agramfort,0.1440726673037354
17750,lorentzenchr,0.9881142076909863
17747,NicolasHug,0.10966494098056107
17747,glemaitre,1.0026496222105592
17745,glemaitre,0.31333150441881946
17745,alfaro96,1.0026554700880768
17745,thomasjpfan,0.7517978504440446
17744,ogrisel,0.06426566516471106
17744,viclafargue,0.31288678437322814
17743,glemaitre,0.01958385163458554
17743,agramfort,0.5030550308630659
17743,NicolasHug,0.0017115583101699652
17743,maikia,1.0016624433176295
17742,jnothman,1.0019955865145709
17742,jeremiedbb,1.0002712837430623
17740,glemaitre,4.034593556613951e-07
17739,jeremiedbb,0.0031825407849887986
17739,glemaitre,0.0002601108361817519
17738,ogrisel,1.0028758674249951
17734,thomasjpfan,1.003088542985587
17732,glemaitre,0.5014019658169561
17730,thomasjpfan,1.0030232444166853
17730,lucyleeow,1.0028763040655757
17726,glemaitre,1.0034015838640356
17725,NicolasHug,0.0009181550587783462
17725,lucyleeow,0.18803950144090967
17725,ogrisel,0.0626750560248798
17725,glemaitre,1.0028663432496272
17724,adrinjalali,1.0034390643159516
17724,thomasjpfan,1.0034365886334007
17724,ogrisel,1.0034283879785768
17722,glemaitre,0.7525813643450686
17722,alfaro96,0.7525586876637325
17722,adrinjalali,1.0034256847807417
17722,marenwestermann,1.0034119777684505
17721,glemaitre,1.0034055885079778
17718,NicolasHug,0.7526436415077866
17716,NicolasHug,1.0035158317096482
17713,jeremiedbb,1.0035390159981912
17713,allanbutler,1.0034356056434934
17710,glemaitre,0.7527514850382293
17710,rubywerman,1.0034051334339977
17705,glemaitre,1.0041700672875118
17704,glemaitre,1.013779298267141
17704,thomasjpfan,0.7642714726920352
17702,glemaitre,0.010771083075105381
17702,simonamaggio,0.5049909575708684
17702,thomasjpfan,0.0017290616558854686
17698,lesteve,1.0043093491800223
17698,kcetina-fujitsu,1.004291116322386
17698,glemaitre,1.004224865012924
17697,lesteve,1.004284457289781
17697,cmarmo,1.0042103819457098
17697,glemaitre,0.019608646203667226
17697,j2heng,1.0037934887706212
17696,lesteve,1.004280695092535
17696,glemaitre,0.7531235541587689
17696,ogrisel,1.0036570029238598
17694,glemaitre,4.036075484782501e-07
17694,t-kusanagi2,0.7521267866231012
17692,glemaitre,1.004162079238503
17692,alfaro96,0.7526537960704863
17692,thomasjpfan,0.7525349829222436
17688,jnothman,1.0030990202937828
17688,thomasjpfan,1.0030745724990338
17683,rth,1.0048736017452182
17683,jeremiedbb,1.0048676771443636
17679,glemaitre,0.5020748881095084
17679,sdpython,1.0036216718447102
17679,ogrisel,0.3136211342972374
17678,NicolasHug,0.5023496243984069
17678,cmarmo,1.0044513565228252
17678,glemaitre,1.0044334807861075
17676,ogrisel,1.0041394999088629
17676,viclafargue,1.0036496197997677
17671,glemaitre,0.5025066296338695
17671,simonamaggio,1.0049950046634155
17670,lesteve,0.3139594491933725
17670,hs-nazuna,1.0047136664436243
17670,rth,0.7533248464212363
17669,glemaitre,0.01962936563402571
17669,doulouUS,1.0050189797143905
17669,ogrisel,1.0049901867670727
17668,glemaitre,1.0050776480842443
17668,simonamaggio,1.0050571814173415
17667,glemaitre,0.10993174281585238
17667,ogrisel,1.0050765267371369
17666,glemaitre,1.0050960365320012
17666,simonamaggio,1.005091450784449
17665,glemaitre,1.0846921462955327e-07
17665,maikia,1.003633588320602
17664,glemaitre,1.0051319118393618
17664,t-kusanagi2,1.0050909311284977
17662,flosincapite,0.31404747245161213
17662,thomasjpfan,1.004931227180638
17662,joshuacwnewton,0.0009191664648476902
17662,jeremiedbb,0.5017671254610155
17662,jnothman,0.5017023214360075
17661,NicolasHug,1.003511057469388
17661,alexhenrie,1.0033693652649123
17653,glemaitre,0.5026017317933801
17653,t-kusanagi2,1.0051776535737011
17651,glemaitre,0.03535171386116172
17651,thomasjpfan,0.18779410483887748
17651,claramatos,1.005197201813112
17648,thomasjpfan,1.0071627432488155
17647,thomasjpfan,1.0071631178068974
17646,glemaitre,1.0051196767113284
17646,joshuacwnewton,1.005000852373547
17645,amueller,1.0073524793195774
17645,adrinjalali,1.0058743302388518
17645,glemaitre,3.8340873319393096e-05
17644,rth,0.19311381042357528
17644,qzhang90,1.0299759951539116
17644,ogrisel,1.0337339550852673
17643,rth,1.007942463595022
17643,thomasjpfan,1.0079334855686102
17642,thomasjpfan,0.18817206126287053
17642,anhqngo,1.0012851391300974
17642,glemaitre,0.3263839115337843
17642,jjerphan,0.7189411068829981
17634,jnothman,1.046461849796561
17634,adrinjalali,1.0467919111541375
17632,thomasjpfan,1.0088919896246433
17632,alfaro96,1.0088876885337406
17628,rth,1.0090796528537853
17622,ogrisel,8.295917490576731e-07
17622,jeremiedbb,0.5104198364728368
17617,adrinjalali,0.01965600805965762
17617,dsandeep0138,0.005880701351951607
17617,thomasjpfan,0.3130220028787879
17617,jnothman,0.7507024690537476
17616,jnothman,1.0016903711073641
17614,glemaitre,0.7575028183268258
17614,alfaro96,0.3155688953978026
17614,thomasjpfan,0.7573108875858001
17612,TomDLT,0.06312481241953431
17612,postmalloc,0.03548447928033369
17612,glemaitre,0.0031978358065807557
17610,glemaitre,0.03558475285615802
17610,fujiaxiang,0.5019515717422143
17610,lesteve,0.31378805322158526
17609,jnothman,1.0102809046720973
17601,cmarmo,1.0105449770010329
17601,glemaitre,1.0106886405664421
17601,steinfurt,0.7578188553076859
17599,TomDLT,1.0109622737622395
17599,glemaitre,1.0107683559274685
17599,adrinjalali,1.0107503354408771
17598,rth,0.18873001750913393
17598,anhqngo,0.75361493645765
17598,glemaitre,0.7636370440656792
17598,cmarmo,1.0566879033661576
17593,adrinjalali,1.0097211992514605
17593,emdupre,1.0082028428610457
17585,glemaitre,1.011347453170314
17585,justmarkham,1.0110798565710386
17584,thomasjpfan,1.0127396647783657
17581,glemaitre,1.0115461694444747
17581,NeilBotelho,1.011533562631228
17578,TomDLT,0.760230193810097
17578,jnothman,1.0126613283444288
17578,cmarmo,0.010835603976036938
17578,NicolasHug,0.0009251396733961782
17575,ogrisel,1.013679875962922
17575,smola,0.7592538438531193
17573,adrinjalali,0.759094078712129
17573,ogrisel,1.0136753843735877
17573,thomasjpfan,1.0113458369632893
17569,thomasjpfan,0.5060232542465041
17569,glemaitre,0.18990106531902015
17569,ogrisel,1.0044079070813179
17564,alfaro96,1.0144325693655454
17564,thomasjpfan,1.1661591360885581
17560,amueller,0.06273874802073612
17560,rithvikrao,0.0031974277181070015
17560,jnothman,0.5020666460299006
17560,lorentzenchr,0.5046101385753203
17559,rth,1.0150913163194137
17550,glemaitre,1.0114578700041599
17550,thomasjpfan,1.010093291298823
17550,lucyleeow,1.0097716386767464
17549,adrinjalali,1.0155418368878522
17549,thomasjpfan,1.015384750409682
17548,adrinjalali,0.7613519817785521
17548,alfaro96,0.7612856745598734
17548,NicolasHug,1.0146239050558317
17548,glemaitre,0.5057269705116841
17546,glemaitre,7.291331203262473e-05
17546,lucyleeow,0.11033141979549865
17546,connorbrinton,1.01117264685731
17546,cmarmo,1.0042302301770065
17546,lesteve,1.0035419015556828
17546,thomasjpfan,1.0031210983256977
17545,jnothman,1.0063291669527255
17545,NicolasHug,1.005085182794676
17545,cool-RR,1.0044885413184907
17545,thomasjpfan,1.0038102036205998
17544,rth,1.016187846643509
17544,rtavenar,1.0161717900172293
17541,adrinjalali,0.11845835438735489
17541,amascia,0.23470896470386216
17541,joshuacwnewton,0.19454069589026243
17541,jjerphan,0.015716576064388338
17535,adrinjalali,1.0163112109205013
17532,adrinjalali,0.7625687303855796
17532,GeorMurk,1.0167494074118582
17528,thomasjpfan,1.0166912242106774
17526,alfaro96,0.762717846717434
17526,thomasjpfan,1.016649057534819
17526,rth,1.016189044909375
17526,yagi-3,1.0161504061557383
17523,glemaitre,0.5080813059767508
17523,icoder18,1.0156708438320328
17522,glemaitre,0.0004953057842548654
17522,icoder18,1.0112424751978186
17522,cmarmo,1.0107992667813508
17521,ogrisel,0.01985264783065768
17521,Mariam-ke,0.19053110324073746
17520,glemaitre,0.00013979037651320529
17519,glemaitre,1.0179194862198895
17517,glemaitre,4.0935288848356904e-07
17517,adrinjalali,0.7627566109457029
17516,thomasjpfan,1.018063708713633
17516,nuka137,1.0180184517316966
17513,thomasjpfan,1.0181281671417028
17513,CeeThinwa,1.0174743988973078
17512,glemaitre,5.678054228329396e-08
17510,amueller,1.0182903563180166
17510,kohakukun,1.0182875391908435
17510,adrinjalali,1.0170271676419966
17508,glemaitre,0.035541195788692984
17508,tianchuliang,0.0032007827241905124
17508,amueller,0.11018299248638169
17508,thomasjpfan,1.0017323852993207
17505,thomasjpfan,0.763732619667393
17503,amueller,1.0183179276297645
17502,amueller,1.0182892848851235
17502,mobigelow,1.0182827639471768
17500,amueller,1.0183254001857194
17500,JosephTLucas,1.0183268596017347
17500,ab-anssi,1.018326443944631
17499,thomasjpfan,1.017109059093715
17499,bsipocz,0.19034298722628315
17499,adrinjalali,0.06351119707092143
17499,rth,1.0162950924258443
17499,glemaitre,0.11057673232236923
17499,amueller,1.0112689567450786
17495,thomasjpfan,0.3180188051684535
17495,neinkeinkaffee,1.0176035916355255
17495,adrinjalali,1.0170223752447227
17494,amueller,1.0183591797702445
17494,asubramaniyan,1.0183428579107527
17494,thomasjpfan,1.018291815685326
17492,thomasjpfan,0.03578642791987732
17491,adrinjalali,0.762758250805649
17491,tianchuliang,0.003205899089079385
17491,glemaitre,0.010857767458812307
17491,amueller,1.007365193928138
17489,NicolasHug,0.5091799997896884
17489,annejeevan,0.19094105157672214
17489,thomasjpfan,1.0183465065210429
17488,thomasjpfan,0.5091853908736259
17487,NicolasHug,1.018360703896115
17485,TomDLT,1.0183887851688205
17485,NicolasHug,1.0183788273422558
17485,icoder18,0.763780395575431
17485,amueller,1.018380443841513
17485,adrinjalali,1.0183748460455502
17484,NicolasHug,1.0183906603603345
17484,Shuyib,1.018389385599225
17483,NicolasHug,1.018359613914957
17482,TomDLT,1.0183931729376288
17482,NicolasHug,0.318241201264154
17482,adrinjalali,1.0170329056298435
17481,TomDLT,1.0183875935538762
17481,NicolasHug,0.7637808597645335
17481,abbiepopa,0.5078917068873936
17481,adrinjalali,1.0169104545516083
17481,GeorMurk,1.0129943771715308
17480,NicolasHug,0.7637866815530028
17480,emdupre,1.0183796679114594
17478,amueller,1.0184040223545066
17478,thomasjpfan,0.010938952209991288
17478,teonbrooks,1.0175730846644417
17478,adrinjalali,1.017074986746092
17476,NicolasHug,1.0184116017730613
17476,violetr,1.0184011633441215
17473,NicolasHug,0.7637618682963477
17473,Mariam-ke,1.018336341305782
17473,thomasjpfan,0.19093979302641423
17472,jnothman,1.0182401110232027
17472,jaketae,1.0178710319001245
17472,thomasjpfan,1.017709952640653
17471,thomasjpfan,0.003232300569676587
17465,NicolasHug,0.5092107499526876
17459,thomasjpfan,1.0185092663108644
17459,amueller,1.0184196015618168
17455,alfaro96,5.695657195381182e-08
17453,thomasjpfan,0.035795125737883515
17453,nuka137,1.0181601808566032
17450,adrinjalali,1.0138280727826534
17450,allanbutler,0.5041754496691051
17450,glemaitre,0.3158598731917053
17449,amueller,1.0166205816088287
17448,thomasjpfan,1.0200078191878474
17448,alfaro96,0.3216866005377382
17448,adrinjalali,1.0182545285910063
17448,amueller,1.018367354653882
17448,NicolasHug,1.0043783437060814
17448,jnothman,1.003459033831633
17448,lorentzenchr,0.8239688997715469
17443,NicolasHug,1.0201812177744722
17443,glemaitre,0.06375718574458601
17443,lucyleeow,0.03577792572917093
17443,ogrisel,1.0192059428035005
17443,adrinjalali,1.0185522908253617
17443,thomasjpfan,0.06339189332292446
17441,adrinjalali,1.0201810419239992
17441,rth,0.5101032065017851
17441,jnothman,1.019674479805105
17441,Zac-HD,1.020097841199028
17441,thomasjpfan,1.02119268436713
17437,thomasjpfan,1.0208994099934885
17437,lucyleeow,1.0208767598910164
17433,GaelVaroquaux,1.0170052999242116
17433,thomasjpfan,0.7624772707478307
17432,lucyleeow,1.098771927259178e-07
17432,glemaitre,1.0107478462948103
17427,thomasjpfan,0.11159583811417918
17427,alfaro96,0.11156902410342759
17418,thomasjpfan,1.0222889715109547
17418,cmarmo,1.0130518857384883
17418,rth,1.030636383259251
17414,adrinjalali,0.7586962375002513
17414,Bharat123rox,0.19079865469044052
17414,thomasjpfan,0.11156513604360219
17414,jeremiedbb,1.0130160034098759
17414,cmarmo,1.0274471669400942
17414,TomDLT,1.027573780803538
17412,jnothman,7.349105120337327e-05
17412,ufmayer,0.010791434436469674
17410,NicolasHug,1.0017261884586652
17407,adrinjalali,1.0194324239019328
17407,TomAugspurger,1.0193926169703693
17407,amueller,1.0013245296141957
17407,Diadochokinetic,1.0290915184957106
17407,NicolasHug,1.029098930090176
17407,jnothman,1.0293649987402407
17406,thomasjpfan,0.019805436518004475
17406,FelixWick,0.06398120782884355
17406,jnothman,0.006020413753527886
17405,thomasjpfan,1.0224814551421113
17403,NicolasHug,1.0225261453502492
17400,KumarGanesha1996,0.7672319365311495
17400,ogrisel,1.0203082458609354
17396,jnothman,1.0169044128634528
17396,rth,0.7621230955614582
17396,fujiaxiang,1.0161018194577158
17393,thomasjpfan,1.0223256366814164
17393,alfaro96,1.0222986384390371
17393,NicolasHug,1.022302723113822
17388,amueller,1.020913152165157
17386,NicolasHug,0.0001408844030105612
17386,lorentzenchr,0.3180935613389939
17386,thomasjpfan,0.1101229034750914
17385,thomasjpfan,0.31945931344717504
