pr1,pr2,weight
17781,16662,0.4887685779896901
17781,13186,0.45166173270221904
17781,16384,0.44589895506574523
17781,15218,0.4345536272086257
17781,15998,0.31813315785652135
17777,13186,0.24845225011476607
17777,15218,0.2173103104266956
17777,16662,0.21386921927340458
17777,16384,0.17838707911234375
17777,17716,0.14236910851533977
17772,17734,0.06648064395714152
17772,17716,0.06644723848204764
17772,17710,0.06642677340832134
17772,17661,0.06632045417979955
17772,17647,0.06620951068110062
17769,13186,0.31628104354068853
17769,16662,0.30559421050809965
17769,15218,0.24452751414340507
17769,16384,0.2379014063140791
17769,17734,0.16621710518136687
17768,17734,0.0906650532020218
17768,17716,0.090619495442705
17768,17710,0.09059158555965131
17768,17661,0.09044658939330037
17768,13186,0.09036718621975086
17766,16662,0.45844580386154055
17766,13186,0.42928958185787164
17766,16384,0.4163769490990339
17766,15218,0.4075943011025739
17766,15998,0.2893541387790469
17764,16222,0.5903626365874874
17764,17314,0.5832908190521756
17764,16662,0.5809893452040668
17764,16384,0.53561036417921
17764,13186,0.5199270442862939
17759,13186,0.271464794648264
17759,16662,0.24480610902594357
17759,16384,0.20844534663049252
17759,15218,0.1904453641289739
17759,8465,0.10282688662439537
17758,16662,0.3978611007693422
17758,13186,0.3846245968512226
17758,16384,0.35738084689794364
17758,15218,0.35372974501683524
17758,15998,0.231798739662314
17753,16662,0.4899487670889057
17753,13186,0.45275232296819
17753,16384,0.4469756304287252
17753,15218,0.4356029079458728
17753,15998,0.3189013277060349
17750,13186,0.20377145399770238
17750,17734,0.16658328495897562
17750,17716,0.16649957948553976
17750,17710,0.1664482993082531
17750,17661,0.16618189084276225
17747,17734,0.034467275471214434
17747,17716,0.034449956208888244
17747,17710,0.03443934597271007
17747,17661,0.034384224151993194
17747,17647,0.03432670485158056
17745,16662,0.49006604824642563
17745,13186,0.45286070025184566
17745,16384,0.44708262492047857
17745,15218,0.38124378258733316
17745,17716,0.33302507888312266
17744,16662,0.42882423361676003
17744,13186,0.40759025750328876
17744,16384,0.3874864647485005
17744,15218,0.3812584002833605
17744,17734,0.33320527816883605
17743,17734,0.033320926167470795
17743,17716,0.03330418292759017
17743,17710,0.03329392557793085
17743,17661,0.03324063705734971
17743,17647,0.03318503079500227
17742,13186,0.33967006145188083
17742,16662,0.33694474756779236
17742,15218,0.29957032595407035
17742,16384,0.29807661501669847
17742,15998,0.17400038601696358
17740,17734,0.13329556874167264
17740,17710,0.13318755676982652
17740,17661,0.1329743837138747
17740,17647,0.13275193886561484
17740,17643,0.1326533649641218
17739,17734,0.03332476907466944
17739,17716,0.033308023903788564
17739,17710,0.033297765371147627
17739,17661,0.03324447070479376
17739,17647,0.0331888580293681
17738,16222,0.5914853105415215
17738,17314,0.5844000447544699
17738,16662,0.5514576577260016
17738,13186,0.5209157731021826
17738,16384,0.5068161998313685
17734,17716,0.9994975157714264
17734,17710,0.9991896807008233
17734,17661,0.9975904298182604
17734,17647,0.9959216207921258
17734,17628,0.9939253742601081
17732,16662,0.5209717868401454
17732,16384,0.4771414720700413
17732,13186,0.47575633864776135
17732,15218,0.4359386422307437
17732,16587,0.3505258018520692
17730,16662,0.5210159392628965
17730,16384,0.47718190986824655
17730,13186,0.4757966590557395
17730,15218,0.435975588084073
17730,16587,0.3505555089567137
17726,16662,0.5517219391517512
17726,16384,0.5070590872153914
17726,13186,0.4985060516055624
17726,15218,0.46327276698972364
17726,16587,0.42071084079108645
17725,13186,0.2719145005702319
17725,16662,0.2452116524302201
17725,16384,0.20879065515165027
17725,15218,0.19076085405528684
17725,8465,0.10299722863840285
17724,16662,0.5210923772135785
17724,16384,0.47725191695352787
17724,13186,0.47586646291166573
17724,15218,0.4360395498134352
17724,16587,0.35060693875508586
17722,16662,0.5517771559457056
17722,16384,0.5071098341137014
17722,13186,0.498555942508902
17722,15218,0.46331913171641714
17722,16587,0.4207529458845437
17721,13186,0.22661726250078099
17721,16662,0.18392646939183377
17721,16384,0.14915056000634472
17721,15218,0.1362708890825076
17721,8465,0.07725536871048888
17718,16662,0.4904820142944056
17718,13186,0.45324508655333134
17718,16384,0.4474621068153662
17718,15218,0.4088221936536347
17718,17716,0.33330774920161726
17716,17710,0.9996920101693644
17716,17661,0.998091955284457
17716,17647,0.9964223072865361
17716,17643,0.9956824217887931
17716,17628,0.9944250571678332
17713,16662,0.4599464419805338
17713,13186,0.4306947824403535
17713,16384,0.41773988255032757
17713,15218,0.4089284861690898
17713,15998,0.29030128639580527
17710,17661,0.9983994521626354
17710,17647,0.9967292897716825
17710,17643,0.9959891763265248
17710,17628,0.9947314243307408
17710,17609,0.9931656318788249
17705,17661,0.6657892536877337
17705,17647,0.6646754948916915
17705,17643,0.6641819453637661
17705,17628,0.6633432051573454
17705,17609,0.6622990461429019
17704,13186,0.15874391745846533
17704,16662,0.06135204511229817
17704,17661,0.05548309255048186
17704,17647,0.055390278222197886
17704,17643,0.0553491486095097
17702,17661,0.06887976968286237
17702,17647,0.06876454485919824
17702,17643,0.06871348429067406
17702,17628,0.06862671173926681
17702,17609,0.06851868741771343
17698,16662,0.39883665149945113
17698,13186,0.38556769182972256
17698,16384,0.35825714052263846
17698,15218,0.327320387245613
17698,15998,0.23236710744011038
17697,16662,0.552239150508041
17697,16384,0.5075344294115363
17697,13186,0.49897337576429707
17697,15218,0.4909839477138839
17697,16587,0.42110523588239984
17696,13186,0.36289573180094675
17696,16662,0.3374850644285295
17696,15218,0.3000507100504479
17696,16384,0.2985546038325134
17696,17661,0.27241094876212674
17694,17661,0.09988785246566678
17694,17647,0.09972075608541554
17694,17643,0.0996467092272591
17694,17628,0.09952087367564583
17694,17609,0.09936421929739066
17692,16662,0.46024318673265957
17692,13186,0.43097265482894465
17692,16384,0.41800939679500065
17692,15218,0.3819128278410373
17692,15998,0.2614397226974212
17688,17661,0.03330209163373098
17688,17647,0.033246382567719134
17688,17628,0.033179742809612306
17688,17609,0.03312751505287611
17688,17584,0.03306366296614733
17683,16222,0.5926553330239527
17683,17314,0.5855560518080863
17683,16662,0.5832456400960898
17683,16384,0.5376904280199466
17683,13186,0.5219462013395714
17679,17661,0.06662788243039891
17679,17647,0.066516424653471
17679,17643,0.06646703340881206
17679,17628,0.06638309771361493
17679,17609,0.06627860503268379
17678,13186,0.363106615199455
17678,16662,0.33768118135991154
17678,16384,0.3286009075472705
17678,15218,0.32751826188527344
17678,15998,0.20344413256670543
17676,17661,0.03331514480846691
17676,17647,0.033259413906584184
17676,17643,0.0332347173920311
17676,17628,0.03319274802818388
17676,17609,0.03314049980011986
17671,16662,0.5526144772674538
17671,16384,0.507879372816049
17671,13186,0.49931250068868277
17671,15218,0.4913176426608097
17671,16587,0.4213914380891976
17670,13186,0.2950523557794987
17670,16662,0.2763110406713884
17670,16384,0.23900534650740246
17670,15218,0.21836640145803715
17670,17661,0.21418204696559678
17669,16662,0.5526341418112946
17669,16384,0.5078974454808152
17669,17661,0.4997690163473611
17669,13186,0.49933026850506107
17669,17647,0.4989329828204408
17668,16662,0.5219421207493613
17668,17661,0.4997784726927024
17668,13186,0.4993397165486651
17668,17647,0.49894242334683075
17668,17643,0.49857193759942875
17667,16662,0.3991373292137711
17667,13186,0.38585836624958625
17667,16384,0.3585272258764949
17667,15218,0.3275671497874138
17667,15998,0.23254228595112628
17666,16662,0.5526597223045695
17666,16384,0.5079209551886047
17666,13186,0.4993533816528185
17666,15218,0.49135786904989703
17666,16587,0.4214259393048569
17665,17661,0.06663956501815295
17665,17647,0.0665280876981267
17665,17643,0.06647868779316625
17665,17628,0.06639473738061523
17665,17609,0.0662902263778514
17664,16222,0.5928004526033939
17664,17314,0.5856994330336363
17664,16662,0.5833884555864521
17664,16384,0.5378220887077627
17664,13186,0.5220740068430548
17662,17661,0.03333031387036598
17662,17647,0.033274557593072
17662,17643,0.033249849833694375
17662,17628,0.0332078613603436
17662,17609,0.03315558934260044
17661,17647,0.9983271601488412
17661,17643,0.9975858602176818
17661,17628,0.9963260919024453
17661,17584,0.9928404296581134
17661,17575,0.9918047441774419
17653,16662,0.4610800803747483
17653,13186,0.4317563237351612
17653,16384,0.4187694936668187
17653,15218,0.3826072876976216
17653,15998,0.29101679727731367
17651,13186,0.1136701762417658
17651,17647,0.049975083854464974
17651,17643,0.049937975251494106
17651,17628,0.04987491273080524
17651,17609,0.04979640534681826
17648,16662,0.553805299349005
17648,16384,0.5089737957759836
17648,13186,0.5003884630021473
17648,17643,0.49961907151254337
17648,17628,0.4989881440895724
17647,17643,0.9992574579148494
17647,17628,0.9979955786777377
17647,17609,0.9964246481673334
17647,17584,0.9945040757080977
17647,17575,0.9934666547883693
17646,16662,0.5231123398382805
17646,16384,0.4791019364068318
17646,13186,0.47771111179056636
17646,15218,0.4650879269884471
17646,16587,0.35196603158241424
17645,16662,0.36935101751097416
17645,13186,0.36406425575167933
17645,16384,0.32946754434592024
17645,15218,0.3283820433644489
17645,15998,0.2039806866896618
17644,13186,0.22761988254167315
17644,16662,0.1847402130679677
17644,15218,0.1642485488943872
17644,17643,0.12499844326951898
17644,17628,0.12484059311890591
17643,17628,0.9987371830681706
17643,17609,0.9971650852089439
17643,17584,0.995243085584099
17643,17575,0.9942048937632512
17643,17545,0.9919593208816826
17642,16662,0.4618772190096843
17642,13186,0.4325027659719361
17642,16384,0.41949348361291033
17642,15218,0.4106450984865169
17642,15998,0.29151992188060716
17634,13186,0.29616979544000427
17634,16662,0.2773575021194458
17634,16384,0.23991052163320228
17634,15218,0.2191934115555042
17634,11732,0.11673139553194876
17632,16222,0.5950265589889066
17632,17314,0.5878988734054196
17632,16662,0.5855792176894701
17632,16384,0.5398417382891424
17632,13186,0.5240345186396291
17628,17609,0.9984259143587734
17628,17584,0.9965014845313585
17628,17575,0.9954619800065959
17628,17545,0.9932135677920131
17628,17519,0.9913798431300813
17622,17609,0.03329617189683482
17622,17584,0.033231994730141226
17622,17575,0.03319732864140468
17622,17545,0.033122347094436545
17622,17519,0.03306119482397053
17617,17609,0.07402015191326188
17617,17584,0.07387748074845826
17617,17575,0.07380041515778112
17617,17545,0.07363372495944633
17617,17519,0.07349777838985988
17616,13186,0.31934727558359377
17616,16662,0.3085568375119078
17616,16384,0.2702337476586695
17616,15218,0.24689812128079433
17616,15998,0.14606229989010222
17614,16662,0.5247176427734812
17614,16384,0.4805721822530911
17614,13186,0.47917708953862037
17614,15218,0.4390730986270772
17614,16587,0.35304612864868656
17612,13186,0.22820896048369246
17612,16662,0.18521831886130655
17612,17609,0.1764235213473365
17612,17584,0.1760834713928474
17612,17575,0.17589978921264993
17610,17609,0.11536603437980385
17610,17584,0.11514367052241772
