pr1,pr2,weight
40921,40835,0.4987047448160483
40921,40828,0.49865634069143455
40921,40798,0.4983021262997732
40921,40777,0.49803588073386323
40921,40776,0.4980358762163835
40903,40798,0.08672471405286224
40903,40769,0.0866670470262988
40903,40691,0.08654204884150994
40903,40596,0.08626883280556628
40903,40581,0.08625346412709974
40901,40835,0.142599246342884
40901,40828,0.14258540570518896
40901,40798,0.14248412191789847
40901,40777,0.14240799186813344
40901,40776,0.1424079905764088
40897,40798,0.06649982875051111
40897,40769,0.06645561012802385
40897,40691,0.06635976250288765
40897,40596,0.06615026259504048
40897,40581,0.06613847801324843
40861,38964,0.7153686361351799
40861,40798,0.6657641677306778
40861,40769,0.665321472238801
40861,40691,0.6643618921078932
40861,36101,0.6628077274217841
40854,40835,0.1666284853645637
40854,40828,0.16661231245653818
40854,40798,0.16649396145187983
40854,40777,0.16640500281283788
40854,40776,0.16640500130344615
40851,40835,0.09522154500743954
40851,40828,0.09521230283443365
40851,40798,0.095144669947463
40851,40777,0.09509383362717357
40851,40776,0.0950938327646163
40835,40798,0.999192671574794
40835,40769,0.9985282649986181
40835,40691,0.9970881072354569
40835,40596,0.9939402679620379
40835,40581,0.9937631988178699
40828,40798,0.9992896623129865
40828,40769,0.998625191243459
40828,40691,0.9971848936854729
40828,40596,0.9940367488541135
40828,40581,0.9938596625220022
40817,40798,0.15377270796921957
40817,40777,0.15369054636585902
40817,40776,0.15369054497179493
40817,40769,0.15367045782135763
40817,40691,0.15344882192925768
40811,40798,0.33324308410221054
40811,40777,0.3330650304900953
40811,40776,0.33306502746899863
40811,40769,0.3330214963115458
40811,40691,0.3325411859287313
40798,40777,0.9994656945016731
40798,40776,0.9994656854359286
40798,40769,0.9993350565961131
40798,40691,0.9978937352132295
40798,40626,0.9955847697469813
40778,38964,0.7167181731968029
40778,40777,0.666663733848705
40778,40776,0.6666637278016709
40778,40769,0.6665765957364297
40778,40691,0.6656152053654794
40777,40769,0.9998692922565741
40777,40691,0.998427200356059
40777,40596,0.9952751335225225
40777,40581,0.9950978265738203
40777,40578,0.9950443662694232
40776,40769,0.9998693013259794
40776,40691,0.9984272094123838
40776,40596,0.9952751425502562
40776,40581,0.9950978355999457
40776,40578,0.9950443752950637
40773,40769,0.374985407970692
40773,40691,0.37444457385984
40773,40626,0.373578169392553
40773,40618,0.37348077412037833
40773,40596,0.3732624402783026
40769,40691,0.9985577195822661
40769,40626,0.9962472177630735
40769,40618,0.9959874869306079
40769,40596,0.9954052406953282
40769,40581,0.9952279105682053
40745,38964,0.7170757294975041
40745,40691,0.665947267421977
40745,40626,0.664406372646752
40745,36101,0.6643893940127207
40745,40618,0.6642331557813133
40741,38964,0.4781257730349293
40741,36101,0.44299601777227077
40741,38111,0.3746093867935643
40741,40691,0.3330260727061811
40741,40596,0.3319746986669866
40736,40691,0.11990383622675384
40736,40626,0.11962639805137627
40736,40618,0.11959521034676164
40736,40596,0.1195252959533625
40736,40581,0.11950400267997065
40710,40691,0.1538000347119217
40710,40596,0.1533144830480254
40710,40581,0.15328717027564168
40710,40578,0.15327893512673038
40710,40552,0.15318431759152779
40701,40691,0.13330465158181207
40701,40626,0.1329962060769138
40701,40618,0.13296153274011224
40701,40596,0.13288380450266868
40701,40581,0.1328601314286465
40697,40691,0.1666411333973723
40697,40596,0.16611504197127985
40697,40581,0.16608544879625375
40697,40578,0.16607652607688742
40697,40552,0.1659740087183253
40696,40691,0.24996528699093012
40696,40626,0.24938690755526846
40696,40618,0.24932189008977354
40696,40596,0.2491761385278488
40696,40581,0.24913174812832645
40695,40691,0.37495485498493286
40695,40626,0.37408726980926543
40695,40618,0.3739897418099196
40695,40596,0.373771110429446
40695,40581,0.37370452360046663
40691,40626,0.9976861609760933
40691,40618,0.9974260549978688
40691,40596,0.9968429677873235
40691,40581,0.9966653815310207
40691,40578,0.9966118370118228
40685,40626,0.2850796226736754
40685,40618,0.28500529978835565
40685,40596,0.28483868799351475
40685,40581,0.2847879443579718
40685,40578,0.2847726445052463
40682,36101,0.6652083443186152
40682,40578,0.664509018891837
40682,40158,0.6573100485199221
40682,39927,0.6534020962458562
40682,38704,0.6343784449553721
40678,40626,0.1174029283428298
40678,40618,0.11737232031726276
40678,40596,0.11730370540740945
40678,40581,0.11728280790743512
40678,40578,0.11727650704490296
40657,40626,0.30711314500397974
40657,40618,0.3070330777762969
40657,40596,0.306853588720473
40657,40581,0.3067989231594821
40657,40578,0.30678244079625827
40626,40596,0.9991548512731249
40626,40581,0.9989768531578367
40626,40578,0.9989231844579066
40626,40552,0.9983065592869919
40626,40483,0.9967227532052864
40624,40618,0.1666271538098911
40624,40581,0.16650007786864762
40624,40578,0.166491132873887
40624,40552,0.16638835958274567
40624,40483,0.1661243856627302
40621,40618,0.08694852342325912
40621,40596,0.08689769401918464
40621,40581,0.08688221330992461
40621,40578,0.0868775456788172
40621,40552,0.0868239170492225
40619,40618,0.2857051763945748
40619,40596,0.2855381554575264
40619,40581,0.28548728721277983
40619,40578,0.2854719497887916
40619,40552,0.2852957308436628
40618,40596,0.999415408082009
40618,40581,0.9992373635488699
40618,40578,0.9991836808533663
40618,40552,0.9985668948806634
40618,40483,0.9969826757784356
40602,40596,0.3332786754103577
40602,40581,0.3332193022551224
40602,40578,0.33320140049224656
40602,40552,0.33299571864030414
40602,40483,0.3324674233592022
40601,40596,0.1999694217474255
40601,40581,0.19993379745941753
40601,40578,0.19992305628263468
40601,40552,0.1997996458035627
40601,40483,0.19948266512142404
40597,38964,0.48007619438138627
40597,36101,0.4448031340964421
40597,38111,0.3761375331219823
40597,40596,0.3333289250552729
40597,40581,0.33326954294812977
40596,40581,0.9998218513225839
40596,40578,0.9997681372262537
40596,40552,0.9991509904745475
40596,40483,0.9975658447089162
40596,40450,0.9967106656428764
40582,40581,0.4999930020880401
40582,40578,0.4999661406304283
40582,40552,0.49965751659234964
40582,40483,0.4988648135832519
40582,40303,0.49630452372818407
40581,40578,0.9999462763328695
40581,40552,0.9993290196176958
40581,40483,0.9977435914101264
40581,40450,0.9968882599679213
40581,40303,0.9926229400322556
40578,40552,0.9993827101217504
40578,40483,0.9977971967345874
40578,40450,0.9969418193383719
40578,40303,0.9926762702417664
40578,40216,0.990424474473993
40564,40552,0.19990402352951742
40564,40483,0.19958687725287713
40564,40450,0.19941577825205603
40564,40303,0.1985625511366197
40564,40216,0.1981121300621048
40557,40552,0.0689531604502709
40557,40483,0.06884376676367432
40557,40450,0.06878474935798036
40557,40303,0.06849044459536252
40557,40216,0.06833508025565166
40554,40552,0.06666001402249994
40554,40483,0.06655425839600099
40554,40450,0.066497203707493
40554,40303,0.06621268651531671
40554,40216,0.06606248906249375
40552,40483,0.9984135072869433
40552,40450,0.9975576015487789
40552,40303,0.9932894177455132
40552,40216,0.9910362311084348
40552,40189,0.9903971193778043
40545,40450,0.06651707566405658
40545,40303,0.06623247344705262
40545,40216,0.066082231109376
40545,40189,0.06603961518095429
40545,40173,0.06601604502151108
40542,38964,0.7208958477210348
40542,40158,0.6599982360334843
40542,39927,0.6560743014866228
40542,38704,0.6369728495570391
40542,37798,0.6226982586767089
40528,40483,0.33300848942371
40528,40303,0.33129941266802754
40528,40216,0.33054789010455377
40528,40189,0.3303347222833686
40528,40173,0.33021682271577546
40512,40483,0.42827089055586
40512,40450,0.4279037485750672
40512,40303,0.42607290507671763
40512,40216,0.4251063974717951
40512,40189,0.42483224958813365
40496,38964,0.7216567486622796
40496,36101,0.6686338279290363
40496,40483,0.6664595809625516
40496,40303,0.6630391559145413
40496,40216,0.6615351119377544
40493,40483,0.2856645598790638
40493,40450,0.2854196694261541
40493,40303,0.2841984631436429
40493,40216,0.2835537847971375
40493,40189,0.2833709231171706
40490,40483,0.21426698757318768
40490,40303,0.2131673197280671
40490,40216,0.2126837690652973
40490,40189,0.2125466109196538
40490,40173,0.21247075103623742
40489,40483,0.39997447254338053
40489,40450,0.39963158811356203
40489,40303,0.39792171084029837
40489,40216,0.39701906165723977
40489,40189,0.3967630270828981
40483,40450,0.9991427342159159
40483,40303,0.9948677682102337
40483,40216,0.9926110012287841
40483,40189,0.991970873940876
40483,40173,0.9916168302112488
40480,38964,0.7219069090612109
40480,36101,0.6688656080730503
40480,40450,0.6661190763633158
40480,40303,0.663268996680332
40480,40216,0.6617644313306875
40479,40450,0.24979555768614584
40479,40303,0.24872677393692832
40479,40216,0.24816255988883112
40479,40189,0.24800252174072948
40479,40173,0.24791400730944865
40455,38964,0.722432692022376
40455,36101,0.6693527597204718
40455,40450,0.6666042276426052
40455,40303,0.6637520721748956
40455,40216,0.6622464110124602
40450,40303,0.995721366067845
40450,40216,0.9934626627773482
40450,40189,0.9928219862593826
40450,40173,0.9924676387597683
40450,40158,0.9922008114022214
40405,40303,0.0997460181785158
40405,40216,0.09951975341494698
40405,40189,0.09945557388261464
40405,40173,0.09942007725339436
40405,40158,0.09939334792191329
40393,40216,0.28446947254693633
40393,40189,0.2842860203469016
40393,40173,0.2841845559938963
40393,40158,0.28410815227938707
40393,40093,0.2836625163797932
40371,40303,0.2496387641695698
40371,40216,0.24907248135463725
40371,40189,0.2489118564051004
40371,40173,0.24882301742372992
40371,40158,0.24875612074554806
40368,40303,0.21400288699605532
40368,40216,0.21351744092498962
40368,40189,0.2133797451507022
40368,40173,0.21330358791384715
40368,40158,0.2132462407213589
40364,40303,0.14268278818715752
40364,40216,0.14235912526883698
40364,40189,0.1422673189513022
40364,40173,0.14221654240782824
40364,40158,0.14217830714178215
40338,40303,0.06663051625835796
40338,40216,0.06647937099679288
40338,40189,0.06643649895587722
40338,40173,0.06641278714488395
40338,40158,0.06639493190426035
40330,40303,0.29986662938069825
40330,40216,0.2991864092251671
40330,40189,0.29899346618456085
40330,40173,0.29888675260588327
40330,40158,0.2988063961697749
40329,40303,0.39982323510966195
40329,40216,0.39891627249187095
40329,40189,0.39865901442068646
40329,40173,0.39851672927096804
40329,40158,0.3984095870714073
40303,40216,0.9977315910178601
40303,40189,0.9970881615005287
40303,40173,0.996732291362868
40303,40158,0.9964643174430147
40303,40093,0.9949013201514754
40299,38964,0.7256738584929747
40299,36101,0.6723557851175307
40299,40158,0.6643726247765995
40299,39927,0.6604226828646067
40299,38704,0.6411946288143869
40282,38964,0.7259050982904907
40282,36101,0.672570034830111
40282,40158,0.6645843306130857
40282,39927,0.6606331300312962
40282,38704,0.6413989488603691
40274,40216,0.21392020101747503
40274,40189,0.21378224550626612
40274,40173,0.2137059446132506
40274,40158,0.21364848924617738
40274,40093,0.21331337236924783
40269,40216,0.22186056196010473
40269,40189,0.22171748577049422
40269,40173,0.22163835271563556
40269,40158,0.22157876470119908
40269,40093,0.2212312088449299
40216,40189,0.9993551076029625
40216,40173,0.9989984283709282
40216,40158,0.9987298451945852
40216,40093,0.9971632943249824
40216,40073,0.9968870030798889
40214,38964,0.7273475624429165
40214,36101,0.6739065155457349
40214,40189,0.6663218375856352
40214,40173,0.6660840210582472
40214,40158,0.6659049427363934
40212,40189,0.2856042469504567
40212,40173,0.2855023121099851
40212,40158,0.2854255541135137
40212,40093,0.284977851812281
40212,40073,0.2848988909380196
40201,40189,0.16663271436812663
40201,40173,0.16657324158598896
40201,40093,0.1662672508876087
40201,40073,0.1662211820180189
40201,40071,0.1662117424238944
40197,40189,0.22219830335334345
40197,40173,0.2221189986901697
40197,40158,0.22205928145288473
40197,40093,0.22171097188535036
40197,40073,0.22164954082303415
40190,40189,0.21738858515940987
40190,40173,0.2173109971298718
40190,40158,0.21725257253559233
40190,40093,0.21691180249846304
40190,40073,0.2168517011767148
40189,40173,0.999643090599807
40189,40158,0.9993743341044434
40189,40093,0.997806772326168
40189,40073,0.9975303027879713
40189,40071,0.9974736536830203
40184,40173,0.24992769063752363
40184,40093,0.24946857999121214
40184,40073,0.24939945792768478
40184,40071,0.24938529469271603
40184,39956,0.24849887029669981
40179,40173,0.24994942069904558
40179,40093,0.24949027013517808
40179,40073,0.24942114206180566
40179,40071,0.24940697759540886
40179,39956,0.24852047612887435
40177,40173,0.28569287214729755
40177,40158,0.28561606291829306
40177,40093,0.2851680617957773
40177,40073,0.2850890482186602
40177,40071,0.2850728581947905
40173,40158,0.9997311475486693
40173,40073,0.9978864578451014
40173,40071,0.9978297885143337
40173,39956,0.9942830650850286
40173,39952,0.9942166984292727
40158,40093,0.9984314568377621
40158,40073,0.9981548142137103
40158,40071,0.9980981296431568
40158,39956,0.9945504524121317
40158,39952,0.9944840679087392
40153,40093,0.39938218621826804
40153,40073,0.3992715265077407
40153,40071,0.39924885213429484
40153,39956,0.3978297471183019
40153,39821,0.39630215309779254
40133,40093,0.3330044690509463
40133,40073,0.3329122010945349
40133,40071,0.33289329522454125
40133,39956,0.33171004687575284
40133,39821,0.3304363405030627
40132,38964,0.7286381358235456
40132,36101,0.6751022654937717
40132,39927,0.6631204181688326
40132,38704,0.6438138201776056
40132,37798,0.6293859228307583
40128,40093,0.39966790758359405
40128,40073,0.39955716870618185
40128,40071,0.39953447811129905
40128,39956,0.3981143578556767
40128,39952,0.39808778441852677
40120,40093,0.7495178943717467
40120,40073,0.7493102200285027
40120,39956,0.746604442231167
40120,39952,0.7465546076903371
40120,39930,0.7462587298765306
40118,40093,0.3997680742001601
40118,40073,0.39965730756885903
40118,40071,0.39963461128715455
40118,39956,0.39821413511443604
40118,39952,0.39818755501732855
40116,40093,0.49972451590108985
40116,40073,0.49958605361563685
40116,40071,0.4995576824446517
40116,39956,0.4977820359796831
40116,39952,0.49774880989932085
40093,40073,0.9997229227683511
40093,40071,0.9996661491459203
40093,39956,0.9961128984878718
40093,39952,0.9960464096939362
40093,39930,0.9956516521891078
40082,40073,0.37496990838804733
40082,40071,0.37494861408787994
40082,39956,0.3736158827446406
40082,39952,0.37359094453786046
40082,39930,0.373442881327495
40073,40071,0.9999432106425313
40073,39956,0.9963889751867621
40073,39952,0.9963224679651898
40073,39930,0.99592760105173
40073,39927,0.9958922349324868
40071,39956,0.9964455626900197
40071,39952,0.9963790516913305
40071,39930,0.995984162352359
40071,39927,0.9959487942245825
40071,39821,0.9926193925899852
40069,39956,0.4270614662247749
40069,39952,0.42703296061876506
40069,39930,0.42686371703295145
40069,39927,0.4268485587894193
40069,39821,0.42542162770862463
40064,39956,0.11726859926596572
40064,39952,0.1172607717920483
40064,39930,0.11721429848594893
40064,39927,0.1172101361202781
40064,39821,0.11681830912972076
40062,39956,0.29903929244950056
40062,39952,0.2990193320997004
40062,39930,0.29890082343957536
40062,39927,0.2988902092522062
40062,39821,0.29789103584387433
40034,39956,0.4275037888773032
40034,39952,0.4274752537470298
40034,39930,0.4273058348696535
40034,39927,0.42729066092619283
40034,39821,0.4258622519224513
40013,39956,0.19971772304443156
40013,39952,0.19970439223569197
40013,39930,0.1996252445104304
40013,39927,0.19961815567164948
40013,39821,0.19895084323787526
39990,39956,0.08327929391970992
39990,39952,0.08327373517248265
39990,39930,0.08324073175859098
39990,39927,0.08323777581918118
39990,39821,0.08295951654673696
39988,39956,0.11104018762521072
39988,39952,0.11103277588687786
39988,39930,0.11098877088757592
39988,39927,0.11098482959495413
39988,39821,0.11061381345917312
39984,39956,0.3331474199422941
39984,39821,0.33186819431792003
39984,39760,0.33130224346685666
39984,39659,0.3305921744421769
39984,39650,0.33051792380721645
39956,39952,0.9999332517488364
39956,39930,0.9995369537936271
39956,39927,0.9995014595036219
39956,39821,0.9961601815058463
39956,39760,0.9944613814636265
39952,39821,0.9962266778943581
39952,39760,0.9945277644526374
39952,39659,0.9923962263370723
39952,39650,0.9921733352475834
39952,39577,0.9898065593701914
39946,39930,0.08692829391020959
39946,39927,0.08692520702276436
39946,39821,0.08663462087212333
39946,39760,0.08648687867129295
39946,39659,0.08630151423505163
39932,39930,0.6666234860050899
39932,39927,0.66659981371639
39932,39821,0.6643714074747442
39932,39760,0.6632384228443391
39932,39659,0.6618169261013316
39930,39821,0.9966216633862663
39930,39760,0.9949220763567203
39930,39659,0.992789693125631
39930,39650,0.9925667136639388
39930,39577,0.9901989994035914
39928,38964,0.7325163893924553
39928,36101,0.6786955687286771
39928,39821,0.6644213729200424
39928,39760,0.6632883030811516
39928,39659,0.6618666994314999
39927,39821,0.9966570554089685
39927,39760,0.9949574080236977
39927,39659,0.9928249490674276
39927,39650,0.99260196168729
39927,39577,0.9902341633446876
39902,39821,0.24929547268282665
39902,39760,0.24887033707975667
39902,39659,0.24833694160475855
39902,39650,0.24828116540367515
39902,39577,0.2476889040999166
39901,39821,0.24929717315408767
